"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
1630578,"Houston Rockets","Alperen Sengun","Vet",0.77,1.68,0.13,0.64,-0.45,-0.28,-0.17,23.631,0.553,2.072,0.296,0.096,9.458,0.668,7.892,0.716,0.334,0.273,15.633,8.127,0.275,1.31,0.015,1.898,0.019,4.221
1630595,"Detroit Pistons","Cade Cunningham","Vet",0.76,1.79,1.69,-0.93,1.17,1.88,-0.71,26.326,0.509,9.551,0.358,0.364,6.352,0.598,6.017,0.826,0.242,0.316,8.66,12.611,0.431,0.823,0.008,1.524,0.015,5.683
1631117,"Utah Jazz","Walker Kessler","Vet",0.73,-0.53,-0.16,0.89,2.38,0.25,2.13,10.734,0.679,0.619,0.253,0.033,8.294,0.768,3.532,0.598,0.315,0.136,17.728,2.45,0.072,4.554,0.05,1.066,0.01,2.408
1629731,"Cleveland Cavaliers","Dean Wade","Vet",0.71,1.19,-0.82,1.52,-0.0599999999999999,-0.71,0.65,10.466,0.533,9.404,0.358,0.824,1.301,0.688,1.342,0.592,0.14,0.108,9.545,2.579,0.075,0.991,0.011,1.874,0.018,0.978
1628976,"Orlando Magic","Wendell Carter Jr.","Vet",0.7,0.45,-0.7,1.4,-1.01,-1.1,0.09,11.026,0.606,4.205,0.339,0.401,4.302,0.76,3.823,0.707,0.298,0.131,14.335,3.753,0.107,1.162,0.012,1.424,0.014,2.139
1628449,"Toronto Raptors","Chris Boucher","Vet",0.7,-0.07,0.61,0.09,0.12,0.61,-0.49,20.972,0.579,9.536,0.33,0.439,7.258,0.697,6.307,0.745,0.28,0.22,12.998,2.307,0.063,1.931,0.023,1.4,0.015,1.897
1629020,"Los Angeles Lakers","Jarred Vanderbilt","Vet",0.67,0.79,-1.35,2.02,0.29,-0.98,1.27,11.788,0.582,3.684,0.3,0.247,5.552,0.691,2.941,0.644,0.28,0.148,12.05,3.262,0.093,0.888,0.01,2.63,0.026,2.307
1631106,"Houston Rockets","Tari Eason","Vet",0.66,0.74,-0.67,1.33,-0.12,-0.96,0.84,18.67,0.531,5.778,0.347,0.302,8.42,0.638,3.562,0.743,0.183,0.187,13.527,2.622,0.073,1.731,0.02,3.127,0.032,2.043
1629652,"Oklahoma City Thunder","Luguentz Dort","Vet",0.66,1.4,-0.31,0.97,-0.18,-1.3,1.12,13.069,0.495,9.065,0.371,0.666,2.547,0.587,2.18,0.792,0.194,0.129,6.73,2.909,0.081,0.966,0.011,1.779,0.018,1.311
1629006,"Phoenix Suns","Josh Okogie","Vet",0.62,-0.5,-0.61,1.22,1.14,-0.87,2.01,15.062,0.52,5.438,0.324,0.372,6.658,0.605,6.297,0.704,0.385,0.174,9.257,3.004,0.086,1.193,0.013,2.46,0.025,2.289
1630552,"Atlanta Hawks","Jalen Johnson","Vet",0.6,0.22,-0.09,0.7,0.55,-0.35,0.9,19.498,0.576,5.553,0.343,0.273,7.074,0.718,3.908,0.742,0.19,0.219,12.63,6.895,0.211,1.287,0.014,1.795,0.018,3.681
1627747,"Cleveland Cavaliers","Caris LeVert","Vet",0.6,1.59,0.16,0.43,-0.97,-0.71,-0.26,15.725,0.531,6.849,0.347,0.441,6.031,0.638,4.16,0.724,0.255,0.179,6.33,7.153,0.199,0.801,0.009,1.92,0.019,2.74
201942,"Sacramento Kings","DeMar DeRozan","Vet",0.57,-0.11,1.63,-1.06,0.59,1.45,-0.86,22.79,0.511,2.681,0.317,0.146,3.089,0.674,8.279,0.84,0.35,0.243,5.611,5.788,0.176,0.714,0.008,1.661,0.017,2.315
1630631,"New Orleans Pelicans","Jose Alvarado","Vet",0.54,0.92,-0.12,0.66,-0.01,-0.45,0.44,19.493,0.467,10.831,0.35,0.562,2.416,0.621,2.555,0.727,0.129,0.201,5.422,8.009,0.251,0.496,0.006,2.897,0.029,2.786
1630194,"Detroit Pistons","Paul Reed","Vet",0.54,-0.74,-0.99,1.53,0.83,-0.94,1.77,16.291,0.575,3.884,0.303,0.233,7.714,0.688,3.583,0.712,0.21,0.198,14.574,2.995,0.086,2.77,0.031,2.598,0.026,2.498
1626168,"Sacramento Kings","Trey Lyles","Vet",0.49,0.48,-0.17,0.66,-0.63,-0.31,-0.32,14.346,0.519,9.215,0.343,0.646,3.167,0.672,2.477,0.725,0.216,0.151,10.895,2.994,0.088,1.066,0.011,1.107,0.012,1.625
202699,"Detroit Pistons","Tobias Harris","Vet",0.47,-0.87,0.18,0.29,0.16,-0.27,0.43,17.335,0.542,6.896,0.377,0.394,3.956,0.694,2.944,0.837,0.161,0.182,10.198,3.787,0.101,1.081,0.012,1.433,0.014,1.794
201144,"Minnesota Timberwolves","Mike Conley","Vet",0.45,-0.19,-0.49,0.94,1.45,0.85,0.6,15.009,0.489,10.194,0.387,0.679,1.594,0.593,2.558,0.832,0.171,0.156,5.389,8.759,0.244,0.468,0.005,2.333,0.023,2.402
