first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Lauri,Markkanen,SF,PF,,2024-12-21,,UTA,BKN,+2.5,220.5,109,6700,12,30.2,34.2,32.9,32.3,4.81
Anfernee,Simons,PG,,,2024-12-21,,POR,SA,+6.5,227.5,110.5,6600,21,37.0,35.9,30.2,32.3,4.89
Norman,Powell,SG,SF,,2024-12-21,,LAC,DAL,+4.5,221.5,108.5,6800,9,38.7,32.1,35.3,32.0,4.71
Deandre,Ayton,C,,,2024-12-21,,POR,SA,+6.5,227.5,110.5,6700,18,32.6,31.9,32.9,31.8,4.74
Walker,Kessler,C,,,2024-12-21,,UTA,BKN,+2.5,220.5,109,6400,6,34.0,35.6,33.2,31.3,4.88
Trey,Murphy III,SG,SF,,2024-12-21,,NO,NY,+8.5,224.5,108,6500,6,35.7,33.4,31.9,31.3,4.81
Jeremy,Sochan,PF,,,2024-12-21,,SA,POR,-6.5,227.5,117,6500,16,33.1,32.3,33.3,31.0,4.77
Desmond,Bane,SG,SF,,2024-12-21,,MEM,ATL,-2.5,240.5,121.5,6600,27,34.2,29.8,31.4,30.8,4.66
Coby,White,PG,SG,,2024-12-21,,CHI,BOS,+9.5,240.5,115.5,6600,17,29.9,30.0,32.3,30.8,4.66
Jarrett,Allen,C,,,2024-12-21,,CLE,PHI,-12.5,217.5,115,6600,16,32.1,29.5,33.3,30.8,4.66
Jaden,Ivey,PG,SG,Q,2024-12-21,,DET,PHO,+6.5,225.5,109.5,6700,25,23.0,28.2,30.8,30.8,4.59
Ayo,Dosunmu,PG,SG,,2024-12-21,,CHI,BOS,+9.5,240.5,115.5,6300,17,31.7,33.7,27.5,30.5,4.84
Andrew,Wiggins,SF,PF,,2024-12-21,,GSW,MIN,+4.5,215.5,105.5,6400,3,30.7,32.0,30.4,30.5,4.77
Payton,Pritchard,PG,SG,,2024-12-21,,BOS,CHI,-9.5,240.5,125,6000,28,33.1,36.5,29.6,30.0,5.00
Rudy,Gobert,C,,,2024-12-21,,MIN,GSW,-4.5,215.5,110,6300,11,26.8,30.0,30.8,29.8,4.72
Keyonte,George,PG,,Q,2024-12-21,,UTA,BKN,+2.5,220.5,109,6000,9,37.5,34.1,30.6,29.5,4.92
Kelly,Oubre Jr.,SG,,,2024-12-21,,PHI,CLE,+12.5,217.5,102.5,6200,3,34.8,31.0,26.3,29.5,4.76
Dyson,Daniels,PG,SG,,2024-12-21,,ATL,MEM,+2.5,240.5,119,6200,15,29.2,29.8,31.6,29.3,4.72
Draymond,Green,PF,C,,2024-12-21,,GSW,MIN,+4.5,215.5,105.5,6300,29,23.6,27.0,28.2,29.0,4.60
Chris,Paul,PG,,,2024-12-21,,SA,POR,-6.5,227.5,117,6100,7,31.3,30.4,31.3,29.0,4.75
Mikal,Bridges,SG,SF,,2024-12-21,,NY,NO,-8.5,224.5,116.5,5900,26,34.2,32.5,30.4,28.8,4.87
Jonathan,Kuminga,PF,,,2024-12-21,,GSW,MIN,+4.5,215.5,105.5,6000,29,29.3,29.2,26.5,28.5,4.75
OG,Anunoby,SF,PF,,2024-12-21,,NY,NO,-8.5,224.5,116.5,6100,8,28.3,27.9,31.7,28.5,4.67
Goga,Bitadze,C,,,2024-12-21,,ORL,MIA,-2.5,208.5,105.5,5900,12,34.5,32.0,26.4,28.5,4.83
Jerami,Grant,PF,,,2024-12-21,,POR,SA,+6.5,227.5,110.5,6100,13,30.5,28.4,28.7,28.5,4.67
Dennis,Schroder,PG,SG,,2024-12-21,,GSW,MIN,+4.5,215.5,105.5,5700,8,29.5,34.3,34.0,28.3,4.96
Jusuf,Nurkic,C,,,2024-12-21,,PHO,DET,-6.5,225.5,116,6200,15,28.9,25.2,27.0,28.3,4.56
Tyus,Jones,PG,,,2024-12-21,,PHO,DET,-6.5,225.5,116,5800,13,31.6,31.2,29.3,28.0,4.83
Shaedon,Sharpe,PG,SG,,2024-12-21,,POR,SA,+6.5,227.5,110.5,5900,21,28.0,27.6,27.5,27.8,4.70
Santi,Aldama,PF,,,2024-12-21,,MEM,ATL,-2.5,240.5,121.5,5600,27,31.9,31.9,31.0,27.5,4.91
Bilal,Coulibaly,SF,,,2024-12-21,,WAS,MIL,+11.5,227.5,108,5800,20,37.2,27.7,28.7,27.3,4.70
Tobias,Harris,PF,,,2024-12-21,,DET,PHO,+6.5,225.5,109.5,5800,20,30.5,28.0,29.5,27.3,4.70
De'Andre,Hunter,SF,PF,,2024-12-21,,ATL,MEM,+2.5,240.5,119,5500,27,31.9,31.3,29.4,27.0,4.91
Justin,Champagnie,SF,PF,,2024-12-21,,WAS,MIL,+11.5,227.5,108,5900,20,36.5,24.4,25.8,27.0,4.58
Jalen,Duren,C,,,2024-12-21,,DET,PHO,+6.5,225.5,109.5,5900,24,23.7,24.1,26.5,27.0,4.58
Andre,Drummond,C,,,2024-12-21,,PHI,CLE,+12.5,217.5,102.5,6100,3,20.3,20.3,22.3,26.8,4.39
Khris,Middleton,SG,SF,,2024-12-21,,MIL,WAS,-11.5,227.5,119.5,5200,22,24.7,36.3,23.0,26.8,5.14
Yves,Missi,C,,,2024-12-21,,NO,NY,+8.5,224.5,108,5500,8,30.1,30.7,25.4,26.8,4.86
Deni,Avdija,SF,PF,,2024-12-21,,POR,SA,+6.5,227.5,110.5,5500,14,25.5,30.6,27.4,26.8,4.86
Alexandre,Sarr,PF,C,,2024-12-21,,WAS,MIL,+11.5,227.5,108,5500,3,31.3,29.8,27.5,26.5,4.82
Dereck,Lively II,C,,,2024-12-21,,DAL,LAC,-4.5,221.5,113,5500,14,25.9,28.2,26.1,26.3,4.77
Clint,Capela,C,,,2024-12-21,,ATL,MEM,+2.5,240.5,119,5500,17,23.6,27.5,26.9,26.0,4.73
Nic,Claxton,C,,,2024-12-21,,BKN,UTA,-2.5,220.5,111.5,5600,30,27.2,25.6,25.5,26.0,4.64
Ben,Simmons,PG,,,2024-12-21,,BKN,UTA,-2.5,220.5,111.5,5700,26,23.6,22.3,23.7,25.8,4.52
Bobby,Portis,PF,C,,2024-12-21,,MIL,WAS,-11.5,227.5,119.5,5300,22,33.8,28.9,27.7,25.8,4.86
Devin,Vassell,SG,SF,,2024-12-21,,SA,POR,-6.5,227.5,117,5400,30,26.1,27.2,26.5,25.8,4.77
Jordan,Clarkson,SG,,,2024-12-21,,UTA,BKN,+2.5,220.5,109,5300,24,23.3,28.5,26.8,25.5,4.81
Klay,Thompson,SG,SF,,2024-12-21,,DAL,LAC,-4.5,221.5,113,5400,23,31.2,25.9,24.7,25.5,4.72
Royce,O'Neale,SF,PF,,2024-12-21,,PHO,DET,-6.5,225.5,116,5300,30,30.0,27.3,25.5,25.3,4.76
Malik,Beasley,SG,SF,,2024-12-21,,DET,PHO,+6.5,225.5,109.5,5200,7,33.5,28.9,26.2,25.3,4.86
