Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4572990605,Cd867 (7/18),0,425,C Bobby Portis F Kevin Durant G Mikal Bridges PF De'Andre Hunter PG Scotty Pippen Jr. SF Desmond Bane SG Cole Anthony UTIL Jayson Tatum,,Scotty Pippen Jr.,PG,65.21%,44.75
2,4573010859,foransound (13/20),0,419.75,C Zach Edey F Kevin Durant G Ryan Rollins PF Bobby Portis PG Scotty Pippen Jr. SF Jayson Tatum SG Cole Anthony UTIL Cade Cunningham,,Bobby Portis,PF,64.84%,70
3,4573085715,KCMO24 (17/20),0,419.25,C Goga Bitadze F Bobby Portis G Khris Middleton PF Jalen Johnson PG Scotty Pippen Jr. SF Desmond Bane SG Cole Anthony UTIL Victor Wembanyama,,Jalen Johnson,F,40.19%,43.25
4,4572253030,willoc729 (13/20),0,416.75,C Yves Missi F Bobby Portis G Scotty Pippen Jr. PF Jayson Tatum PG Cole Anthony SF De'Andre Hunter SG Khris Middleton UTIL Victor Wembanyama,,Kevin Durant,C,35.02%,60.25
5,4572873873,wicked_mumbles (17/20),0,413.75,C Bobby Portis F Khris Middleton G Anfernee Simons PF Jayson Tatum PG Cole Anthony SF Gary Trent Jr. SG Marcus Smart UTIL Victor Wembanyama,,Bogdan Bogdanovic,G,27.40%,10.5
6,4572691020,meyers2305 (20/20),0,411.75,C Bobby Portis F Kevin Durant G Ben Simmons PF Jalen Johnson PG Scotty Pippen Jr. SF Desmond Bane SG Cole Anthony UTIL Ivica Zubac,,Desmond Bane,SG,25.26%,50.25
7,4572304535,hoodmaster (12/15),0,411.25,C Dereck Lively II F Gary Trent Jr. G Scotty Pippen Jr. PF Bobby Portis PG Tyler Herro SF Jayson Tatum SG Khris Middleton UTIL Kevin Durant,,Victor Wembanyama,UTIL,23.52%,66.25
8,4573271721,beatTheVig (5/20),0,409,C Bobby Portis F Kevin Durant G Ryan Rollins PF Larry Nance Jr. PG Scotty Pippen Jr. SF Jayson Tatum SG Dyson Daniels UTIL Jalen Brunson,,Khris Middleton,F,22.71%,41
9,4573239611,colinmccort (7/7),0,408.5,C Moritz Wagner F Khris Middleton G Scotty Pippen Jr. PF Bobby Portis PG Cole Anthony SF Jayson Tatum SG Dyson Daniels UTIL Victor Wembanyama,,Kyrie Irving,G,19.75%,28.25
10,4572283096,johndeere159 (3/20),0,406.25,C Victor Wembanyama F Bobby Portis G Scotty Pippen Jr. PF Lauri Markkanen PG Cole Anthony SF Jayson Tatum SG Bogdan Bogdanovic UTIL Gary Trent Jr.,,Tyler Herro,PG,18.20%,36.5
