Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4578791733,nlowejr (8/20),0,375,C Victor Wembanyama F Bradley Beal G Dalton Knecht PF Jeremy Sochan PG Chris Paul SF Mikal Bridges SG Austin Reaves UTIL Trayce Jackson-Davis,,Devin Vassell,SG,50.95%,22.75
2,4578993629,wisconsinite3 (5/20),0,372.25,C Victor Wembanyama F Devin Vassell G Monte Morris PF LeBron James PG Chris Paul SF Mikal Bridges SG Austin Reaves UTIL Trayce Jackson-Davis,,Tyus Jones,G,48.64%,29.75
3,4578664182,TT8607 (5/20),0,369.75,C Victor Wembanyama F Royce O'Neale G Tyus Jones PF Josh Hart PG Chris Paul SF Mikal Bridges SG Austin Reaves UTIL Trayce Jackson-Davis,,Kevin Durant,F,44.64%,49
4,4578603671,presco22 (2/2),0,368.5,C Victor Wembanyama F Julius Randle G Donte DiVincenzo PF Jeremy Sochan PG Chris Paul SF Mikal Bridges SG Austin Reaves UTIL Trayce Jackson-Davis,,Naz Reid,PF,42.87%,13
5,4578710617,willoc729 (10/20),0,366.75,C Victor Wembanyama F Bradley Beal G Austin Reaves PF Royce O'Neale PG Chris Paul SF Mikal Bridges SG Devin Vassell UTIL Trayce Jackson-Davis,,Nikola Jokic,C,35.01%,52.25
6,4578930456,foutsmi (18/20),0,364.25,C Victor Wembanyama F Jaden McDaniels G Chris Paul PF Royce O'Neale PG Jalen Brunson SF Mikal Bridges SG Austin Reaves UTIL Trayce Jackson-Davis,,OG Anunoby,SF,27.40%,18.75
7,4578791741,nlowejr (16/20),0,362.75,C Victor Wembanyama F Dalton Knecht G Tyus Jones PF Kevin Durant PG Austin Reaves SF Mikal Bridges SG Devin Vassell UTIL Trayce Jackson-Davis,,Trayce Jackson-Davis,UTIL,24.30%,31.25
8,4579685734,hbyanksman (9/10),0,358.5,C Victor Wembanyama F LeBron James G Austin Reaves PF Precious Achiuwa PG Chris Paul SF Caleb Martin SG Nickeil Alexander-Walker UTIL Bradley Beal,,Austin Reaves,SG,24.08%,60.5
9,4579309777,niquisition (17/20),0,357.5,C Victor Wembanyama F LeBron James G Monte Morris PF Naz Reid PG Tyus Jones SF Mikal Bridges SG Austin Reaves UTIL Royce O'Neale,,Jaden McDaniels,SF,22.68%,22
10,4579157672,commo45 (1/2),0,357.25,C Jusuf Nurkic F Josh Hart G Chris Paul PF Jeremy Sochan PG Austin Reaves SF Andrew Wiggins SG Mikal Bridges UTIL Julius Randle,,Royce O'Neale,UTIL,21.62%,30.5
