Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4582255767,jjohn71,0,367,C Zach Edey F Tristan da Silva G Kentavious Caldwell-Pope PF Miles Bridges PG Shai Gilgeous-Alexander SF Jaime Jaquez Jr. SG Andrew Nembhard UTIL LaMelo Ball,,Bobby Portis,F,55.26%,36
2,4582050674,srodriguez34 (13/20),0,362.5,C Zach Edey F Bobby Portis G Ryan Rollins PF Jaime Jaquez Jr. PG Shai Gilgeous-Alexander SF Zach LaVine SG Coby White UTIL Brook Lopez,,Talen Horton-Tucker,SF,43.22%,8.5
3,4581172500,love245555 (11/20),0,362,C Zach Edey F Cam Whitmore G Ryan Rollins PF Bobby Portis PG Shai Gilgeous-Alexander SF Zach LaVine SG Coby White UTIL Brook Lopez,,Amen Thompson,SG,41.21%,36.5
4,4581333264,aaryan1212 (10/10),0,358,C Zach Edey F Jaren Jackson Jr. G Trae Young PF Patrick Williams PG Coby White SF Jaime Jaquez Jr. SG Zach LaVine UTIL Bobby Portis,,Coby White,PG,33.85%,43.25
5,4582076085,KillaKhall (16/20),0,357.75,C Zach Edey F Bobby Portis G Trae Young PF Jaime Jaquez Jr. PG Shai Gilgeous-Alexander SF Tristan da Silva SG Amen Thompson UTIL Cam Whitmore,,Zach LaVine,SF,31.94%,57.75
6,4581531870,Stree (4/20),0,355.75,C Clint Capela F Jalen Johnson G Amen Thompson PF Jaime Jaquez Jr. PG Shai Gilgeous-Alexander SF Cam Whitmore SG Coby White UTIL Zach Edey,,LaMelo Ball,PG,28.34%,49
7,4581759929,UglyLovely (8/20),0,355.25,C Goga Bitadze F Jalen Johnson G Khris Middleton PF Alexandre Sarr PG Coby White SF Jaime Jaquez Jr. SG Zach LaVine UTIL Zach Edey,,Alexandre Sarr,PF,28.10%,29.25
7,4582145720,StashKing (19/20),0,355.25,C Mark Williams F Jaren Jackson Jr. G Amen Thompson PF Miles Bridges PG Fred VanVleet SF Zach LaVine SG Gradey Dick UTIL Zach Edey,,Trae Young,PG,26.72%,55.5
9,4581628361,ATL05 (3/20),0,353.5,C Mark Williams F Pascal Siakam G Jalen Green PF Miles Bridges PG Jordan Poole SF Zach LaVine SG Luguentz Dort UTIL Zach Edey,,Trevelin Queen,G,25.63%,20.25
9,4582209805,Jscarps24 (6/6),0,353.5,C Zach Edey F Amen Thompson G Shai Gilgeous-Alexander PF Miles Bridges PG Coby White SF Khris Middleton SG Gary Trent Jr. UTIL Mark Williams,,Ryan Rollins,G,24.06%,23
11,4581546012,RiseAboveTheRest (3/20),0,353.25,C Zach Edey F Jalen Johnson G Ryan Rollins PF Patrick Williams PG Trae Young SF Cam Whitmore SG Zach LaVine UTIL Fred VanVleet,,Clint Capela,C,21.66%,18
12,4582220006,stephaniegall,0,350.25,C Mark Williams F Jalen Johnson G Kentavious Caldwell-Pope PF Jaren Jackson Jr. PG LaMelo Ball SF Cam Whitmore SG Andrew Nembhard UTIL Zach Edey,,Jalen Johnson,F,17.67%,59.25
13,4581365751,Airborntrey (8/20),0,349.5,C Zach Edey F Amen Thompson G Trae Young PF Jaime Jaquez Jr. PG Malcolm Brogdon SF Scottie Barnes SG Zach LaVine UTIL Cam Whitmore,,Jaime Jaquez Jr.,PF,16.78%,38
14,4582130020,jesshendricks (2/10),0,349,C Myles Turner F Zach LaVine G Shake Milton PF Bobby Portis PG Shai Gilgeous-Alexander SF Jaime Jaquez Jr. SG Coby White UTIL Mark Williams,,Shai Gilgeous-Alexander,PG,15.39%,73.25
15,4581121946,B_Mcafee90 (17/20),0,348.75,C Zach Edey F Zach LaVine G Coby White PF Jaime Jaquez Jr. PG Shai Gilgeous-Alexander SF Talen Horton-Tucker SG Kentavious Caldwell-Pope UTIL Trae Young,,Jalen Williams,F,14.64%,32.5
16,4581704850,lowroda (12/20),0,348,C Mark Williams F Zach LaVine G Trae Young PF Tristan da Silva PG Shai Gilgeous-Alexander SF Zaccharie Risacher SG Coby White UTIL Ryan Rollins,,Khris Middleton,F,12.31%,34.75
16,4581982566,vicdbrk (1/2),0,348,C Jonas Valanciunas F Jaren Jackson Jr. G RJ Barrett PF Nikola Jovic PG Jordan Poole SF Jaime Jaquez Jr. SG Amen Thompson UTIL Miles Bridges,,Alperen Sengun,UTIL,12.07%,35.25
18,4581248389,schneiderman8 (20/20),0,347.75,C Goga Bitadze F Cam Whitmore G Amen Thompson PF Bobby Portis PG LaMelo Ball SF Jaime Jaquez Jr. SG Zach LaVine UTIL Zach Edey,,Santi Aldama,F,11.53%,7.25
18,4582225809,Duse99,0,347.75,C Mark Williams F Talen Horton-Tucker G Trevelin Queen PF Jalen Johnson PG Shai Gilgeous-Alexander SF Zach LaVine SG Coby White UTIL Zach Edey,,Yves Missi,C,11.43%,23.25
20,4582210117,JRyan2425 (8/10),0,346.75,C Alexandre Sarr F Zaccharie Risacher G Ryan Rollins PF Jalen Johnson PG Trae Young SF Zach LaVine SG Coby White UTIL Zach Edey,,Nikola Vucevic,C,11.00%,38
21,4582350659,Jbjafarian (8/20),0,346,C Zach Edey F Dalen Terry G Trae Young PF Cam Whitmore PG Shai Gilgeous-Alexander SF Zach LaVine SG Coby White UTIL Kelly Olynyk,,Scottie Barnes,PG,10.65%,47
22,4581121935,B_Mcafee90 (6/20),0,345.75,C Zach Edey F Amen Thompson G Trae Young PF Alexandre Sarr PG Coby White SF Cam Whitmore SG Zach LaVine UTIL Bobby Portis,,Zach Edey,UTIL,10.61%,50
22,4581383856,McDookatron,0,345.75,C Zach Edey F Zach LaVine G Coby White PF Bobby Portis PG Trae Young SF Cam Whitmore SG Amen Thompson UTIL Alexandre Sarr,,Jordan Poole,SG,10.51%,45
24,4581341810,Gooch1224,0,345.5,C Zach Edey F Miles Bridges G Zach LaVine PF Tristan da Silva PG LaMelo Ball SF Amen Thompson SG Jalen Green UTIL Chris Boucher,,Brook Lopez,C,9.92%,41.25
24,4581883014,milanman21 (4/10),0,345.5,C Brook Lopez F Amen Thompson G Malcolm Brogdon PF Bobby Portis PG Shai Gilgeous-Alexander SF Jaime Jaquez Jr. SG Coby White UTIL Zach Edey,,Ja Morant,G,9.54%,30
26,4582137070,macattack72804,0,345.25,C Zach Edey F De'Andre Hunter G LaMelo Ball PF Tristan da Silva PG Shai Gilgeous-Alexander SF Amen Thompson SG Alec Burks UTIL Mark Williams,,Mark Williams,UTIL,9.11%,35.5
27,4582278856,RudebwoyKev (12/20),0,345,C Zach Edey F Jalen Johnson G Zach LaVine PF Jaime Jaquez Jr. PG Scottie Barnes SF Talen Horton-Tucker SG Coby White UTIL Brook Lopez,,Tyler Herro,SG,9.01%,27.25
28,4581338406,dd_wons (2/3),0,344,C Zach Edey F Bobby Portis G Zach LaVine PF Miles Bridges PG Jordan Poole SF Khris Middleton SG Coby White UTIL Trevelin Queen,,Isaiah Hartenstein,C,8.41%,32.25
28,4582170918,dgriffin333 (12/20),0,344,C Nic Claxton F Jalen Johnson G Ryan Rollins PF Tristan da Silva PG Shai Gilgeous-Alexander SF Zaccharie Risacher SG Zach LaVine UTIL Brook Lopez,,Larry Nance Jr.,PF,8.36%,19.75
30,4581200031,joedeejeezy (3/6),0,343.75,C Zach Edey F Bobby Portis G Shai Gilgeous-Alexander PF Jaime Jaquez Jr. PG Trae Young SF Tristan da Silva SG Trevelin Queen UTIL Myles Turner,,Patrick Williams,PF,8.35%,27.25
30,4581278097,cashellj (3/20),0,343.75,C Mark Williams F Talen Horton-Tucker G Trae Young PF Jaime Jaquez Jr. PG Shai Gilgeous-Alexander SF Zach LaVine SG Coby White UTIL Noah Clowney,,Jabari Smith Jr.,PF,8.27%,14.5
30,4581968156,chupa77 (14/20),0,343.75,C Goga Bitadze F Amen Thompson G Fred VanVleet PF Alexandre Sarr PG Trae Young SF Zaccharie Risacher SG Zach LaVine UTIL Zach Edey,,CJ McCollum,SG,7.90%,20.5
30,4582058455,jb101086 (16/20),0,343.75,C Zach Edey F Zach LaVine G Trae Young PF Bobby Portis PG Coby White SF Tristan da Silva SG Jalen Green UTIL Kelly Olynyk,,Desmond Bane,SF,7.62%,30.75
30,4582339106,bkswed (12/20),0,343.75,C Goga Bitadze F Jalen Johnson G Coby White PF Patrick Williams PG Trae Young SF Cam Whitmore SG Zach LaVine UTIL Trevelin Queen,,Cam Whitmore,SF,7.62%,37.5
35,4581451793,liu777 (2/2),0,343,C Zach Edey F Noah Clowney G LaMelo Ball PF Bobby Portis PG Shai Gilgeous-Alexander SF Amen Thompson SG Jevon Carter UTIL Gary Trent Jr.,,Dejounte Murray,PG,7.35%,33.5
35,4581466843,slicknative (1/20),0,343,C Kelly Olynyk F Khris Middleton G Zach LaVine PF Bobby Portis PG Trae Young SF Jaime Jaquez Jr. SG Coby White UTIL Zach Edey,,Zaccharie Risacher,SF,7.18%,28.75
37,4581741709,Duckbearbull (1/4),0,342.75,C Mark Williams F Alexandre Sarr G Coby White PF Miles Bridges PG Shai Gilgeous-Alexander SF Amen Thompson SG Keon Johnson UTIL Jalen Green,,Bilal Coulibaly,F,7.09%,35.5
37,4582056199,redskins2111 (4/4),0,342.75,C Zach Edey F Alexandre Sarr G Scotty Pippen Jr. PF Miles Bridges PG LaMelo Ball SF Cam Whitmore SG Zach LaVine UTIL Dyson Daniels,,Fred VanVleet,G,6.99%,43
39,4581192032,joedeejeezy (1/6),0,342.5,C Myles Turner F Amen Thompson G Trae Young PF Alexandre Sarr PG Shai Gilgeous-Alexander SF Jaime Jaquez Jr. SG Trevelin Queen UTIL Zach Edey,,Kentavious Caldwell-Pope,SG,6.76%,22.5
39,4582357184,tigervol23 (20/20),0,342.5,C Zach Edey F Amen Thompson G Trae Young PF Jaime Jaquez Jr. PG Shai Gilgeous-Alexander SF Talen Horton-Tucker SG Zach LaVine UTIL Ryan Rollins,,Kelly Olynyk,C,6.69%,27.75
41,4581995766,ayotayo (16/20),0,341.75,C Clint Capela F Zaccharie Risacher G Trae Young PF Jalen Johnson PG Coby White SF Jaime Jaquez Jr. SG Zach LaVine UTIL Brook Lopez,,Jalen Smith,C,6.45%,15.5
42,4581265917,lozingitall (8/20),0,341.5,C Alexandre Sarr F Cam Whitmore G Amen Thompson PF Jalen Johnson PG Trae Young SF Jaime Jaquez Jr. SG Zach LaVine UTIL Kelly Olynyk,,Tristan da Silva,PF,6.36%,31
42,4582131491,kcan8689 (9/9),0,341.5,C Mark Williams F Zach LaVine G Coby White PF Bobby Portis PG Jalen Suggs SF Cam Whitmore SG Jordan Poole UTIL Zach Edey,,Dyson Daniels,PG,5.95%,32.75
44,4581888521,atown1023 (5/5),0,340.75,C Clint Capela F Zaccharie Risacher G Khris Middleton PF Jaime Jaquez Jr. PG Shai Gilgeous-Alexander SF Tristan da Silva SG Zach LaVine UTIL Jalen Johnson,,Jalen Green,SG,5.85%,42.5
44,4582143347,bubbamsu (1/2),0,340.75,C Zach Edey F Miles Bridges G Malcolm Brogdon PF Jaime Jaquez Jr. PG Shai Gilgeous-Alexander SF Bilal Coulibaly SG Amen Thompson UTIL Yves Missi,,Malcolm Brogdon,SG,5.64%,27.25
44,4582185136,kybusch1818 (2/20),0,340.75,C Bobby Portis F Jalen Johnson G Amen Thompson PF Jaime Jaquez Jr. PG Trae Young SF Zach LaVine SG Trevelin Queen UTIL Cam Whitmore,,Goga Bitadze,UTIL,5.54%,43
47,4581335591,alexk14 (19/20),0,340.5,C Bobby Portis F Patrick Williams G Jalen Green PF Jaime Jaquez Jr. PG Coby White SF Amen Thompson SG Zach LaVine UTIL Jalen Johnson,,Dalen Terry,SF,5.11%,1
47,4581711785,jsolis75 (9/20),0,340.5,C Kelly Olynyk F Noah Clowney G Trae Young PF Patrick Williams PG Coby White SF Scottie Barnes SG Zach LaVine UTIL Zach Edey,,Jaren Jackson Jr.,PF,4.28%,50.25
47,4582339107,bkswed (13/20),0,340.5,C Myles Turner F Jalen Johnson G Coby White PF Patrick Williams PG Trae Young SF Cam Whitmore SG Zach LaVine UTIL Trevelin Queen,,Miles Bridges,F,4.25%,57
50,4580863015,SCOOBY43DH (1/2),0,340.25,C Zach Edey F Pascal Siakam G Zach LaVine PF De'Andre Hunter PG Trae Young SF Tristan da Silva SG Jalen Green UTIL Kentavious Caldwell-Pope,,De'Andre Hunter,SF,4.02%,38.5
50,4581362714,bkslast (2/3),0,340.25,C Mark Williams F Bobby Portis G Trevelin Queen PF Miles Bridges PG Shai Gilgeous-Alexander SF Luguentz Dort SG Jordan Poole UTIL Zach Edey,,RJ Barrett,F,3.87%,54.75
50,4581803858,nolefan17 (1/2),0,340.25,C Jonas Valanciunas F Amen Thompson G Coby White PF Jalen Johnson PG LaMelo Ball SF Jaime Jaquez Jr. SG Jaylen Wells UTIL Zach Edey,,Tyrese Haliburton,PG,3.83%,18
50,4581845551,cdadon84 (2/2),0,340.25,C Nikola Jovic F Jalen Johnson G Coby White PF Jaime Jaquez Jr. PG Shai Gilgeous-Alexander SF Zaccharie Risacher SG Jaylen Wells UTIL Scottie Barnes,,Jalen Suggs,PG,3.79%,36.5
54,4581468510,cpforfree (1/20),0,340,C Zach Edey F Jaime Jaquez Jr. G Coby White PF Alexandre Sarr PG Trae Young SF Amen Thompson SG Jordan Poole UTIL Jalen Green,,Bam Adebayo,C,3.13%,33.75
