Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Pacome Dadiet,SG/SF,NYK,0.00,3000,0.00,0.03,0.00,0.00
Jacob Toppin,SF/PF,NYK,0.00,3000,0.00,0.03,0.00,0.00
Tyler Kolek,PG,NYK,0.00,3000,0.00,0.03,0.00,0.00
Cameron Payne,PG/SG,NYK,13.00,3000,11.83,1.87,6.59,15.30
Ariel Hukporti,C,NYK,0.00,3000,0.00,0.03,0.00,0.00
Kevin McCullar Jr.,SF,NYK,0.00,3000,0.00,0.03,0.00,0.00
Riley Minix,PF,SAS,0.00,3000,0.00,0.03,0.00,0.00
Blake Wesley,PG/SG,SAS,0.00,3000,0.00,0.03,0.00,0.00
Harrison Ingram,PF,SAS,0.00,3000,0.00,0.03,0.00,0.00
Sidy Cissoko,SG,SAS,0.00,3000,0.00,0.03,0.00,0.00
David Duke Jr.,SG,SAS,0.00,3000,0.00,0.03,0.00,0.00
Sandro Mamukelashvili,PF/C,SAS,0.00,3000,0.00,0.03,0.00,0.00
Malaki Branham,PG/SG,SAS,0.00,3000,0.00,0.03,0.00,0.00
