Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,4555669327,bulldog0202 (7/20),0,331,C Victor Wembanyama F Trey Murphy III G Scotty Pippen Jr. PF Santi Aldama PG Dejounte Murray SF Justin Champagnie SG CJ McCollum UTIL Jonas Valanciunas,,Anthony Edwards,SG,7.52%,43.75
26,4555545380,TheKid2430 (13/20),0,330.5,C Jonas Valanciunas F Trey Murphy III G D'Angelo Russell PF Julius Randle PG Scotty Pippen Jr. SF Justin Champagnie SG Jaylen Wells UTIL Anthony Davis,,John Collins,PF,7.47%,36.25
27,4555605592,snajuice (8/20),0,330.25,C Jonas Valanciunas F Jonathan Kuminga G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Rui Hachimura SG Marcus Smart UTIL Anthony Davis,,Dalton Knecht,SF,7.09%,18.5
27,4555666048,scozzzzz (20/20),0,330.25,C Jonas Valanciunas F Jaren Jackson Jr. G D'Angelo Russell PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Jordan Poole UTIL Anthony Davis,,Malik Monk,PG,7.04%,25.5
27,4555743306,mrhands17 (6/20),0,330.25,C Jonas Valanciunas F Jaren Jackson Jr. G D'Angelo Russell PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Jordan Poole UTIL Anthony Davis,,Rui Hachimura,SF,6.84%,43.25
30,4555174750,Thetank72 (3/5),0,330,C Jonas Valanciunas F John Collins G D'Angelo Russell PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Jordan Poole UTIL Anthony Davis,,Jonathan Kuminga,F,6.84%,40.75
30,4555391369,FlyBoysGangGreen,0,330,C Ivica Zubac F Amen Thompson G Kevin Porter Jr. PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Jalen Green UTIL Anthony Davis,,Jared Butler,G,6.69%,29.75
30,4555549384,DaddyRaks (14/20),0,330,C Jonas Valanciunas F Brandon Clarke G Stephen Curry PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG CJ McCollum UTIL Anthony Davis,,Bilal Coulibaly,SF,6.55%,32.25
33,4555317333,JdHawkk (8/20),0,329.75,C Jonas Valanciunas F Jaren Jackson Jr. G Jalen Green PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG CJ McCollum UTIL Anthony Davis,,Kevin Porter Jr.,G,6.45%,35
33,4555549386,DaddyRaks (16/20),0,329.75,C Jonas Valanciunas F Dalton Knecht G Stephen Curry PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Jalen Green UTIL Anthony Davis,,Lauri Markkanen,F,6.02%,14.5
