Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4564586770,tipler113,0,364.25,C Goga Bitadze F Justin Champagnie G Payton Pritchard PF Jonathan Kuminga PG Luka Doncic SF Bilal Coulibaly SG Klay Thompson UTIL Josh Hart,,Jonathan Kuminga,UTIL,57.94%,33.75
2,4564589174,illwood (13/20),0,359.25,C Moritz Wagner F Andrew Wiggins G Buddy Hield PF Jonathan Kuminga PG Luka Doncic SF Klay Thompson SG Payton Pritchard UTIL Austin Reaves,,Justin Champagnie,SF,50.47%,47
3,4565483069,cj351 (4/5),0,357.75,C Jusuf Nurkic F Jaden McDaniels G Luka Doncic PF Royce O'Neale PG Jordan Poole SF Justin Champagnie SG Klay Thompson UTIL Jonathan Kuminga,,Buddy Hield,G,42.40%,12.5
4,4563722589,TT8607 (7/20),0,356,C Moritz Wagner F Klay Thompson G Luka Doncic PF Jonathan Kuminga PG Jordan Poole SF Justin Champagnie SG Buddy Hield UTIL Jusuf Nurkic,,Goga Bitadze,C,32.27%,29.25
5,4565950196,nceddie66 (9/10),0,355.5,C Jusuf Nurkic F Klay Thompson G Luka Doncic PF Alexandre Sarr PG Derrick White SF Bilal Coulibaly SG Payton Pritchard UTIL Jaden McDaniels,,Bilal Coulibaly,F,32.19%,35.75
6,4565130743,Thegoldcobra (14/20),0,355.25,C Moritz Wagner F Bilal Coulibaly G Luka Doncic PF Jonathan Kuminga PG Kyrie Irving SF Justin Champagnie SG Klay Thompson UTIL Buddy Hield,,Jalen Suggs,PG,28.78%,34.75
7,4565448158,PlagueisTheWise (6/10),0,353.5,C Dereck Lively II F Klay Thompson G Mike Conley PF Jonathan Kuminga PG Jalen Suggs SF Justin Champagnie SG Austin Reaves UTIL Luka Doncic,,Anthony Davis,UTIL,27.34%,69
8,4565849888,jscott2493 (20/20),0,353,C Moritz Wagner F Jaren Jackson Jr. G Klay Thompson PF Jonathan Kuminga PG Luka Doncic SF Justin Champagnie SG Buddy Hield UTIL Jusuf Nurkic,,Anthony Black,PG,23.82%,11.75
9,4565789591,laboni64,0,352.25,C Goga Bitadze F Justin Champagnie G Jalen Suggs PF Jonathan Kuminga PG Luka Doncic SF Bilal Coulibaly SG Payton Pritchard UTIL Jaden McDaniels,,Ja Morant,PG,22.49%,41.25
10,4564589163,illwood (2/20),0,351.5,C Moritz Wagner F Klay Thompson G Luka Doncic PF Jonathan Kuminga PG Jalen Suggs SF Justin Champagnie SG Buddy Hield UTIL Jusuf Nurkic,,Dereck Lively II,C,22.49%,24.25
10,4565769601,DayByDay (2/20),0,351.5,C Moritz Wagner F Klay Thompson G Luka Doncic PF Jonathan Kuminga PG Jalen Suggs SF Justin Champagnie SG Buddy Hield UTIL Jusuf Nurkic,,Payton Pritchard,SG,20.74%,40.25
