Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
26,4560927423,mrblonde1425 (5/10),0,311.5,C Jarrett Allen F Jarace Walker G Tyrese Haliburton PF Obi Toppin PG Ja Morant SF Justin Champagnie SG Caris LeVert UTIL Pascal Siakam,,Ja Morant,G,9.39%,55.25
26,4561136800,westonselman (1/20),0,311.5,C Jarrett Allen F Julius Randle G Kevin Porter Jr. PF Miles Bridges PG Darius Garland SF Bilal Coulibaly SG Donovan Mitchell UTIL Jalen Smith,,Jared Butler,PG,9.35%,12.75
26,4561499373,BigMart11 (6/20),0,311.5,C Jalen Smith F Bilal Coulibaly G Josh Giddey PF Jaren Jackson Jr. PG Caris LeVert SF Justin Champagnie SG Norman Powell UTIL Anthony Davis,,Anthony Edwards,PG,8.96%,34.5
26,4561540829,TTvftoppspj,0,311.5,C Rudy Gobert F Desmond Bane G Kelly Oubre Jr. PF Pascal Siakam PG Ja Morant SF Bilal Coulibaly SG Andrew Nembhard UTIL Caris LeVert,,Alexandre Sarr,UTIL,8.67%,30.25
30,4561318121,Geneobisy90 (2/2),0,310.75,C Jalen Smith F Zach LaVine G Ja Morant PF Miles Bridges PG Josh Giddey SF Michael Porter Jr. SG Ayo Dosunmu UTIL Jaden McDaniels,,Jaren Jackson Jr.,UTIL,7.73%,43.25
31,4561469715,loegs14 (13/20),0,310.5,C Jarrett Allen F Miles Bridges G Josh Giddey PF Obi Toppin PG Donovan Mitchell SF Justin Champagnie SG Brandon Miller UTIL Jalen Smith,,Bilal Coulibaly,SF,7.68%,47
32,4561486010,Ajuice2u5125 (4/4),0,309.75,C Jarrett Allen F Alexandre Sarr G Darius Garland PF Jaren Jackson Jr. PG Vasilije Micic SF Bilal Coulibaly SG Donovan Mitchell UTIL Jalen Smith,,Brandon Clarke,F,7.53%,24.5
33,4561574414,kawhittin (14/20),0,309.5,C Jarrett Allen F Norman Powell G Tyrese Haliburton PF Aaron Gordon PG Darius Garland SF Jaden McDaniels SG Zach LaVine UTIL Jalen Smith,,Donte DiVincenzo,SG,7.53%,13.75
34,4560949180,willoc729 (2/20),0,309,C Jarrett Allen F Brandon Miller G Josh Giddey PF Jaren Jackson Jr. PG Caris LeVert SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Russell Westbrook,G,7.20%,17.75
35,4561148253,clmabrey (2/10),0,308.75,C Jarrett Allen F Julian Strawther G Ja Morant PF Miles Bridges PG Darius Garland SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,D'Angelo Russell,G,6.47%,11
