Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4569698595,mightyfather (1/2),0,388.5,C Victor Wembanyama F Cameron Johnson G Marcus Sasser PF Larry Nance Jr. PG Spencer Dinwiddie SF Bilal Coulibaly SG Jalen Green UTIL Karl-Anthony Towns,,Spencer Dinwiddie,G,62.69%,40.75
2,4570004984,mmoore114 (15/20),0,385.75,C Isaiah Hartenstein F Kevin Durant G Jordan Poole PF Larry Nance Jr. PG LaMelo Ball SF Devin Vassell SG Malik Beasley UTIL Spencer Dinwiddie,,Cade Cunningham,PG,43.85%,58
3,4569146913,KevinRob2128 (16/20),0,385.25,C Victor Wembanyama F Larry Nance Jr. G Spencer Dinwiddie PF Jalen Johnson PG Cade Cunningham SF Norman Powell SG Miles McBride UTIL Precious Achiuwa,,Quentin Grimes,SG,38.87%,23.75
3,4569719504,SupremeBeing36,0,385.25,C Victor Wembanyama F Larry Nance Jr. G Quentin Grimes PF Miles Bridges PG Spencer Dinwiddie SF Cameron Johnson SG Malik Beasley UTIL Karl-Anthony Towns,,Miles Bridges,F,34.30%,29.5
5,4569932777,Tonyw520 (2/2),0,383.5,C Victor Wembanyama F Larry Nance Jr. G Jalen Green PF Jalen Johnson PG Spencer Dinwiddie SF Jake LaRavia SG Quentin Grimes UTIL Karl-Anthony Towns,,Klay Thompson,SG,28.82%,33.25
5,4570121293,celebrationbob (4/13),0,383.5,C Karl-Anthony Towns F Quentin Grimes G LaMelo Ball PF Larry Nance Jr. PG Spencer Dinwiddie SF Malik Beasley SG Jordan Poole UTIL Isaiah Hartenstein,,Victor Wembanyama,C,23.93%,70
7,4569514308,wellsfournie30 (3/4),0,380.25,C Victor Wembanyama F Precious Achiuwa G Spencer Dinwiddie PF Larry Nance Jr. PG Cade Cunningham SF Jayson Tatum SG Devin Vassell UTIL Miles McBride,,Malik Beasley,G,23.16%,40
8,4569719462,MugsyNYC (2/2),0,379.25,C Victor Wembanyama F Klay Thompson G Spencer Dinwiddie PF Larry Nance Jr. PG Trae Young SF Quentin Grimes SG Miles McBride UTIL Karl-Anthony Towns,,Jalen Johnson,F,21.03%,46.25
9,4569677749,brockstar5 (3/20),0,378.25,C Zach Edey F Larry Nance Jr. G Spencer Dinwiddie PF Miles Bridges PG LaMelo Ball SF Cameron Johnson SG Klay Thompson UTIL Victor Wembanyama,,Ausar Thompson,SF,20.61%,19.5
10,4569424176,jtmartin3 (8/20),0,378,C Victor Wembanyama F Devin Vassell G Spencer Dinwiddie PF Larry Nance Jr. PG Cade Cunningham SF Cameron Johnson SG Klay Thompson UTIL Dereck Lively II,,LaMelo Ball,PG,19.69%,69
10,4570185999,jjax33 (17/20),0,378,C Victor Wembanyama F PJ Washington G Spencer Dinwiddie PF Larry Nance Jr. PG LaMelo Ball SF Dillon Brooks SG Quentin Grimes UTIL Ivica Zubac,,PJ Washington,PF,16.44%,31.75
12,4569546768,bonedog84 (1/10),0,377.5,C Paul Reed F Precious Achiuwa G Spencer Dinwiddie PF Jalen Johnson PG Cade Cunningham SF Cameron Johnson SG Miles McBride UTIL Victor Wembanyama,,Jalen Duren,UTIL,15.18%,23.25
12,4569642576,ocdobv (16/20),0,377.5,C Victor Wembanyama F Pascal Siakam G Klay Thompson PF Wendell Carter Jr. PG Spencer Dinwiddie SF Cameron Johnson SG Jordan Poole UTIL Precious Achiuwa,,Jordan Poole,SG,14.53%,46.25
14,4569309953,johnnybigtoe (1/2),0,376.75,C Victor Wembanyama F Jeremy Sochan G LaMelo Ball PF Larry Nance Jr. PG Spencer Dinwiddie SF Malik Beasley SG Gradey Dick UTIL Klay Thompson,,Scottie Barnes,SF,14.12%,32.25
