Place,Payout,Field Size,Entry Fee
1,2000,5945,2
2,600,,
3,300,,
4,150,,
5,100,,
6-7,75,,
8-10,60,,
11-14,50,,
15-19,40,,
20-24,30,,
25-30,25,,
31-40,20,,
41-50,15,,
51-70,10,,
71-120,8,,
121-245,6,,
246-485,5,,
486-1215,4,,
