Place,Payout,Field Size,Entry Fee
1,1500,4458,4
2,750,,
3,500,,
4,400,,
5,300,,
6,250,,
7-8,200,,
9-10,150,,
11-13,100,,
14-16,75,,
17-20,60,,
21-25,50,,
26-35,40,,
36-45,30,,
46-60,25,,
61-85,20,,
86-141,15,,
142-281,10,,
282-541,8,,
542-1156,6,,
