Place,Payout,Field Size,Entry Fee
1,2500,7431,4
2,1250,,
3,600,,
4,400,,
5,350,,
6-7,300,,
8-10,250,,
11-13,200,,
14-16,150,,
17-20,100,,
21-25,75,,
26-35,60,,
36-45,50,,
46-60,40,,
61-75,30,,
76-95,25,,
96-135,20,,
136-220,15,,
221-435,10,,
436-872,8,,
873-1931,6,,
