Place,Payout,Field Size,Entry Fee
1,4000,11890,4
2,2000,,
3,1500,,
4,1000,,
5,750,,
6,600,,
7-8,500,,
9-10,400,,
11-12,300,,
13-14,250,,
15-16,200,,
17-21,150,,
22-26,100,,
27-31,75,,
32-36,60,,
37-46,50,,
47-56,40,,
57-71,30,,
72-96,25,,
97-151,20,,
152-291,15,,
292-661,10,,
662-1396,8,,
1397-3091,6,,
1502-3996,5,,
