Place,Payout,Field Size,Entry Fee
1,1000,17835,1
2,600,,
3,400,,
4,300,,
5,250,,
6,200,,
7-8,150,,
9-10,100,,
11-13,75,,
14-16,60,,
17-20,50,,
21-25,40,,
26-30,30,,
31-40,25,,
41-50,20,,
51-65,15,,
66-85,10,,
86-110,8,,
111-180,6,,
181-320,5,,
321-590,4,,
591-1155,3,,
1156-2362,2,,
2363-4636,1.5,,
