Place,Payout,Field Size,Entry Fee
1,6000,20808,4
2,3000,,
3,2000,,
4,1250,,
5,1000,,
6-7,750,,
8-10,600,,
11-13,500,,
14-16,400,,
17-20,300,,
21-25,250,,
26-30,200,,
31-40,150,,
41-50,100,,
51-65,75,,
66-85,60,,
86-110,50,,
111-140,40,,
141-180,30,,
181-220,25,,
221-325,20,,
326-560,15,,
561-1085,10,,
1086-2137,8,,
2138-5226,6,,
