Place,Payout,Field Size,Entry Fee
1,5000,4411,8
2,2500,,
3,1500,,
4,1000,,
5,750,,
6,500,,
7-8,300,,
9-10,200,,
11-15,125,,
16-25,75,,
26-45,50,,
46-95,30,,
96-245,20,,
246-530,15,,
531-1080,12,,
