Place,Payout,Field Size,Entry Fee
1,5000,11890,3
2,2000,,
3,1000,,
4,750,,
5,500,,
6,300,,
7-8,200,,
9-10,150,,
11-15,100,,
16-20,75,,
21-30,50,,
31-40,40,,
41-50,30,,
51-75,25,,
76-100,20,,
101-150,15,,
151-300,10,,
301-600,8,,
601-1350,6,,
1351-2830,5,,
