Place,Payout,Field Size,Entry Fee
1,100000,71343,5
2,25000,,
3,10000,,
4,5000,,
5,3000,,
6,2500,,
7,2000,,
8,1500,,
9-10,1000,,
11-12,750,,
13-15,500,,
16-20,400,,
21-25,300,,
26-30,200,,
31-40,150,,
41-50,100,,
51-60,80,,
61-80,60,,
81-100,50,,
101-150,40,,
151-250,30,,
251-400,25,,
401-600,20,,
601-1000,15,,
1001-2000,12,,
2001-4525,10,,
4526-14525,8,,
