Place,Payout,Field Size,Entry Fee
1,2000,5945,4
2,1000,,
3,600,,
4,400,,
5,300,,
6-7,250,,
8-10,200,,
11-13,150,,
14-16,100,,
17-20,75,,
21-25,60,,
26-35,50,,
36-45,40,,
46-60,30,,
61-75,25,,
76-115,20,,
116-200,15,,
201-380,10,,
381-731,8,,
732-1538,6,,
