Place,Payout,Field Size,Entry Fee
1,3000,8917,4
2,1500,,
3,750,,
4,500,,
5,400,,
6-7,350,,
8-10,300,,
11-13,250,,
14-16,200,,
17-20,150,,
21-25,100,,
26-35,75,,
36-45,60,,
46-55,50,,
56-70,40,,
71-90,30,,
91-110,25,,
111-155,20,,
156-255,15,,
256-480,10,,
481-931,8,,
932-2263,6,,
