Place,Payout,Field Size,Entry Fee
1,6000,17835,4
2,3000,,
3,2000,,
4,1500,,
5,1000,,
6-7,750,,
8-10,600,,
11-13,500,,
14-16,400,,
17-19,300,,
20-22,250,,
23-25,200,,
26-29,150,,
30-35,100,,
36-45,75,,
46-55,60,,
56-65,50,,
66-80,40,,
81-100,30,,
101-145,25,,
146-225,20,,
226-390,15,,
391-825,10,,
826-1635,8,,
1636-4630,6,,
