Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
zion williamson,C/PF/F/UTIL,NOP,14.41%,0.01%,0.4%,1.97%,1.22%,$-2.38
carlton carrington,PG/SG/G/UTIL,WAS,17.13%,0.0%,0.33%,0.57%,0.51%,$-2.4
cody williams,SF/F/UTIL,UTA,15.98%,0.01%,0.36%,0.1%,0.1%,$-2.4
al horford,C/PF/F/UTIL,BOS,15.74%,0.0%,0.34%,0.12%,0.1%,$-2.4
cj mccollum,PG/SG/G/UTIL,NOP,16.29%,0.0%,0.35%,1.04%,0.8%,$-2.42
justin champagnie,PF/SF/F/UTIL,WAS,16.34%,0.01%,0.38%,0.08%,0.1%,$-2.42
sam hauser,PF/SF/F/UTIL,BOS,16.56%,0.0%,0.28%,0.12%,0.1%,$-2.49
kyshawn george,PF/SF/F/UTIL,WAS,17.04%,0.0%,0.24%,0.1%,0.1%,$-2.57
james johnson,C/PF/F/UTIL,IND,14.44%,0.0%,0.17%,0.02%,0.03%,$-2.62
trevelin queen,PG/SG/G/UTIL,ORL,17.1%,0.0%,0.3%,0.03%,0.1%,$-2.68
josh green,PF/SF/F/UTIL,CHA,14.35%,0.0%,0.28%,0.05%,0.1%,$-2.69
isaac okoro,PF/SF/F/UTIL,CLE,14.73%,0.0%,0.33%,0.03%,0.1%,$-2.71
damion lee,SG/G/UTIL,PHX,13.5%,0.0%,0.14%,0.02%,0.03%,$-2.72
trey murphy iii,PF/SF/F/UTIL,NOP,14.18%,0.0%,0.23%,0.76%,0.45%,$-2.73
justin edwards,SF/F/UTIL,PHI,14.28%,0.0%,0.25%,0.1%,0.1%,$-2.74
ajay mitchell,PG/G/UTIL,OKC,17.49%,0.0%,0.17%,0.03%,0.03%,$-2.77
bol bol,C/PF/F/UTIL,PHX,13.79%,0.0%,0.07%,0.02%,0.03%,$-2.79
ben sheppard,SF/SG/G/F/UTIL,IND,12.65%,0.0%,0.21%,0.12%,0.1%,$-2.86
adam flagler,PG/G/UTIL,OKC,12.21%,0.0%,0.12%,0.02%,0.03%,$-2.88
luke travers,SF/F/UTIL,CLE,14.5%,0.0%,0.22%,0.03%,0.03%,$-2.9
javonte green,PF/SF/F/UTIL,NOP,12.74%,0.0%,0.12%,0.12%,0.1%,$-2.99
reggie jackson,PG/G/UTIL,PHI,11.31%,0.0%,0.07%,0.02%,0.1%,$-3.01
jt thor,PF/F/UTIL,CLE,12.41%,0.0%,0.15%,0.05%,0.03%,$-3.02
jeff dowtin,PG/G/UTIL,PHI,12.84%,0.0%,0.14%,0.08%,0.1%,$-3.02
rayj dennis,PG/G/UTIL,IND,11.89%,0.0%,0.02%,0.02%,0.03%,$-3.04
monte morris,PG/G/UTIL,PHX,10.78%,0.0%,0.05%,0.02%,0.03%,$-3.05
seth curry,SG/G/UTIL,CHA,9.94%,0.0%,0.09%,0.02%,0.03%,$-3.08
sam merrill,SG/G/UTIL,CLE,11.14%,0.0%,0.1%,0.07%,0.1%,$-3.1
jaylon tyson,SF/SG/G/F/UTIL,CLE,10.55%,0.0%,0.04%,0.02%,0.03%,$-3.12
ej harkless,PG/SG/G/UTIL,UTA,10.23%,0.0%,0.04%,0.02%,0.03%,$-3.12
dillon jones,PF/F/UTIL,OKC,9.83%,0.0%,0.01%,0.02%,0.03%,$-3.21
isaiah wong,PG/SG/G/UTIL,CHA,10.04%,0.0%,0.06%,0.07%,0.03%,$-3.22
baylor scheierman,SG/G/UTIL,BOS,11.14%,0.0%,0.11%,0.03%,0.03%,$-3.22
jd davison,PG/G/UTIL,BOS,11.54%,0.0%,0.08%,0.03%,0.03%,$-3.22
maxwell lewis,SF/F/UTIL,BKN,10.68%,0.0%,0.05%,0.05%,0.03%,$-3.25
anton watson,SF/F/UTIL,BOS,9.37%,0.0%,0.09%,0.07%,0.03%,$-3.25
quenton jackson,PG/SG/G/UTIL,IND,11.67%,0.0%,0.04%,0.03%,0.03%,$-3.26
