Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
collin sexton,PG/SG/G/UTIL,UTA,31.78%,0.01%,1.9%,13.91%,10.57%,$1.66
jalen williams,PF/F/UTIL,OKC,29.69%,0.01%,1.5%,16.81%,13.62%,$0.66
jonas valanciunas,C/UTIL,WAS,24.12%,0.01%,1.33%,2.1%,3.74%,$0.64
isaiah hartenstein,C/UTIL,OKC,30.14%,0.01%,1.4%,25.05%,37.44%,$0.43
kristaps porzingis,C/UTIL,BOS,26.04%,0.01%,1.28%,6.81%,9.61%,$0.21
devin booker,PG/SG/G/UTIL,PHX,27.47%,0.01%,1.28%,18.25%,10.45%,$0.07
jarrett allen,C/UTIL,CLE,26.07%,0.01%,1.23%,7.39%,10.81%,$0.01
jared butler,PG/G/UTIL,WAS,24.2%,0.01%,1.14%,0.76%,1.48%,$-0.01
drew eubanks,C/UTIL,UTA,26.03%,0.01%,1.18%,6.86%,20.82%,$-0.02
shai gilgeous-alexander,PG/G/UTIL,OKC,29.62%,0.01%,1.14%,52.58%,44.21%,$-0.13
ricky council iv,PF/SF/F/UTIL,PHI,27.11%,0.01%,1.17%,21.2%,25.54%,$-0.15
kevin durant,C/PF/F/UTIL,PHX,27.02%,0.01%,1.16%,22.01%,10.54%,$-0.23
brice sensabaugh,PF/SF/F/UTIL,UTA,27.49%,0.01%,1.11%,45.08%,50.79%,$-0.28
isaiah collier,PG/SG/G/UTIL,UTA,26.53%,0.01%,1.12%,20.31%,26.91%,$-0.3
kyle filipowski,C/PF/F/UTIL,UTA,27.19%,0.0%,1.08%,55.81%,75.44%,$-0.39
mark williams,C/UTIL,CHA,24.4%,0.01%,1.08%,8.21%,14.21%,$-0.39
aaron wiggins,PF/SF/F/UTIL,OKC,26.22%,0.01%,1.09%,20.1%,23.77%,$-0.4
pascal siakam,PF/F/UTIL,IND,24.97%,0.01%,1.05%,7.05%,6.34%,$-0.45
kelly oubre jr.,SG/G/UTIL,PHI,26.6%,0.0%,1.03%,9.44%,12.37%,$-0.55
cason wallace,PG/SG/G/UTIL,OKC,25.97%,0.0%,1.01%,30.32%,43.45%,$-0.58
myles turner,C/UTIL,IND,24.63%,0.01%,0.98%,4.06%,6.06%,$-0.63
cole anthony,PG/SG/G/UTIL,ORL,25.27%,0.0%,0.98%,33.33%,34.61%,$-0.65
isaiah joe,SF/SG/G/F/UTIL,OKC,25.1%,0.0%,0.98%,17.7%,16.17%,$-0.69
micah potter,C/PF/F/UTIL,UTA,25.26%,0.0%,0.95%,16.84%,21.29%,$-0.71
svi mykhailiuk,SF/SG/G/F/UTIL,UTA,24.49%,0.0%,0.96%,20.52%,18.87%,$-0.72
goga bitadze,C/UTIL,ORL,21.86%,0.01%,0.9%,0.95%,1.43%,$-0.73
jaylen brown,SF/SG/G/F/UTIL,BOS,24.68%,0.0%,0.95%,17.61%,7.87%,$-0.78
keon johnson,PG/SG/G/UTIL,BKN,24.18%,0.0%,0.93%,7.9%,7.47%,$-0.81
paul george,SF/SG/G/F/UTIL,PHI,24.37%,0.0%,0.94%,16.46%,7.9%,$-0.82
luguentz dort,SF/SG/G/F/UTIL,OKC,25.15%,0.0%,0.92%,25.7%,21.27%,$-0.84
tyrese martin,SF/SG/G/F/UTIL,BKN,23.92%,0.0%,0.9%,8.23%,5.74%,$-0.9
bradley beal,SF/SG/G/F/UTIL,PHX,22.94%,0.0%,0.88%,5.93%,3.25%,$-0.95
t.j. mcconnell,PG/G/UTIL,IND,22.23%,0.01%,0.86%,3.98%,9.37%,$-0.96
andrew nembhard,PG/SG/G/UTIL,IND,23.9%,0.0%,0.84%,15.93%,17.45%,$-1.07
day'ron sharpe,C/UTIL,BKN,21.0%,0.01%,0.78%,1.98%,4.55%,$-1.1
nic claxton,C/UTIL,BKN,21.49%,0.01%,0.78%,1.93%,2.77%,$-1.1
wendell carter jr.,C/UTIL,ORL,22.2%,0.01%,0.78%,1.49%,2.91%,$-1.12
evan mobley,C/PF/F/UTIL,CLE,21.95%,0.0%,0.82%,12.63%,6.94%,$-1.16
jrue holiday,PG/G/UTIL,BOS,22.71%,0.0%,0.8%,2.93%,4.26%,$-1.18
jayson tatum,PF/SF/F/UTIL,BOS,23.34%,0.0%,0.77%,34.27%,14.61%,$-1.2
derrick white,PG/SG/G/UTIL,BOS,23.38%,0.0%,0.79%,8.26%,6.33%,$-1.2
darius garland,PG/G/UTIL,CLE,21.37%,0.0%,0.79%,7.05%,6.94%,$-1.22
ziaire williams,SF/SG/G/F/UTIL,BKN,22.13%,0.0%,0.76%,4.9%,3.36%,$-1.27
tyrese maxey,PG/G/UTIL,PHI,21.58%,0.0%,0.77%,10.06%,6.56%,$-1.28
jonathan isaac,C/PF/F/UTIL,ORL,21.86%,0.0%,0.74%,3.08%,3.8%,$-1.28
bennedict mathurin,SF/SG/G/F/UTIL,IND,22.35%,0.0%,0.76%,7.53%,4.6%,$-1.31
miles bridges,PF/F/UTIL,CHA,21.31%,0.0%,0.74%,4.83%,4.0%,$-1.33
dejounte murray,PG/G/UTIL,NOP,20.81%,0.0%,0.74%,4.89%,4.03%,$-1.36
noah clowney,C/PF/F/UTIL,BKN,22.3%,0.0%,0.73%,7.1%,6.18%,$-1.37
grayson allen,SG/G/UTIL,PHX,22.2%,0.0%,0.73%,1.86%,2.85%,$-1.38
tyus jones,PG/G/UTIL,PHX,20.83%,0.0%,0.72%,0.7%,1.16%,$-1.4
tyrese haliburton,PG/G/UTIL,IND,21.01%,0.0%,0.73%,6.37%,5.13%,$-1.41
lamelo ball,PG/G/UTIL,CHA,20.64%,0.0%,0.74%,11.64%,7.6%,$-1.42
guerschon yabusele,C/PF/F/UTIL,PHI,22.69%,0.0%,0.7%,8.42%,6.38%,$-1.46
max strus,SF/SG/G/F/UTIL,CLE,22.23%,0.0%,0.69%,10.72%,9.57%,$-1.48
oso ighodaro,C/PF/F/UTIL,PHX,21.34%,0.0%,0.66%,0.77%,0.94%,$-1.54
kenrich williams,C/PF/F/UTIL,OKC,21.26%,0.0%,0.65%,4.05%,4.94%,$-1.56
ben simmons,PG/G/UTIL,BKN,19.95%,0.0%,0.64%,0.97%,1.24%,$-1.57
tosan evbuomwan,PF/SF/F/UTIL,BKN,21.69%,0.0%,0.57%,0.07%,0.1%,$-1.6
brandon boston jr.,SF/SG/G/F/UTIL,NOP,21.35%,0.0%,0.64%,1.04%,0.91%,$-1.61
eric gordon,SG/G/UTIL,PHI,21.54%,0.0%,0.64%,1.34%,2.76%,$-1.65
kyle kuzma,PF/F/UTIL,WAS,19.72%,0.0%,0.63%,2.36%,2.39%,$-1.66
alexandre sarr,C/PF/F/UTIL,WAS,19.63%,0.0%,0.62%,2.24%,1.61%,$-1.66
donovan mitchell,PG/SG/G/UTIL,CLE,19.03%,0.0%,0.63%,8.56%,4.91%,$-1.69
tristan da silva,PF/SF/F/UTIL,ORL,20.87%,0.0%,0.62%,2.15%,1.79%,$-1.73
jaylin williams,C/UTIL,OKC,20.02%,0.0%,0.59%,1.18%,3.65%,$-1.77
anthony black,PG/G/UTIL,ORL,20.22%,0.0%,0.62%,0.39%,0.7%,$-1.77
jordan poole,PG/SG/G/UTIL,WAS,19.53%,0.0%,0.58%,6.79%,4.29%,$-1.81
tidjane salaun,PF/F/UTIL,CHA,24.72%,0.0%,0.57%,0.05%,0.1%,$-1.83
ryan dunn,PF/SF/F/UTIL,PHX,20.95%,0.0%,0.57%,0.26%,0.33%,$-1.84
royce o'neale,PF/SF/F/UTIL,PHX,19.28%,0.0%,0.55%,1.09%,0.87%,$-1.89
jose alvarado,PG/G/UTIL,NOP,18.42%,0.0%,0.52%,0.46%,1.16%,$-1.9
al horford,C/PF/F/UTIL,BOS,20.04%,0.0%,0.45%,0.24%,0.2%,$-2.0
payton pritchard,PG/SG/G/UTIL,BOS,18.47%,0.0%,0.5%,1.1%,1.06%,$-2.01
thomas bryant,C/UTIL,IND,19.78%,0.0%,0.45%,0.06%,0.1%,$-2.01
nick richards,C/UTIL,CHA,18.75%,0.0%,0.49%,0.17%,0.5%,$-2.03
paolo banchero,PF/F/UTIL,ORL,15.79%,0.0%,0.51%,4.63%,2.75%,$-2.04
caris levert,PG/SG/G/UTIL,CLE,18.31%,0.0%,0.51%,1.65%,1.64%,$-2.04
cody martin,SF/SG/G/F/UTIL,CHA,19.2%,0.0%,0.5%,1.44%,1.15%,$-2.06
bilal coulibaly,SF/F/UTIL,WAS,19.05%,0.0%,0.49%,2.03%,2.11%,$-2.08
zion williamson,C/PF/F/UTIL,NOP,15.37%,0.0%,0.48%,3.0%,1.36%,$-2.11
obi toppin,C/PF/F/UTIL,IND,17.99%,0.0%,0.46%,1.02%,1.12%,$-2.13
mason plumlee,C/UTIL,PHX,18.32%,0.0%,0.47%,0.25%,0.52%,$-2.13
georges niang,PF/SF/F/UTIL,CLE,17.76%,0.0%,0.44%,0.11%,0.1%,$-2.15
adem bona,C/UTIL,PHI,21.0%,0.0%,0.49%,0.03%,0.1%,$-2.19
cory joseph,PG/G/UTIL,ORL,16.42%,0.0%,0.46%,0.07%,0.1%,$-2.19
yves missi,C/UTIL,NOP,18.07%,0.0%,0.41%,0.9%,1.77%,$-2.29
jordan hawkins,SG/G/UTIL,NOP,17.72%,0.0%,0.47%,0.04%,0.07%,$-2.29
rayj dennis,PG/G/UTIL,IND,0%,0%,0%,0.0%,0.03%,$-2.35
jalen wilson,PF/SF/F/UTIL,BKN,17.28%,0.0%,0.39%,0.18%,0.15%,$-2.35
cj mccollum,PG/SG/G/UTIL,NOP,16.22%,0.0%,0.39%,2.22%,1.3%,$-2.36
nick smith jr.,SF/SG/G/F/UTIL,CHA,15.51%,0.0%,0.37%,0.11%,0.1%,$-2.36
dean wade,PF/SF/F/UTIL,CLE,16.71%,0.0%,0.38%,0.25%,0.27%,$-2.39
josh green,PF/SF/F/UTIL,CHA,16.59%,0.0%,0.32%,0.09%,0.1%,$-2.46
brandon miller,SF/SG/G/F/UTIL,CHA,15.88%,0.0%,0.36%,2.32%,0.94%,$-2.47
caleb houstan,PF/SF/F/UTIL,ORL,17.08%,0.0%,0.36%,0.09%,0.1%,$-2.47
oscar tshiebwe,C/UTIL,UTA,19.22%,0.0%,0.37%,0.03%,0.1%,$-2.48
daniel theis,C/UTIL,NOP,17.73%,0.0%,0.38%,0.05%,0.1%,$-2.49
jeff dowtin,PG/G/UTIL,PHI,20.21%,0.0%,0.12%,0.01%,0.1%,$-2.5
cody williams,SF/F/UTIL,UTA,17.95%,0.0%,0.4%,0.03%,0.1%,$-2.63
trey murphy iii,PF/SF/F/UTIL,NOP,14.79%,0.0%,0.3%,1.6%,0.92%,$-2.64
trevelin queen,PG/SG/G/UTIL,ORL,16.86%,0.0%,0.3%,0.05%,0.1%,$-2.69
justin champagnie,PF/SF/F/UTIL,WAS,15.15%,0.0%,0.28%,0.71%,0.51%,$-2.7
carlton carrington,PG/SG/G/UTIL,WAS,14.72%,0.0%,0.26%,0.26%,0.27%,$-2.71
ajay mitchell,PG/G/UTIL,OKC,0%,0%,0%,0.0%,0.03%,$-2.71
kyshawn george,PF/SF/F/UTIL,WAS,14.78%,0.0%,0.25%,0.39%,0.46%,$-2.79
daquan jeffries,PF/F/UTIL,CHA,14.77%,0.0%,0.18%,0.01%,0.03%,$-2.79
ben sheppard,SF/SG/G/F/UTIL,IND,14.34%,0.0%,0.24%,0.09%,0.1%,$-2.81
isaac okoro,PF/SF/F/UTIL,CLE,13.44%,0.0%,0.24%,0.1%,0.1%,$-2.83
jarace walker,PF/SF/F/UTIL,IND,13.41%,0.0%,0.19%,0.06%,0.1%,$-2.89
justin edwards,SF/F/UTIL,PHI,13.43%,0.0%,0.17%,0.06%,0.1%,$-2.94
anton watson,SF/F/UTIL,BOS,14.65%,0.0%,0.09%,0.01%,0.03%,$-2.95
