PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Kyle Filipowski (37303285),Kevin Durant (37302953),273.86,302.8813951049512,49900,65.75%,0,-38.98%,0,202.0,$-1.56,CLE 2,OKC 2,user28,1,marvalshot,5700,4606391392_28
Shai Gilgeous-Alexander (37302935),Isaiah Joe (37303303),Aaron Wiggins (37303377),Pascal Siakam (37303036),Isaiah Hartenstein (37303039),Darius Garland (37303029),Tidjane Salaun (37303364),Jarrett Allen (37303060),260.8,285.74333192449615,49400,0.00%,0,-100.0%,0,152.12,$-4.0,OKC 4,CLE 2,user7,1,marvalshot,5738,4606391394_7
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Micah Potter (37303452),Drew Eubanks (37303397),255.03249999999997,280.40877699806225,49300,0.00%,0,-100.0%,0,166.46,$-4.0,OKC 3,PHI 2,user7,1,marvalshot,5827,4606391399_7
Collin Sexton (37303043),Cole Anthony (37303107),Brandon Miller (37302997),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Tyrese Martin (37303145),Pascal Siakam (37303036),Jarrett Allen (37303060),248.62999999999997,275.3746389146459,50000,0.00%,0,-100.0%,0,129.94,$-4.0,UTA 1,ORL 1,user29,1,marvalshot,5821,4606391397_29
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Miles Bridges (37303026),Jarrett Allen (37303060),Bradley Beal (37303062),Micah Potter (37303452),Collin Sexton (37303043),242.58499999999998,271.85596156008535,49300,0.00%,0,-100.0%,0,134.05,$-4.0,UTA 2,OKC 1,user3,1,marvalshot,5766,4606391396_3
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Brice Sensabaugh (37303235),Jarrett Allen (37303060),Bradley Beal (37303062),Miles Bridges (37303026),Nic Claxton (37303078),237.585,266.2855782285304,49600,0.00%,0,-100.0%,0,161.72,$-4.0,OKC 1,IND 1,user7,1,marvalshot,5770,4606391396_7
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Noah Clowney (37303133),Ziaire Williams (37303157),Jalen Williams (37302986),Kevin Durant (37302953),223.4525,248.71402516907943,49500,0.00%,0,-100.0%,0,83.2,$-4.0,CLE 2,BKN 2,user,1,marvalshot,4708,4606391393
Cason Wallace (37303281),Cole Anthony (37303107),Ricky Council IV (37303632),Jalen Williams (37302986),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Darius Garland (37303029),273.9275,300.11942435848283,49800,67.51%,0,-39.73%,0,253.70999999999998,$-1.59,OKC 3,ORL 1,user29,14,marvalshot,227,4606391395_29
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Ben Simmons (37303095),Brice Sensabaugh (37303235),Kevin Durant (37302953),258.37,285.425583043758,49100,0.00%,0,-100.0%,0,171.97000000000003,$-4.0,CLE 2,OKC 2,user8,1,marvalshot,5680,4606391392_8
Collin Sexton (37303043),Cole Anthony (37303107),Nick Smith Jr. (37303407),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Devin Booker (37302957),Pascal Siakam (37303036),Jarrett Allen (37303060),251.87,280.0610058471633,49100,0.00%,0,-100.0%,0,134.0,$-4.0,UTA 1,ORL 1,user5,1,marvalshot,5797,4606391397_5
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Brice Sensabaugh (37303235),Jarrett Allen (37303060),Keon Johnson (37303113),Kevin Durant (37302953),Noah Clowney (37303133),246.34500000000003,275.33684696862196,49300,0.00%,0,-100.0%,0,171.66,$-4.0,BKN 2,OKC 1,user22,1,marvalshot,5785,4606391396_22
