Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Jusuf Nurkic,C/UTIL,PHX,0,0.0,0.0%,0.0%,0.07%,0.04%,$-3.84,48
Kentavious Caldwell-Pope,SG/G/UTIL,ORL,0,0.0,0.0%,0.0%,0.07%,0.04%,$-3.84,15
Dariq Whitehead,SG/G/UTIL,BKN,0,0.0,0.0%,0.0%,0.07%,0.03%,$-3.84,48
Maxwell Lewis,SF/F/UTIL,BKN,0,0.0,0.0%,0.0%,0.07%,0.03%,$-3.84,48
DaQuan Jeffries,PF/F/UTIL,CHA,0,0.0,0.0%,0.0%,0.07%,0.03%,$-3.84,48
Donovan Mitchell,PG/SG/G/UTIL,CLE,24.107499999999998,5.625913024701856,2.58%,0.0%,5.97%,4.91%,$-3.86,12
Zion Williamson,C/PF/F/UTIL,NOP,38.316250000000004,6.643759131144626,2.83%,0.0%,1.78%,1.36%,$-3.87,12
Brandon Boston Jr.,SF/SG/G/F/UTIL,NOP,2.58,3.4005313101610724,2.93%,0.0%,0.52%,0.91%,$-3.88,12
Jordan Hawkins,SG/G/UTIL,NOP,4.99,3.1044306246504485,0.48%,0.0%,0.64%,0.07%,$-3.88,12
Luke Kornet,C/UTIL,BOS,17.64625,2.174489409218645,0.0%,0.0%,0.12%,0.1%,$-3.92,12
Walker Kessler,C/UTIL,UTA,0,0.0,0.0%,0.0%,0.24%,0.06%,$-3.92,48
Isaac Okoro,PF/SF/F/UTIL,CLE,5.04625,2.3410460448183708,0.0%,0.0%,0.12%,0.1%,$-3.92,12
Cody Williams,SF/F/UTIL,UTA,17.75,6.11,0.0%,0.0%,0.24%,0.1%,$-3.92,48
Corey Kispert,SF/SG/G/F/UTIL,WAS,23.07529513888889,3.1195210051783206,0.09%,0.0%,0.94%,0.1%,$-3.94,14
Payton Pritchard,PG/SG/G/UTIL,BOS,19.77875,4.020492120448941,1.29%,0.0%,2.47%,1.06%,$-3.95,12
John Collins,C/PF/F/UTIL,UTA,0,0.0,0.0%,0.0%,0.34%,0.06%,$-3.96,48
