PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Shai Gilgeous-Alexander (37302935),Isaiah Joe (37303303),Aaron Wiggins (37303377),Pascal Siakam (37303036),Isaiah Hartenstein (37303039),Darius Garland (37303029),Kyle Filipowski (37303285),Jarrett Allen (37303060),274.7369791666667,294.7472649635926,49800,0.02%,0,-100.0%,0,221.12,$-4.0,OKC 4,CLE 2,user49,34,marvalshot,320,4606391394_49
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Cody Williams (37303327),Drew Eubanks (37303397),265.00474392361116,285.30578551795423,49900,0.00%,0,-100.0%,0,153.28,$-4.0,OKC 3,PHI 2,user23,1,marvalshot,5903,4606391399_23
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Noah Clowney (37303133),Jarrett Allen (37303060),Collin Sexton (37303043),Svi Mykhailiuk (37303337),Devin Booker (37302957),251.53235677083336,279.6367986751498,49900,0.00%,0,-100.0%,0,144.07999999999998,$-4.0,UTA 2,OKC 1,user26,1,marvalshot,5810,4606391396_26
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Tyrese Martin (37303145),Miles Bridges (37303026),Collin Sexton (37303043),251.10194010416666,275.1558965338927,49400,0.00%,0,-100.0%,0,140.62,$-4.0,CLE 2,OKC 2,user18,1,marvalshot,5671,4606391392_18
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Noah Clowney (37303133),Jarrett Allen (37303060),Devin Booker (37302957),Brice Sensabaugh (37303235),Ben Simmons (37303095),243.31235677083336,269.4270969524453,49300,0.00%,0,-100.0%,0,166.67,$-4.0,BKN 2,OKC 1,user32,1,marvalshot,5816,4606391396_32
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Mark Williams (37303083),Devin Booker (37302957),Jalen Williams (37302986),Day'Ron Sharpe (37303214),226.97506510416667,252.2122354512489,49600,0.00%,0,-100.0%,0,91.22,$-4.0,CLE 2,PHI 1,user42,1,marvalshot,5745,4606391393_42
Isaiah Collier (37303246),Cole Anthony (37303107),Bradley Beal (37303062),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Devin Booker (37302957),Pascal Siakam (37303036),Jarrett Allen (37303060),271.49774305555553,294.68988949987164,49600,0.00%,0,-100.0%,0,155.35,$-4.0,PHX 2,UTA 1,user2,1,marvalshot,5835,4606391397_2
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Svi Mykhailiuk (37303337),Devin Booker (37302957),259.1419401041667,285.2300201393697,49500,0.00%,0,-100.0%,0,160.2,$-4.0,CLE 2,OKC 2,user45,1,marvalshot,5698,4606391392_45
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Devin Booker (37302957),Kyle Filipowski (37303285),Bradley Beal (37303062),256.2119401041667,279.60150871761397,49300,0.00%,0,-100.0%,0,209.45,$-4.0,CLE 2,OKC 2,user17,1,marvalshot,5670,4606391392_17
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Josh Green (37303293),Oso Ighodaro (37303393),256.58474392361114,275.107124705121,50000,0.00%,0,-100.0%,0,133.39999999999998,$-4.0,OKC 3,PHI 2,user34,1,marvalshot,5914,4606391399_34
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Tidjane Salaun (37303364),Oscar Tshiebwe (37303456),250.60474392361112,269.13200464437733,49400,0.00%,0,-100.0%,0,132.56,$-4.0,OKC 3,PHI 2,user38,1,marvalshot,5918,4606391399_38
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Kevin Durant (37302953),Isaiah Collier (37303246),Jalen Williams (37302986),Keon Johnson (37303113),229.66506510416664,251.97498144483555,49100,0.00%,0,-100.0%,0,106.93,$-4.0,CLE 2,PHI 1,user9,1,marvalshot,5711,4606391393_9
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Micah Potter (37303452),Kyle Filipowski (37303285),274.18474392361117,294.4895066608422,49800,0.01%,0,-100.0%,0,229.08999999999997,$-4.0,OKC 3,PHI 2,user2,2,marvalshot,881,4606391399_2
LaMelo Ball (37302944),Cole Anthony (37303107),Svi Mykhailiuk (37303337),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Bradley Beal (37303062),Pascal Siakam (37303036),Jarrett Allen (37303060),261.92774305555554,285.1749527095034,49600,0.00%,0,-100.0%,0,144.46,$-4.0,CHA 1,ORL 1,user36,1,marvalshot,5869,4606391397_36
Shai Gilgeous-Alexander (37302935),Isaiah Joe (37303303),Aaron Wiggins (37303377),Pascal Siakam (37303036),Isaiah Hartenstein (37303039),Darius Garland (37303029),Tosan Evbuomwan (37303360),Jarrett Allen (37303060),260.8069791666667,279.30658828887937,49400,0.00%,0,-100.0%,0,145.78,$-4.0,OKC 4,CLE 2,user2,1,marvalshot,5754,4606391394_2
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),LaMelo Ball (37302944),Kyle Filipowski (37303285),Mark Williams (37303083),250.78194010416667,275.0515985262203,49200,0.00%,0,-100.0%,0,217.56,$-4.0,CLE 2,OKC 2,user39,1,marvalshot,5692,4606391392_39
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Royce O'Neale (37303153),Jarrett Allen (37303060),Keon Johnson (37303113),Brice Sensabaugh (37303235),Kevin Durant (37302953),242.91235677083333,268.9157037621938,49100,0.00%,0,-100.0%,0,167.68,$-4.0,PHX 2,OKC 1,user29,1,marvalshot,5813,4606391396_29
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Kevin Durant (37302953),Bradley Beal (37303062),Jalen Williams (37302986),Drew Eubanks (37303397),228.1050651041666,251.7888056686899,49300,0.00%,0,-100.0%,0,96.62,$-4.0,CLE 2,PHX 2,user48,1,marvalshot,5751,4606391393_48
Devin Booker (37302957),Cole Anthony (37303107),Nick Smith Jr. (37303407),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Pascal Siakam (37303036),Jarrett Allen (37303060),269.0777430555556,294.4865989269758,49100,0.00%,0,-100.0%,0,135.86,$-4.0,PHX 1,ORL 1,user27,1,marvalshot,5860,4606391397_27
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Kyle Filipowski (37303285),Jarrett Allen (37303060),Collin Sexton (37303043),Brice Sensabaugh (37303235),LaMelo Ball (37302944),256.5123567708333,285.13370465581414,49600,0.00%,0,-100.0%,0,242.41,$-4.0,UTA 3,OKC 1,user10,1,marvalshot,5794,4606391396_10
Keon Johnson (37303113),Cole Anthony (37303107),Cody Martin (37303223),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),LaMelo Ball (37302944),Pascal Siakam (37303036),Jarrett Allen (37303060),257.48774305555554,279.2277052610104,49300,0.00%,0,-100.0%,0,130.95999999999998,$-4.0,CHA 2,BKN 1,user11,1,marvalshot,5844,4606391397_11
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Miles Bridges (37303026),Jarrett Allen (37303060),Devin Booker (37302957),Brice Sensabaugh (37303235),Drew Eubanks (37303397),247.84235677083336,274.9481984798284,49200,0.00%,0,-100.0%,0,184.07,$-4.0,UTA 2,OKC 1,user43,1,marvalshot,5827,4606391396_43
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Brandon Miller (37302997),Ziaire Williams (37303157),Collin Sexton (37303043),245.19194010416663,268.79114178395145,49900,0.00%,0,-100.0%,0,135.18,$-4.0,CLE 2,OKC 2,user29,1,marvalshot,5682,4606391392_29
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Mark Williams (37303083),Svi Mykhailiuk (37303337),Jalen Williams (37302986),Kevin Durant (37302953),226.90506510416665,251.69083455213107,49000,0.00%,0,-100.0%,0,105.63,$-4.0,CLE 2,PHI 1,user3,1,marvalshot,5705,4606391393_3
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Kyle Filipowski (37303285),Kevin Durant (37302953),267.30194010416665,293.71380902560344,49900,0.00%,0,-100.0%,0,216.85999999999999,$-4.0,CLE 2,OKC 2,user2,1,marvalshot,5653,4606391392_2
LaMelo Ball (37302944),Cole Anthony (37303107),Ziaire Williams (37303157),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Keon Johnson (37303113),Pascal Siakam (37303036),Jarrett Allen (37303060),262.2877430555555,284.8971627007964,50000,0.00%,0,-100.0%,0,133.17,$-4.0,BKN 2,CHA 1,user4,1,marvalshot,5837,4606391397_4
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Nick Smith Jr. (37303407),Svi Mykhailiuk (37303337),259.15474392361114,279.14433596085007,49700,0.00%,0,-100.0%,0,151.32999999999998,$-4.0,OKC 3,PHI 2,user20,1,marvalshot,5900,4606391399_20
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Nick Smith Jr. (37303407),Oso Ighodaro (37303393),255.85474392361112,274.78096356238865,49400,0.00%,0,-100.0%,0,133.39999999999998,$-4.0,OKC 3,PHI 2,user45,1,marvalshot,5925,4606391399_45
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Devin Booker (37302957),Ziaire Williams (37303157),Noah Clowney (37303133),245.72194010416666,268.1979877977261,49000,0.00%,0,-100.0%,0,140.3,$-4.0,CLE 2,OKC 2,user26,1,marvalshot,5679,4606391392_26
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Drew Eubanks (37303397),Bradley Beal (37303062),Jalen Williams (37302986),Devin Booker (37302957),227.21506510416665,250.58764448958422,49100,0.00%,0,-100.0%,0,96.53,$-4.0,CLE 2,PHX 2,user23,1,marvalshot,5726,4606391393_23
Keon Johnson (37303113),Cole Anthony (37303107),Bradley Beal (37303062),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Pascal Siakam (37303036),Jarrett Allen (37303060),269.11774305555554,293.43717678034864,49000,0.00%,0,-100.0%,0,136.03,$-4.0,BKN 1,ORL 1,user8,1,marvalshot,5841,4606391397_8
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Kevin Durant (37302953),Jarrett Allen (37303060),Collin Sexton (37303043),Brice Sensabaugh (37303235),Svi Mykhailiuk (37303337),255.16235677083333,284.43847766744625,49100,0.00%,0,-100.0%,0,188.77999999999997,$-4.0,UTA 3,OKC 1,user15,1,marvalshot,5799,4606391396_15
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Tosan Evbuomwan (37303360),Micah Potter (37303452),260.25474392361116,279.07248528157567,49400,0.00%,0,-100.0%,0,153.75,$-4.0,OKC 3,PHI 2,user28,1,marvalshot,5908,4606391399_28
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Brice Sensabaugh (37303235),Jarrett Allen (37303060),Devin Booker (37302957),Bradley Beal (37303062),Isaiah Collier (37303246),248.61235677083334,274.65837095252914,49000,0.00%,0,-100.0%,0,189.41000000000003,$-4.0,UTA 2,PHX 2,user30,1,marvalshot,5814,4606391396_30
