Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Dejounte Murray,PG/G/UTIL,NOP,65.25999999999999,7.642941441709622,48.31%,14.19%,0.45%,3.22%,$94.89,24
Kristaps Porzingis,C/UTIL,BOS,42.5475,9.49678975988262,30.99%,3.1%,13.02%,15.71%,$4.85,24
Aaron Wiggins,PF/SF/F/UTIL,OKC,26.705,6.197341309127066,41.11%,2.21%,28.28%,28.66%,$2.29,24
Cason Wallace,PG/SG/G/UTIL,OKC,31.5675,4.530885600733287,39.15%,2.27%,32.16%,38.17%,$2.21,24
Devin Booker,PG/SG/G/UTIL,PHX,47.71,14.15,32.41%,1.57%,22.0%,10.47%,$1.64,48
Kevin Durant,C/PF/F/UTIL,PHX,48.56,14.66,38.68%,2.18%,21.06%,8.5%,$1.63,48
Cole Anthony,PG/SG/G/UTIL,ORL,42.519999999999996,8.09134518653847,39.0%,1.86%,51.0%,36.24%,$1.48,24
Collin Sexton,PG/SG/G/UTIL,UTA,41.42,15.43,33.65%,2.43%,17.86%,10.88%,$1.35,48
Tyrese Martin,SF/SG/G/F/UTIL,BKN,26.07,8.71,19.7%,0.36%,9.12%,5.62%,$0.97,48
Pascal Siakam,PF/F/UTIL,IND,31.447499999999998,7.321696967802387,12.12%,0.18%,9.17%,7.13%,$0.43,24
Isaiah Joe,SF/SG/G/F/UTIL,OKC,28.3025,5.916252394458236,30.61%,1.44%,17.44%,14.41%,$0.29,24
Kyle Filipowski,C/PF/F/UTIL,UTA,28.05,9.88,33.3%,1.37%,44.52%,71.69%,$0.09,48
Brice Sensabaugh,PF/SF/F/UTIL,UTA,28.2,11.12,30.65%,1.59%,38.44%,50.81%,$-0.05,48
Paul George,SF/SG/G/F/UTIL,PHI,40.349999999999994,7.335082154215189,31.95%,1.96%,17.8%,8.26%,$-0.23,24
Shai Gilgeous-Alexander,PG/G/UTIL,OKC,50.995000000000005,14.857556918209596,32.37%,1.23%,52.23%,47.49%,$-0.48,24
Jayson Tatum,PF/SF/F/UTIL,BOS,51.269999999999996,10.293208351444308,35.96%,1.19%,12.99%,16.41%,$-0.52,24
Myles Turner,C/UTIL,IND,31.3675,6.839830256941536,17.87%,1.1%,4.74%,5.35%,$-0.69,24
Evan Mobley,C/PF/F/UTIL,CLE,41.64,9.061771201466573,29.08%,0.94%,18.28%,8.02%,$-1.06,24
Isaiah Hartenstein,C/UTIL,OKC,36.235,9.710952742487445,28.33%,0.71%,29.54%,36.63%,$-1.33,24
Jaylin Williams,C/UTIL,OKC,25.505000000000003,5.896174614839034,18.32%,3.43%,0.39%,3.91%,$-1.33,24
Darius Garland,PG/G/UTIL,CLE,39.177499999999995,7.9842636952360575,26.35%,0.93%,18.18%,6.63%,$-1.41,24
Drew Eubanks,C/UTIL,UTA,21.58,10.46,29.74%,0.78%,7.35%,17.66%,$-1.58,48
Micah Potter,C/PF/F/UTIL,UTA,20.46,7.02,26.33%,0.49%,14.01%,15.79%,$-1.87,48
Nick Richards,C/UTIL,CHA,15.57,8.67,35.36%,0.0%,0.12%,0.1%,$-1.92,48
Anthony Black,PG/G/UTIL,ORL,22.0975,5.595007920551001,0.0%,0.0%,0.57%,0.56%,$-2.00,24
Luguentz Dort,SF/SG/G/F/UTIL,OKC,26.5475,4.751741176544511,22.97%,0.49%,13.17%,18.44%,$-2.05,24
Jarrett Allen,C/UTIL,CLE,32.587500000000006,8.539748931367319,17.73%,0.64%,24.63%,11.07%,$-2.08,24
Mark Williams,C/UTIL,CHA,30.88,13.05,26.28%,0.24%,9.47%,13.13%,$-2.15,48
Isaiah Collier,PG/SG/G/UTIL,UTA,25.32,8.19,23.4%,0.35%,13.68%,18.61%,$-2.15,48
Noah Clowney,C/PF/F/UTIL,BKN,25.46,8.43,25.03%,0.11%,10.88%,7.2%,$-2.30,48
Miles Bridges,PF/F/UTIL,CHA,34.29,10.82,24.53%,0.11%,12.8%,4.75%,$-2.33,48
Jaylen Brown,SF/SG/G/F/UTIL,BOS,30.417499999999997,8.17165630501528,6.51%,0.32%,7.01%,11.54%,$-2.38,24
Day'Ron Sharpe,C/UTIL,BKN,21.74,11.51,25.18%,0.0%,1.9%,4.11%,$-2.44,48
Andrew Nembhard,PG/SG/G/UTIL,IND,24.2925,4.992674531974937,17.27%,0.14%,6.98%,18.42%,$-2.53,24
Bradley Beal,SF/SG/G/F/UTIL,PHX,31.33,10.14,22.85%,0.01%,10.56%,4.17%,$-2.53,48
Svi Mykhailiuk,SF/SG/G/F/UTIL,UTA,20.78,9.76,21.58%,0.17%,18.87%,16.92%,$-2.55,48
Bilal Coulibaly,SF/F/UTIL,WAS,27.4875,5.006059718387738,4.15%,0.0%,0.91%,1.91%,$-2.57,24
Oso Ighodaro,C/PF/F/UTIL,PHX,17.5,7.35,23.9%,0.0%,1.68%,1.65%,$-2.59,48
Nic Claxton,C/UTIL,BKN,28.68,11.43,18.66%,0.46%,2.67%,3.53%,$-2.59,48
LaMelo Ball,PG/G/UTIL,CHA,42.66,13.21,20.12%,0.13%,17.21%,9.4%,$-2.61,48
Dean Wade,PF/SF/F/UTIL,CLE,29.4175,4.176178160794049,22.37%,0.02%,1.28%,0.21%,$-2.68,24
T.J. McConnell,PG/G/UTIL,IND,20.1325,6.545356155859903,21.77%,0.01%,6.21%,7.17%,$-2.71,24
Jalen Williams,PF/F/UTIL,OKC,31.86,9.838112013409058,13.77%,0.01%,13.71%,16.3%,$-2.82,24
Trey Murphy III,PF/SF/F/UTIL,NOP,35.88,6.163878343095063,5.59%,0.74%,2.12%,0.7%,$-2.85,24
Keon Johnson,PG/SG/G/UTIL,BKN,29.04,9.02,18.41%,0.04%,8.12%,6.69%,$-2.87,48
Max Strus,SF/SG/G/F/UTIL,CLE,16.4175,4.497422634701284,14.02%,0.01%,25.62%,13.7%,$-2.97,24
Tyus Jones,PG/G/UTIL,PHX,23.33,9.02,17.26%,0.04%,2.32%,2.5%,$-2.98,48
Grayson Allen,SG/G/UTIL,PHX,22.53,8.2,15.99%,0.04%,4.09%,4.49%,$-3.01,48
Ziaire Williams,SF/SG/G/F/UTIL,BKN,23.32,9.32,16.58%,0.0%,4.19%,2.26%,$-3.03,48
Kelly Oubre Jr.,SG/G/UTIL,PHI,25.6325,4.524193007526886,11.77%,0.16%,15.07%,11.72%,$-3.07,24
Jrue Holiday,PG/G/UTIL,BOS,25.817500000000003,5.6418560729958065,5.08%,0.69%,4.26%,5.16%,$-3.08,24
CJ McCollum,PG/SG/G/UTIL,NOP,28.0825,6.679208019987918,2.34%,0.03%,2.2%,1.16%,$-3.10,24
Derrick White,PG/SG/G/UTIL,BOS,29.369999999999997,5.775707937123822,10.18%,0.41%,3.36%,8.72%,$-3.14,24
Tyrese Maxey,PG/G/UTIL,PHI,43.724999999999994,7.455548831930401,12.71%,0.06%,4.89%,6.14%,$-3.14,24
Cody Martin,SF/SG/G/F/UTIL,CHA,18.57,6.96,14.91%,0.0%,1.72%,1.2%,$-3.16,48
Kenrich Williams,C/PF/F/UTIL,OKC,11.9375,5.4544634632165865,14.11%,0.0%,1.23%,6.02%,$-3.18,24
Nick Smith Jr.,SF/SG/G/F/UTIL,CHA,12.74,6.26,16.45%,0.0%,0.3%,0.1%,$-3.18,48
