Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Kristaps Porzingis,C/UTIL,BOS,46.366875,6.097823492234413,89.36%,3.13%,3.6%,9.61%,$26.31,12
Paul George,SF/SG/G/F/UTIL,PHI,45.44921875,5.741701650172323,88.1%,2.69%,4.96%,7.9%,$19.68,15
Collin Sexton,PG/SG/G/UTIL,UTA,41.42,15.43,93.38%,2.08%,4.76%,10.57%,$15.82,48
Cason Wallace,PG/SG/G/UTIL,OKC,27.88095486111111,3.3702863592923338,87.29%,2.09%,8.83%,43.45%,$14.45,14
Aaron Wiggins,PF/SF/F/UTIL,OKC,25.695052083333334,4.609067208615557,92.28%,2.21%,7.96%,23.77%,$13.02,14
Cole Anthony,PG/SG/G/UTIL,ORL,49.6767578125,6.1889718874140085,91.8%,1.9%,14.21%,34.61%,$12.42,15
Shai Gilgeous-Alexander,PG/G/UTIL,OKC,59.42817708333334,11.02364496685201,90.15%,1.79%,14.32%,44.21%,$11.70,14
Isaiah Hartenstein,C/UTIL,OKC,41.73493055555555,7.237088119730414,86.81%,1.93%,7.96%,37.44%,$10.22,14
Dejounte Murray,PG/G/UTIL,NOP,53.004999999999995,5.149375983958196,92.07%,5.1%,0.13%,4.03%,$9.74,12
Kyle Filipowski,C/PF/F/UTIL,UTA,28.05,9.88,90.86%,1.41%,12.82%,75.44%,$9.70,48
Brice Sensabaugh,PF/SF/F/UTIL,UTA,28.2,11.12,90.56%,1.16%,10.53%,50.79%,$9.42,48
Evan Mobley,C/PF/F/UTIL,CLE,44.890625,6.134836077923241,89.25%,1.44%,5.1%,6.94%,$8.06,12
T.J. McConnell,PG/G/UTIL,IND,23.93,4.61269349147019,97.07%,1.61%,1.77%,9.37%,$6.69,12
Pascal Siakam,PF/F/UTIL,IND,41.33125,5.135496264324885,89.58%,1.37%,2.26%,6.34%,$6.27,12
Drew Eubanks,C/UTIL,UTA,21.58,10.46,93.48%,0.97%,1.87%,20.82%,$6.24,48
Micah Potter,C/PF/F/UTIL,UTA,20.46,7.02,92.69%,1.19%,4.3%,21.29%,$6.05,48
Jayson Tatum,PF/SF/F/UTIL,BOS,55.889375,6.532721374078142,92.07%,1.22%,3.71%,14.61%,$5.78,12
Obi Toppin,C/PF/F/UTIL,IND,27.039375,4.020492120448941,89.21%,1.05%,0.46%,1.12%,$5.19,12
