Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Deandre Jordan,C,DEN,dk,7.7,3000,2.6,0,-7,NOP,126,242,,,,,Proj 👉,0.8,0.0,1.0,0.2,0.1,0.1,0.2,8.0,398142,37515140
Doug Mcdermott,SF/PF,SAC,dk,7.3,3000,2.4,0,-7,MIN,108.5,222,,,,,Proj 👉,1.2,0.3,0.2,0.1,0.0,0.1,0.1,12.0,554804,37515223
Dominick Barlow,C,ATL,dk,6.6,3200,2.1,0,-9,DET,116.5,237.5,,,,,Proj 👉,0.3,0.0,0.2,0.0,0.0,0.0,0.0,14.0,1419291,37514972
Landry Shamet,SG/SF,NYK,dk,6.1,3000,2,0,-8,HOU,115.5,224,,,,,Proj 👉,0.9,0.1,0.3,0.2,0.0,0.2,0.1,12.0,893100,37515052
Blake Wesley,PG/SG,SAS,dk,5.7,3000,1.9,0,-9,MEM,118.75,241,,,,,Proj 👉,0.7,0.0,0.2,0.4,0.0,0.1,0.2,7.0,1325125,37515273
Sandro Mamukelashvili,PF/C,SAS,dk,5.6,3200,1.7,0,-10,MEM,118.75,241,,,,,Proj 👉,0.6,0.1,0.3,0.1,0.0,0.0,0.1,5.0,1060351,37514997
Hunter Tyson,SF/PF,DEN,dk,5.1,3000,1.7,0,-9,NOP,126,242,,,,,Proj 👉,0.5,0.1,0.3,0.1,0.0,0.0,0.1,8.0,1132015,37515146
Micah Potter,PF,UTA,dk,5.0,3400,1.5,0,-11,IND,117.5,242,,,,,Proj 👉,0.8,0.2,0.9,0.2,0.1,0.1,0.1,8.0,945061,37514902
Alex Len,C,SAC,dk,4.6,3000,1.5,0,-10,MIN,108.5,222,,,,,Proj 👉,0.2,0.0,0.3,0.1,0.1,0.0,0.0,5.0,616982,37515194
Jericho Sims,C,NYK,dk,4.5,3000,1.5,0,-10,HOU,115.5,224,,,,,Proj 👉,0.3,0.0,0.7,0.1,0.1,0.0,0.1,7.0,1071933,37515061
Reed Sheppard,PG/SG,HOU,dk,4.2,3400,1.2,0,-12,NYK,108.5,224,,,,,Proj 👉,0.5,0.1,0.2,0.2,0.1,0.1,0.1,6.0,1465031,37514918
