TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612760,Oklahoma City Thunder,47,38,9,0.809,2256.0,2051,4333,0.473,646,1813,0.356,751,913,0.823,495,1576,2071,1229,567.0,522,263,227,963,852,5499,578.0,23,2,1,2,28,12,17,11,13,15,16,27,30,1,23,21,24,20,1,1,8,10,24,26,11,1
1610612753,Orlando Magic,50,24,26,0.48,2410.0,1868,4279,0.437,554,1828,0.303,895,1168,0.766,559,1513,2072,1158,742.0,460,313,222,1025,1047,5185,-84.0,1,16,20,19,2,28,18,28,30,12,30,4,3,25,10,28,22,26,19,5,2,9,28,1,26,20
1610612755,Philadelphia 76ers,48,19,29,0.396,2324.0,1873,4120,0.455,615,1743,0.353,874,1112,0.786,473,1396,1869,1082,654.0,453,191,250,955,933,5235,-173.0,17,24,22,24,18,25,24,22,19,19,20,6,7,13,25,30,30,29,10,6,28,18,23,11,23,23
1610612756,Phoenix Suns,48,25,23,0.521,2314.0,1951,4098,0.476,671,1775,0.378,849,1064,0.798,443,1596,2039,1313,674.0,362,236,205,874,927,5422,-39.0,17,14,13,13,20,20,26,9,7,16,5,8,10,5,26,16,26,11,13,26,19,3,7,13,16,17
1610612757,Portland Trail Blazers,49,20,29,0.408,2352.0,1959,4336,0.452,596,1742,0.342,815,1057,0.771,608,1521,2129,1135,788.0,391,275,277,946,926,5329,-284.0,5,23,22,23,14,18,15,23,24,20,28,17,12,23,4,24,15,27,27,14,6,24,21,14,21,26
1610612758,Sacramento Kings,48,24,24,0.5,2329.0,2074,4380,0.474,598,1735,0.345,844,1044,0.808,519,1619,2138,1293,624.0,382,223,215,930,906,5590,58.0,17,16,15,17,17,8,13,10,23,21,24,10,13,2,17,11,14,13,3,19,25,6,18,17,9,12
1610612759,San Antonio Spurs,46,21,25,0.457,2218.0,1880,4101,0.458,643,1834,0.351,775,985,0.787,516,1580,2096,1325,663.0,348,317,211,748,830,5178,-54.0,29,21,19,20,30,24,25,18,15,9,22,21,25,12,18,20,21,10,12,28,1,4,2,29,27,19
1610612761,Toronto Raptors,49,16,33,0.327,2367.0,2060,4386,0.47,557,1586,0.351,772,1039,0.743,574,1589,2163,1424,774.0,384,227,290,1058,909,5449,-251.0,5,25,25,25,7,10,12,13,29,28,21,22,16,28,8,19,12,5,25,18,22,29,30,16,14,25
1610612762,Utah Jazz,47,11,36,0.234,2266.0,1869,4090,0.457,649,1824,0.356,838,1062,0.789,562,1552,2114,1182,827.0,317,234,303,905,940,5225,-345.0,23,29,28,29,24,27,27,21,12,14,17,11,11,11,9,22,17,25,30,30,20,30,14,9,24,28
1610612764,Washington Wizards,48,7,41,0.146,2309.0,1882,4335,0.434,602,1830,0.329,767,991,0.774,513,1594,2107,1183,772.0,368,248,271,979,875,5133,-714.0,17,30,30,30,21,23,16,29,20,10,29,24,24,19,20,17,19,24,24,24,11,23,25,22,29,30
