Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Feasibility,Weighted Feasibility,Tournament Feasibility,Team_Contest_Rank,Player_Pool_Size,Proj_Salary_Ratio,Normalized_Value,Log_Proj,Prev_Salary_Mean,Salary_Proj_Interaction,Value_Feasibility_Interaction,Proj_Feasibility_Interaction,Low_Minutes_Flag,Low_Minutes_Penalty,Team_Total_Points_Proj,Player_Points_Percentage,Value_Plus,Ceiling_Plus,Custom_Target,Rank,Preliminary_Predictions,Scaled_Predictions,Group_Rank,Dynamic_Shift,Predicted Ownership
14,Scotty Pippen Jr.,3600,26.94,7.48,65.21,5945,11,8.94,PG,MEM,11.77,24.0,0.52104,175.0,4.655175197429433e-05,4.0,381,0.007483333333333334,1.9629379453579958,3.330059353828816,3700.0,96984.0,3.8973792,14.0368176,0,0.0,2246.27,0.011993215419339617,12.540000000000001,20.71,0.6521460862344551,1.0,0.3577540545739666,25.93983202111339,2.0,0.45002690324725614,44.68820082405786
14,Bobby Portis,5300,45.6,8.6,64.84,5945,11,19.1,PF/C,MIL,15.43,32.0,0.67776,421.0,8.107745538599998e-05,1.0,381,0.00860377358490566,2.4117989191325693,3.8416005411316,4133.333333333333,241680.0,5.828736,30.905856000000004,0,0.0,1607.59,0.02836544143718237,24.400000000000002,34.53,0.6484802666808328,2.0,0.499223414488587,36.197413690424604,1.0,0.45001055392998945,61.11963670557759
14,Jalen Johnson,8800,49.85,5.66,40.19,5945,11,5.85,PF,ATL,12.19,38.0,0.7603800000000001,865.0,5.116912138101232e-05,1.0,381,0.0056647727272727275,1.2335388629743138,3.928880122494569,5933.333333333333,438680.0,4.3037508,37.904943,0,0.0,1694.84,0.02941280592858323,14.649999999999999,18.04,0.4019506574301675,3.0,0.10393785885624629,7.536268464031592,20.0,0.45060228868328384,9.440999988507064
14,Kevin Durant,9100,49.26,5.41,35.02,5945,11,3.76,PF/C,PHX,14.0,37.0,0.7523949999999999,1072.0,7.386900790237397e-05,1.0,381,0.0054131868131868125,1.1333466813282036,3.917209532115446,7600.0,448266.0,4.07045695,37.0629777,0,0.0,1696.87,0.029029919793502154,12.86,17.759999999999998,0.3502731303178237,4.0,0.12424028621972516,9.00834557593645,12.0,0.4503022100419048,10.014409577502331
14,Desmond Bane,6600,31.94,4.84,25.26,5945,11,-1.06,SG/SF,MEM,11.48,29.0,0.60088,647.0,4.3414521294040766e-05,2.0,381,0.004839393939393939,0.9049085071750723,3.494687724749494,8066.666666666667,210804.0,2.9082592,19.1921072,0,0.0,2246.27,0.014219127709491736,5.540000000000003,10.420000000000002,0.2526429803760813,5.0,0.05998264016395316,4.349187913156522,68.0,0.45314268781062006,4.654186603255159
14,Victor Wembanyama,10900,54.89,5.04,23.52,5945,11,0.39,C,SAS,19.74,33.0,0.65835,834.0,4.939066044954682e-05,1.0,381,0.005035779816513762,0.9850622524919604,4.023385473281607,8833.333333333334,598301.0,3.318084,36.1368315,0,0.0,1911.66,0.028713264911124362,11.29,20.129999999999995,0.23524889675384528,6.0,0.13746308978952881,9.967097263202009,9.0,0.45020494701469144,13.123034484031264
14,Khris Middleton,5200,33.6,6.46,22.71,5945,11,7.6,SG/SF,MIL,15.45,24.0,0.5080800000000001,476.0,2.979303355964573e-05,2.0,381,0.006461538461538462,1.5541538442418663,3.543853682063679,7600.0,174720.0,3.2821968000000004,17.071488000000002,0,0.0,1607.59,0.02090085158529227,12.8,23.049999999999997,0.22712949510322428,7.0,0.15089660021410412,10.941126765906954,7.0,0.45014598107684123,15.637227070507937
14,Kyrie Irving,8200,42.98,5.24,19.75,5945,11,1.98,PG/SG,DAL,11.77,36.0,0.7272,1133.0,7.150245353909308e-05,1.0,381,0.005241463414634146,1.0652159978088487,3.783734985126615,8066.666666666667,352436.0,3.810528,31.255055999999996,0,0.0,2102.78,0.02043960851824727,10.18,13.75,0.19757078742900389,8.0,0.09366293306854079,6.791259859503306,26.0,0.45085827849042326,8.082381704486648
14,Tyler Herro,7200,41.19,5.72,18.2,5945,11,5.19,PG,MIA,11.36,36.0,0.72774,513.0,4.247220661694583e-05,2.0,381,0.005720833333333333,1.25758498656938,3.7421832261362473,6966.666666666667,296568.0,4.1626728,29.9756106,0,0.0,1603.08,0.0256942884946478,12.389999999999997,16.549999999999997,0.18204204748455094,9.0,0.08219989611941658,5.960104351660919,37.0,0.45138193156387835,6.442902845893098
14,De'Andre Hunter,5500,31.33,5.7,17.98,5945,11,3.83,SF/PF,ATL,10.8,30.0,0.6249,573.0,3.740630151459907e-05,4.0,381,0.005696363636363636,1.2495696120376913,3.4759955917373415,7033.333333333333,172315.0,3.5619300000000003,19.578117,0,0.0,1694.84,0.018485520757121617,9.329999999999998,14.629999999999995,0.17983703223849962,10.0,0.09242671112425804,6.701624566302517,28.0,0.4509485878358955,7.775709686373916
