Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Feasibility,Weighted Feasibility,Tournament Feasibility,Team_Contest_Rank,Player_Pool_Size,Proj_Salary_Ratio,Normalized_Value,Log_Proj,Prev_Salary_Mean,Salary_Proj_Interaction,Value_Feasibility_Interaction,Proj_Feasibility_Interaction,Low_Minutes_Flag,Low_Minutes_Penalty,Team_Total_Points_Proj,Player_Points_Percentage,Value_Plus,Ceiling_Plus,Custom_Target,Rank,Preliminary_Predictions,Scaled_Predictions,Group_Rank,Dynamic_Shift,Predicted Ownership
13,Vasilije Micic,4000,31.63,7.91,65.67,14863,3,11.63,PG,CHA,3.01,33.0,2.5248299999999997,1013.0,0.0002719670570568,3.0,104,0.0079075,2.3986378014904295,3.4852321106052293,,126520.0,19.971405299999997,79.86037289999999,0,0.0,1615.24,0.019582229266239072,15.629999999999999,14.64,0.6569692473864869,1.0,0.46455552525000665,63.06769734702574,1.0,0.45006097904801345,78.3206834746298
13,Giannis Antetokounmpo,11300,63.04,5.58,62.12,14863,3,6.54,PF/C,MIL,24.55,37.0,2.68731,3528.0,0.0007033204154101,1.0,104,0.005578761061946902,1.3704986401914347,4.1595078881285135,,712352.0,14.9951898,169.4080224,0,0.0,1607.59,0.039213978688595975,17.839999999999996,31.090000000000003,0.6218962872112566,2.0,0.39403551653298696,53.49395572748281,2.0,0.4501554429873787,52.23102007350846
13,Miles Bridges,6300,37.99,6.03,60.3,14863,3,6.49,PF,CHA,5.49,31.0,2.36375,1633.0,0.0001424252157332,1.0,104,0.00603015873015873,1.569066289369352,3.663305202994506,7133.333333333333,239337.0,14.253412500000001,89.7988625,0,0.0,1615.24,0.023519724622966247,12.790000000000003,11.980000000000004,0.6031410009635764,3.0,0.3484389770083818,47.303804930628296,4.0,0.4503962430230115,53.98568166681182
13,Seth Curry,3000,18.61,6.2,38.76,14863,3,3.61,SG,CHA,1.18,25.0,1.9186249999999998,1092.0,9.575310668658386e-05,6.0,104,0.006203333333333333,1.6440807346143431,2.976039640208255,6800.0,55830.0,11.895475,35.70561125,0,0.0,1615.24,0.011521507639731556,6.609999999999999,4.789999999999999,0.38769479557562003,4.0,0.23573898276589622,32.003741231953086,7.0,0.45084345709158963,34.56346898280168
13,Bobby Portis,5400,30.46,5.64,29.9,14863,3,3.46,PF/C,MIL,5.77,26.0,2.0242299999999998,1429.0,0.0002079703018222,2.0,104,0.005640740740740741,1.3969743267484902,3.4487168976301317,4900.0,164484.0,11.416657199999998,61.6580458,0,0.0,1607.59,0.01894761724071436,8.86,9.230000000000004,0.29920589059880426,5.0,0.32454482445038635,44.05995333488991,5.0,0.4505355378193527,46.07465391280475
13,Tyler Herro,7400,38.98,5.27,28.49,14863,3,1.98,PG,MIA,5.78,36.0,2.77326,1965.0,0.0001734610028212,2.0,104,0.0052675675675675675,1.2337075929799801,3.6883793290722537,5366.666666666667,288452.0,14.6150802,108.1016748,0,0.0,1603.08,0.02431569229233725,9.379999999999995,7.759999999999998,0.28507172639279327,6.0,0.1925348703167553,26.138384476971197,8.0,0.4510100715119609,26.767772962039658
13,Nick Richards,5100,34.99,6.86,28.48,14863,3,9.49,C,CHA,5.17,30.0,2.29815,777.0,0.00021549946125,2.0,104,0.006860784313725491,1.9353132867419556,3.5832411220909393,6066.666666666667,178449.0,15.765309000000002,80.41226850000001,0,0.0,1615.24,0.021662415492434563,14.590000000000003,14.660000000000004,0.2850133444666378,7.0,0.3800200515120551,51.59122708026187,3.0,0.45026871649977834,56.07921267352011
13,Isaiah Hartenstein,7000,37.15,5.31,27.44,14863,3,2.15,C,OKC,6.29,32.0,2.41456,1197.0,6.111480453265692e-05,3.0,104,0.005307142857142857,1.251358050684684,3.641525757730466,6500.0,260050.0,12.821313599999998,89.700904,0,0.0,1935.54,0.01919361005197516,9.149999999999999,8.439999999999998,0.2744605036564876,8.0,0.15527496203481816,21.080008263625068,10.0,0.4513651508379746,23.619098348149386
13,Bam Adebayo,8100,43.16,5.33,26.31,14863,3,2.66,C,MIA,8.77,35.0,2.611875,1541.0,5.561268263761369e-05,1.0,104,0.005328395061728395,1.260183279537036,3.78781940196884,6700.0,349596.0,13.92129375,112.72852499999999,0,0.0,1603.08,0.02692317289218255,10.759999999999998,11.429999999999993,0.26315505655581145,9.0,0.1703003824310243,23.119847668289953,9.0,0.45118415356758623,25.990745725048008
13,Shai Gilgeous-Alexander,10300,53.38,5.18,23.69,14863,3,1.88,PG,OKC,15.45,36.0,2.66778,2845.0,0.0003201295305494,1.0,104,0.0051825242718446605,1.1939940631443968,3.995996439204325,8433.333333333334,549814.0,13.8191004,142.4060964,0,0.0,1935.54,0.027578866879527163,12.18,17.33,0.23721692823524412,10.0,0.2761841386378596,37.494544184546385,6.0,0.4506849909410571,37.45437186184927
