Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Feasibility,Weighted Feasibility,Tournament Feasibility,Team_Contest_Rank,Player_Pool_Size,Proj_Salary_Ratio,Normalized_Value,Log_Proj,Prev_Salary_Mean,Salary_Proj_Interaction,Value_Feasibility_Interaction,Proj_Feasibility_Interaction,Low_Minutes_Flag,Low_Minutes_Penalty,Team_Total_Points_Proj,Player_Points_Percentage,Value_Plus,Ceiling_Plus,Custom_Target,Rank,Preliminary_Predictions,Scaled_Predictions,Group_Rank,Dynamic_Shift,Predicted Ownership
23,Scotty Pippen Jr.,5800,38.87,6.7,64.46,14863,4,9.87,PG,MEM,11.8,33.0,1.8719249999999998,1012.0,0.0001479487265029,3.0,141,0.006701724137931034,1.7328319375129175,3.6856241613932634,3766.6666666666665,225445.99999999997,12.5418975,72.76172474999998,0,0.0,2246.27,0.01730424214364257,15.669999999999998,21.67,0.6447464692392384,1.0,0.5598913502352885,49.985947416276645,2.0,0.4501054153462843,62.770314702841404
23,John Konchar,4200,30.31,7.22,56.68,14863,4,9.31,SG/SF,MEM,6.62,35.0,1.9916749999999999,1090.0,0.0001355521897849,4.0,141,0.007216666666666666,1.9460588195443802,3.443937535338314,3766.6666666666665,127302.0,14.379893499999998,60.36766924999999,0,0.0,2246.27,0.013493480302902145,13.509999999999998,15.93,0.5669341966678876,2.0,0.6041514114882651,53.93739459170227,1.0,0.4500413536021845,68.92099852558114
23,Desmond Bane,7500,39.44,5.26,45.7,14863,4,1.94,SG/SF,MEM,12.74,32.0,1.76848,1754.0,0.000183553425948,2.0,141,0.005258666666666667,1.1423574949642512,3.6998193941522706,5200.0,295800.0,9.3022048,69.7488512,0,0.0,2246.27,0.017557996144719912,9.439999999999998,14.68,0.457181717891689,3.0,0.1954245937664567,17.447105521012652,13.0,0.45131927967351165,18.314828404999833
23,Donte DiVincenzo,4600,25.37,5.52,32.01,14863,4,2.37,PG/SG,MIN,8.35,29.0,1.66141,1667.0,9.757152399344554e-05,4.0,141,0.005515217391304348,1.2489709359799825,3.2722270003651954,4800.0,116702.0,9.1709832,42.1499717,0,0.0,2090.29,0.012137071889546427,6.970000000000002,10.719999999999999,0.32019659580875376,4.0,0.19675027259307942,17.56545939822577,12.0,0.45118415356758623,17.994180214687958
23,Luke Kennard,3800,24.16,6.36,31.73,14863,4,5.16,SG/SF,MEM,7.98,28.0,1.5785,1145.0,0.0001414839791765,6.0,141,0.006357894736842105,1.5934143608000382,3.22525543183224,5100.0,91808.0,10.03926,38.13656,0,0.0,2246.27,0.010755608186015038,8.96,13.14,0.31744006913938505,5.0,0.37874216977905895,33.813321414854286,3.0,0.45018223300615956,40.87396550212731
23,Jaren Jackson Jr.,8700,40.92,4.7,30.63,14863,4,-2.58,PF/C,MEM,16.62,29.0,1.60138,1670.0,0.0001389116361921,1.0,141,0.004703448275862069,0.9127285450842145,3.735763040012787,5266.666666666667,356004.0,7.526486,65.52846960000001,0,0.0,2246.27,0.01821686618260494,6.1200000000000045,14.040000000000006,0.3064375225198304,6.0,0.10495984322410856,9.370598781381668,33.0,0.45463988444192455,8.441640016423525
23,Victor Wembanyama,11600,63.48,5.47,30.22,14863,4,5.48,C,SAS,20.62,36.0,1.9103400000000001,1295.0,0.000154505546504,1.0,141,0.005472413793103448,1.2284683511692651,4.166355098198372,7700.0,736368.0,10.449559800000001,121.2683832,0,0.0,1911.66,0.03320674178462697,17.08,26.099999999999994,0.3023529604910392,7.0,0.32323656678094137,28.85789541728051,5.0,0.4503631807753274,34.62949966270198
23,Jaylen Wells,4300,25.2,5.86,25.58,14863,4,3.7,SG/SF,MEM,7.31,31.0,1.7484,1167.0,0.0002595329333907,5.0,141,0.005860465116279069,1.3883885126928626,3.265759410767051,7833.333333333333,108360.0,10.245624000000001,44.05968,0,0.0,2246.27,0.011218597942366678,8.0,11.009999999999998,0.256056937604057,8.0,0.2938550092605692,26.234770433112704,6.0,0.4504645340292979,30.5074633490155
23,Mason Plumlee,4500,24.99,5.55,24.46,14863,4,2.49,C,PHX,9.98,25.0,1.42425,526.0,1.991604764428324e-05,5.0,141,0.005553333333333333,1.2612724868664134,3.2577118486533987,6433.333333333333,112455.0,7.9045875,35.5920075,0,0.0,1696.87,0.014727115218019058,6.989999999999998,12.469999999999999,0.24461971688716808,9.0,0.11952472724827423,10.670921650542196,25.0,0.45318957161165835,10.569371237033927
23,Jay Huff,3800,23.72,6.24,23.45,14863,4,4.72,C,MEM,11.04,21.0,1.194795,475.0,4.7445318470342224e-05,7.0,141,0.006242105263157894,1.544208157254316,3.20761263258949,3633.3333333333335,90136.0,7.4555208,28.3405374,0,0.0,2246.27,0.01055972790448165,8.52,15.759999999999998,0.23454697086528584,10.0,0.290809620666735,25.9628844072801,7.0,0.4505719995664343,30.02881651739982
23,Devin Vassell,6000,35.64,5.94,23.35,14863,4,5.64,SG/SF,SAS,9.3,35.0,2.009875,1485.0,0.0001311480521097,3.0,141,0.00594,1.4211926483900106,3.6011405398059297,4033.3333333333335,213840.0,11.938657500000001,71.631945,0,0.0,1911.66,0.018643482627663913,11.64,14.939999999999998,0.23362983657158884,11.0,0.3606715257817259,32.200011510621344,4.0,0.45026871649977834,36.89769700544318
