Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
27,4639833199,hoppy741 (1/2),286.19998,99,C Kristaps Porzingis F Sam Hauser G Payton Pritchard PF Al Horford PG Derrick White SF Jayson Tatum SG Donovan Mitchell UTIL LOCKED,,Trae Young,PG,3.61%,1
28,4640120432,salatso22 (9/20),271.28,98,C Victor Wembanyama F Jayson Tatum G Derrick White PF Al Horford PG Elfrid Payton SF Bennedict Mathurin SG Payton Pritchard UTIL LOCKED,,KJ Simpson,PG,3.07%,0
29,4640110363,to81760 (1/20),295.34998,97.25,C Jusuf Nurkic F Paul George G Derrick White PF Al Horford PG Payton Pritchard SF Jayson Tatum SG Kelly Oubre Jr. UTIL LOCKED,,Kelly Oubre Jr.,SG,3.07%,4
30,4640120440,salatso22 (17/20),306.15,96.75,C Kristaps Porzingis F LOCKED G LOCKED PF Al Horford PG Derrick White SF Jayson Tatum SG De'Aaron Fox UTIL LOCKED,,Bennedict Mathurin,SF,2.97%,3.5
30,4639744581,JoshuaJones88 (6/14),241.85,96.75,C Jusuf Nurkic F Nick Smith Jr. G KJ Simpson PF Paolo Banchero PG Cole Anthony SF Franz Wagner SG Derrick White UTIL Pascal Siakam,,Tidjane Salaun,SF,2.78%,3.5
32,4640052246,garyyoung (15/20),306.15,96.5,C Kristaps Porzingis F Jayson Tatum G Chris Paul PF Al Horford PG Derrick White SF LOCKED SG LOCKED UTIL LOCKED,,Paolo Banchero,PF,2.74%,19.75
32,4640228452,Ryan99 (1/5),287.68,96.5,C Al Horford F Josh Green G LOCKED PF Sam Hauser PG De'Aaron Fox SF Jayson Tatum SG Derrick White UTIL LOCKED,,Mouhamed Gueye,F,2.74%,2
34,4640120439,salatso22 (16/20),271.28,95.75,C Kristaps Porzingis F LOCKED G Derrick White PF Jayson Tatum PG Elfrid Payton SF Aaron Nesmith SG Payton Pritchard UTIL De'Aaron Fox,,Onyeka Okongwu,UTIL,2.46%,6
35,4639898469,duhastpoop,289.28,95.5,C Thomas Bryant F RJ Barrett G De'Aaron Fox PF Al Horford PG Immanuel Quickley SF Nick Smith Jr. SG Max Strus UTIL Jayson Tatum,,Cameron Johnson,F,2.43%,4
36,4640175574,lucianoverylucky (4/6),277.1,95.25,C Thomas Bryant F Jayson Tatum G Jared Butler PF LOCKED PG Elfrid Payton SF Franz Wagner SG Derrick White UTIL Jusuf Nurkic,,Guerschon Yabusele,C,2.41%,4
36,4640175575,lucianoverylucky (5/6),277.1,95.25,C Thomas Bryant F Jayson Tatum G Jared Butler PF LOCKED PG Elfrid Payton SF Franz Wagner SG Derrick White UTIL Jusuf Nurkic,,Scottie Barnes,PG,2.40%,2
36,4639960060,cpetruccelli (10/20),264.84003,95.25,C Kristaps Porzingis F Aaron Nesmith G Elfrid Payton PF Pascal Siakam PG Tyrese Haliburton SF Jayson Tatum SG Quentin Grimes UTIL Thomas Bryant,,Sam Hauser,SF,2.30%,6
39,4640205634,mayor351 (1/3),278.77002,95,C Thomas Bryant F Jayson Tatum G Tyrese Haliburton PF Mouhamed Gueye PG Carlton Carrington SF Josh Hart SG Andrew Nembhard UTIL Kyshawn George,,De'Aaron Fox,G,2.27%,10
40,4640120425,salatso22 (2/20),287.68,94.5,C Victor Wembanyama F LOCKED G Derrick White PF Al Horford PG Elfrid Payton SF Jayson Tatum SG Payton Pritchard UTIL LOCKED,,Gradey Dick,G,2.21%,3.5
40,4640100051,jrd36784 (3/9),252.81,94.5,C Bismack Biyombo F Miles Bridges G Derrick White PF Jayson Tatum PG Stephon Castle SF Nick Smith Jr. SG Andrew Nembhard UTIL Devin Vassell,,De'Andre Hunter,F,2.20%,0
