Place,Payout,Field Size,Entry Fee
1,7500,23781,4
2,3000,,
3,2000,,
4,1500,,
5,1250,,
6-7,1000,,
8-10,750,,
11-13,600,,
14-16,500,,
17-19,400,,
20-22,300,,
23-25,250,,
26-29,200,,
30-35,150,,
36-45,100,,
46-55,75,,
56-70,60,,
71-85,50,,
86-105,40,,
106-130,30,,
131-185,25,,
186-305,20,,
306-600,15,,
601-1365,10,,
1366-2842,8,,
2843-6181,6,,
