Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
LaMelo Ball,PG/G/UTIL,CHA,49.395329861111115,12.33801194229774,21.03%,0.84%,11.09%,5.58%,$-1.63,46
Carlton Carrington,PG/SG/G/UTIL,WAS,30.54826388888889,5.579858597424313,35.97%,3.23%,7.75%,1.42%,$4.15,46
Amen Thompson,SF/SG/G/F/UTIL,HOU,49.961215277777775,9.27055040968228,41.18%,1.78%,56.31%,59.94%,$2.933724182903236e+152,46
Kyle Kuzma,PF/F/UTIL,WAS,43.23215277777778,10.838364081907962,49.76%,4.62%,18.5%,5.84%,$7.68,46
Alperen Sengun,C/UTIL,HOU,56.36600694444444,15.502853206107345,44.13%,4.37%,9.11%,24.66%,$7.83,46
Tyus Jones,PG/G/UTIL,PHX,21.46307291666667,7.800116468650742,5.24%,0.31%,1.2%,2.26%,$-2.9,46
Kyshawn George,PF/SF/F/UTIL,WAS,21.57189236111111,6.0180673877979505,23.78%,1.6%,2.94%,8.23%,$-1.18,46
Mason Plumlee,C/UTIL,PHX,31.69348958333333,8.744699861233917,20.79%,1.3%,0.58%,0.44%,$-1.44,46
Mark Williams,C/UTIL,CHA,34.838593749999994,12.805434652029621,28.16%,0.95%,5.57%,24.76%,$-0.93,46
Devin Booker,PG/SG/G/UTIL,PHX,45.76336805555555,11.792685447610548,12.66%,0.55%,1.74%,2.38%,$-2.5,46
Ryan Dunn,PF/SF/F/UTIL,PHX,27.523888888888894,6.534179963126901,20.17%,0.63%,2.62%,2.47%,$-2.02,46
Alexandre Sarr,C/PF/F/UTIL,WAS,32.18088541666667,9.9035186624442,21.64%,0.84%,4.34%,1.75%,$-1.65,46
Jaime Jaquez Jr.,PF/SF/F/UTIL,MIA,27.89,8.49,19.13%,0.09%,3.77%,4.18%,$-2.56,48
Fred VanVleet,PG/G/UTIL,HOU,34.65133680555556,7.381383624515934,21.64%,1.19%,5.79%,7.82%,$2.8531607726991574e+153,46
Onyeka Okongwu,C/UTIL,ATL,27.71,12.19,25.88%,0.78%,6.23%,13.69%,$2.6516534308070814e+153,48
Christian Braun,SF/SG/G/F/UTIL,DEN,25.81,6.22,21.41%,0.64%,14.83%,9.38%,$-1.29,48
Dillon Brooks,PF/SF/F/UTIL,HOU,27.31190972222222,6.125185092111507,16.55%,0.52%,3.66%,5.79%,$-2.935595282969222e+245,46
Kevin Durant,C/PF/F/UTIL,PHX,49.26531249999999,12.40617775413364,14.48%,0.42%,2.81%,3.63%,$-1.77,46
Josh Green,PF/SF/F/UTIL,CHA,17.803611111111113,4.070472763915118,3.69%,0.0%,0.45%,0.1%,$-3.25,46
Jalen Green,SG/G/UTIL,HOU,32.83289930555556,9.767187038772402,27.06%,1.07%,12.68%,9.93%,$-0.77,46
Bilal Coulibaly,SF/F/UTIL,WAS,35.486440972222226,7.770902549292501,24.31%,1.69%,1.03%,0.4%,$4.62,46
Anthony Edwards,SG/G/UTIL,MIN,47.49,13.69,31.29%,1.63%,20.68%,14.48%,$7.988298294936229e+152,48
Payton Pritchard,PG/SG/G/UTIL,BOS,28.3,9.06,16.98%,0.41%,5.71%,3.07%,$-2.46,48
Nick Smith Jr.,SF/SG/G/F/UTIL,CHA,7.503350694444444,4.606061285482898,0.21%,0.0%,0.22%,0.1%,$7.509000397240056e+154,46
Miles Bridges,PF/F/UTIL,CHA,29.46236111111111,10.838364081907962,2.02%,0.0%,2.98%,0.91%,$5.543557340244336e+153,46
Seth Curry,SG/G/UTIL,CHA,0.0,0.000973797311941416,4.19%,0.0%,0.06%,0.03%,$-1.03,46
Brandon Miller,SF/SG/G/F/UTIL,CHA,36.34407986111111,8.325967017099106,2.8%,0.0%,0.95%,0.1%,$-2.74,46
Donte DiVincenzo,PG/SG/G/UTIL,MIN,28.51,8.94,28.91%,1.16%,19.3%,12.62%,$-0.36,48
Quentin Grimes,SF/SG/G/F/UTIL,DAL,28.79,9.51,16.49%,0.41%,7.59%,4.22%,$-2.45,48
Buddy Hield,SG/G/UTIL,GSW,18.16,8.28,18.6%,0.41%,6.34%,5.64%,$-1.9,48
Naz Reid,C/PF/F/UTIL,MIN,31.83,11.43,33.92%,1.62%,40.38%,45.9%,$4.091084911819742e+152,48
Jared Butler,PG/G/UTIL,WAS,13.693385416666667,8.530464452606804,17.16%,0.36%,12.1%,0.1%,$-2.5,46
Trayce Jackson-Davis,C/UTIL,GSW,30.03,12.49,25.75%,0.87%,5.45%,11.18%,$-0.58,48
Micah Potter,C/PF/F/UTIL,UTA,16.85,6.77,17.54%,0.36%,23.52%,19.56%,$-4.568145720947003e+244,48
Andrew Wiggins,PF/SF/F/UTIL,GSW,34.4,9.79,26.42%,0.88%,17.57%,18.28%,$0.26,48
Mike Conley,PG/G/UTIL,MIN,23.43,9.03,27.55%,1.05%,25.14%,26.08%,$-0.79,48
Julian Strawther,SF/SG/G/F/UTIL,DEN,16.22,6.5,18.3%,0.52%,6.22%,3.24%,$-2.16,48
Michael Porter Jr.,PF/SF/F/UTIL,DEN,32.87,8.65,17.19%,0.22%,9.61%,9.72%,$1.7190219431767037e+153,48
Brice Sensabaugh,PF/SF/F/UTIL,UTA,26.11,10.56,25.69%,1.12%,27.47%,33.42%,$0.11,48
Jaden Hardy,PG/SG/G/UTIL,DAL,22.89,9.21,20.04%,0.59%,19.25%,12.71%,$-1.89,48
Collin Sexton,PG/SG/G/UTIL,UTA,33.93,14.76,28.23%,1.36%,18.91%,10.79%,$0.91,48
Rudy Gobert,C/UTIL,MIN,33.61,9.35,29.34%,0.96%,8.41%,16.07%,$-0.86,48
Lauri Markkanen,PF/SF/F/UTIL,UTA,41.27,13.22,27.15%,0.9%,23.51%,25.25%,$-0.46,48
