Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
bobby portis,C/PF/F/UTIL,MIL,36.05%,0.03%,2.96%,3.41%,2.7%,$5.83
victor wembanyama,C/UTIL,SAS,41.35%,0.01%,2.78%,11.78%,13.1%,$3.58
damian lillard,PG/G/UTIL,MIL,34.25%,0.01%,1.93%,6.16%,4.9%,$2.12
jonas valanciunas,C/UTIL,WAS,27.96%,0.01%,1.51%,9.18%,16.5%,$0.82
gary trent jr.,SF/SG/G/F/UTIL,MIL,30.18%,0.01%,1.41%,1.65%,1.1%,$0.75
josh giddey,PG/G/UTIL,CHI,29.83%,0.01%,1.43%,13.03%,15.0%,$0.61
dalen terry,SF/SG/G/F/UTIL,CHI,26.83%,0.01%,1.22%,0.41%,0.2%,$0.39
taurean prince,PF/SF/F/UTIL,MIL,28.53%,0.01%,1.31%,0.23%,0.2%,$0.38
keyonte george,PG/G/UTIL,UTA,28.61%,0.01%,1.26%,13.36%,16.7%,$0.12
devin booker,PG/SG/G/UTIL,PHX,30.11%,0.01%,1.19%,15.66%,10.1%,$0.02
anthony davis,C/UTIL,LAL,28.31%,0.01%,1.21%,8.96%,10.8%,$0.01
malcolm brogdon,PG/SG/G/UTIL,WAS,29.24%,0.01%,1.22%,34.88%,32.7%,$-0.0
grayson allen,SG/G/UTIL,PHX,26.21%,0.01%,1.17%,0.69%,0.9%,$-0.06
nickeil alexander-walker,SF/SG/G/F/UTIL,MIN,27.03%,0.01%,1.18%,0.66%,0.4%,$-0.07
tari eason,PF/SF/F/UTIL,HOU,25.53%,0.01%,1.1%,3.88%,3.0%,$-0.08
kyle kuzma,PF/F/UTIL,WAS,28.51%,0.0%,1.16%,23.0%,28.3%,$-0.15
aj green,PG/SG/G/UTIL,MIL,27.12%,0.01%,1.2%,0.13%,0.1%,$-0.16
naz reid,C/PF/F/UTIL,MIN,25.39%,0.01%,1.09%,3.97%,3.2%,$-0.22
stephon castle,SG/G/UTIL,SAS,27.24%,0.01%,1.11%,12.01%,15.6%,$-0.29
alexandre sarr,C/PF/F/UTIL,WAS,27.67%,0.0%,1.06%,56.57%,57.2%,$-0.39
kyshawn george,PF/SF/F/UTIL,WAS,27.18%,0.0%,1.08%,49.56%,51.1%,$-0.39
tyus jones,PG/G/UTIL,PHX,26.16%,0.01%,1.04%,4.5%,5.5%,$-0.43
collin sexton,PG/SG/G/UTIL,UTA,26.78%,0.0%,1.04%,30.6%,28.1%,$-0.47
alperen sengun,C/UTIL,HOU,23.96%,0.01%,1.0%,3.53%,3.8%,$-0.47
jabari smith jr.,C/PF/F/UTIL,HOU,26.6%,0.0%,1.05%,21.35%,18.1%,$-0.48
tre jones,PG/G/UTIL,SAS,25.08%,0.01%,1.02%,1.58%,1.7%,$-0.49
john collins,C/PF/F/UTIL,UTA,27.22%,0.0%,1.01%,23.79%,17.5%,$-0.5
pat connaughton,PF/SF/F/UTIL,MIL,24.36%,0.01%,1.0%,0.16%,0.1%,$-0.5
brook lopez,C/UTIL,MIL,26.44%,0.01%,0.96%,0.51%,0.8%,$-0.51
bam adebayo,C/UTIL,MIA,25.85%,0.01%,0.94%,2.01%,2.3%,$-0.51
d'angelo russell,PG/G/UTIL,LAL,24.77%,0.01%,0.99%,2.26%,3.0%,$-0.53
jalen green,SG/G/UTIL,HOU,25.57%,0.01%,1.01%,3.91%,4.9%,$-0.53
jalen smith,C/UTIL,CHI,23.88%,0.01%,0.94%,0.86%,1.3%,$-0.54
corey kispert,SF/SG/G/F/UTIL,WAS,26.41%,0.0%,1.02%,40.98%,31.7%,$-0.56
ayo dosunmu,PG/SG/G/UTIL,CHI,26.55%,0.0%,0.98%,25.75%,23.2%,$-0.63
isaiah collier,PG/G/UTIL,UTA,25.41%,0.0%,0.99%,6.88%,7.2%,$-0.68
keldon johnson,PF/SF/F/UTIL,SAS,25.09%,0.0%,0.96%,5.13%,4.2%,$-0.7
julian champagnie,SF/SG/G/F/UTIL,SAS,25.65%,0.0%,0.97%,13.84%,9.7%,$-0.72
andre jackson jr.,SF/SG/G/F/UTIL,MIL,26.56%,0.0%,0.99%,0.13%,0.1%,$-0.72
amen thompson,SF/SG/G/F/UTIL,HOU,25.38%,0.0%,0.95%,30.13%,22.2%,$-0.74
