Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
trae young,PG/G/UTIL,ATL,31.89%,0.01%,1.49%,16.4%,17.31%,$0.67
anthony edwards,SG/G/UTIL,MIN,30.86%,0.01%,1.45%,15.08%,13.39%,$0.61
russell westbrook,PG/G/UTIL,DEN,28.15%,0.01%,1.3%,14.52%,14.93%,$0.17
rudy gobert,C/UTIL,MIN,28.52%,0.01%,1.27%,5.8%,10.94%,$0.15
kyle kuzma,PF/F/UTIL,WAS,26.36%,0.01%,1.21%,4.86%,5.79%,$0.11
onyeka okongwu,C/UTIL,ATL,26.01%,0.01%,1.26%,6.5%,12.82%,$0.1
deandre jordan,C/UTIL,DEN,25.08%,0.01%,1.14%,0.5%,0.99%,$0.06
lebron james,PF/F/UTIL,LAL,26.44%,0.01%,1.24%,7.57%,8.38%,$0.05
naz reid,C/PF/F/UTIL,MIN,28.46%,0.01%,1.23%,39.64%,37.75%,$-0.02
jonas valanciunas,C/UTIL,WAS,23.78%,0.01%,1.2%,3.57%,6.73%,$-0.02
trayce jackson-davis,C/UTIL,GSW,26.04%,0.01%,1.21%,6.51%,11.85%,$-0.06
dereck lively ii,C/UTIL,DAL,27.36%,0.01%,1.21%,11.91%,23.0%,$-0.06
anthony davis,C/UTIL,LAL,28.75%,0.01%,1.18%,14.14%,15.83%,$-0.12
jalen green,SG/G/UTIL,HOU,26.86%,0.01%,1.17%,8.85%,10.03%,$-0.12
jamal murray,PG/SG/G/UTIL,DEN,28.27%,0.01%,1.15%,16.71%,11.21%,$-0.19
naji marshall,PF/SF/F/UTIL,DAL,27.22%,0.01%,1.17%,34.44%,34.14%,$-0.2
alperen sengun,C/UTIL,HOU,27.27%,0.01%,1.14%,11.48%,17.16%,$-0.21
andrew wiggins,PF/SF/F/UTIL,GSW,26.82%,0.01%,1.15%,17.39%,14.59%,$-0.22
lauri markkanen,PF/SF/F/UTIL,UTA,28.69%,0.0%,1.14%,33.01%,31.24%,$-0.23
walker kessler,C/UTIL,UTA,26.46%,0.01%,1.12%,6.19%,10.02%,$-0.24
collin sexton,PG/SG/G/UTIL,UTA,28.23%,0.01%,1.13%,56.29%,56.7%,$-0.26
michael porter jr.,PF/SF/F/UTIL,DEN,27.45%,0.01%,1.13%,24.32%,21.21%,$-0.27
stephen curry,PG/G/UTIL,GSW,26.57%,0.01%,1.12%,9.34%,8.21%,$-0.27
pj washington,PF/F/UTIL,DAL,26.22%,0.01%,1.05%,1.48%,1.59%,$-0.36
jaylen brown,SF/SG/G/F/UTIL,BOS,26.1%,0.01%,1.06%,4.12%,3.64%,$-0.4
donte divincenzo,PG/SG/G/UTIL,MIN,25.21%,0.01%,1.07%,13.86%,11.61%,$-0.46
bam adebayo,C/UTIL,MIA,25.34%,0.01%,1.0%,3.37%,4.08%,$-0.46
amen thompson,SF/SG/G/F/UTIL,HOU,27.0%,0.0%,1.05%,59.19%,51.16%,$-0.5
julius randle,C/PF/F/UTIL,MIN,25.07%,0.01%,1.02%,5.68%,3.6%,$-0.5
kristaps porzingis,C/UTIL,BOS,25.46%,0.01%,1.0%,3.16%,4.86%,$-0.53
christian braun,SF/SG/G/F/UTIL,DEN,25.59%,0.0%,1.03%,28.65%,21.25%,$-0.59
mark williams,C/UTIL,CHA,24.82%,0.01%,1.02%,10.75%,20.21%,$-0.59
kevon looney,C/UTIL,GSW,30.28%,0.01%,0.89%,0.03%,0.1%,$-0.64
dario saric,C/UTIL,DEN,25.07%,0.0%,0.99%,8.08%,18.32%,$-0.68
austin reaves,PG/G/UTIL,LAL,25.16%,0.01%,0.91%,3.12%,2.69%,$-0.71
jaden mcdaniels,SF/F/UTIL,MIN,24.23%,0.01%,0.98%,7.11%,9.93%,$-0.71
isaiah collier,PG/G/UTIL,UTA,23.83%,0.0%,0.97%,9.37%,11.57%,$-0.73
clint capela,C/UTIL,ATL,22.76%,0.01%,0.91%,2.68%,5.64%,$-0.74
zaccharie risacher,PF/SF/F/UTIL,ATL,23.87%,0.0%,0.97%,14.1%,12.66%,$-0.76
