Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,
4600395239,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Mike Conley (37250894),Amen Thompson (37250634),Jaden McDaniels (37250844),Naz Reid (37250804),Nikola Jokic (37250502),Jalen Green (37250653),Andrew Wiggins (37250682),Collin Sexton (37250660),
4600395240,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Russell Westbrook (37250639),Jalen Green (37250653),Moses Moody (37250987),Naz Reid (37250804),Jonas Valanciunas (37250715),Trae Young (37250516),Naji Marshall (37250810),Alperen Sengun (37250526),
4600395241,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Trae Young (37250516),Collin Sexton (37250660),Amen Thompson (37250634),Andrew Wiggins (37250682),Alperen Sengun (37250526),Buddy Hield (37250942),Naji Marshall (37250810),Brice Sensabaugh (37250850),
4600395242,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Mike Conley (37250894),Jalen Green (37250653),Amen Thompson (37250634),Jayson Tatum (37250509),Alperen Sengun (37250526),Christian Braun (37250799),Naji Marshall (37250810),Naz Reid (37250804),
