Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
royce o'neale,PF/SF/F/UTIL,PHX,23.07%,0.0%,0.75%,0.43%,0.4%,$-1.21
rudy gobert,C/UTIL,MIN,24.15%,0.0%,0.74%,7.84%,11.4%,$-1.24
rui hachimura,PF/SF/F/UTIL,LAL,23.24%,0.0%,0.78%,3.31%,2.8%,$-1.25
bradley beal,SF/SG/G/F/UTIL,PHX,23.26%,0.0%,0.73%,3.17%,1.9%,$-1.25
jock landale,C/UTIL,HOU,24.75%,0.0%,0.73%,0.11%,0.1%,$-1.33
anthony edwards,PG/SG/G/UTIL,MIN,23.64%,0.0%,0.7%,10.73%,7.2%,$-1.34
walker kessler,C/UTIL,UTA,22.76%,0.0%,0.73%,9.25%,15.8%,$-1.35
lebron james,C/PF/F/UTIL,LAL,23.95%,0.0%,0.66%,27.45%,20.1%,$-1.36
coby white,PG/SG/G/UTIL,CHI,23.23%,0.0%,0.7%,26.07%,22.2%,$-1.36
drew eubanks,C/UTIL,UTA,22.39%,0.01%,0.64%,0.06%,0.1%,$-1.42
josh richardson,PG/SG/G/UTIL,MIA,21.53%,0.0%,0.63%,0.13%,0.1%,$-1.42
fred vanvleet,PG/G/UTIL,HOU,22.8%,0.0%,0.66%,5.56%,5.9%,$-1.44
julius randle,C/PF/F/UTIL,MIN,22.57%,0.0%,0.67%,8.26%,5.5%,$-1.47
brice sensabaugh,PF/SF/F/UTIL,UTA,22.9%,0.0%,0.7%,1.94%,1.5%,$-1.49
zach lavine,SF/SG/G/F/UTIL,CHI,23.27%,0.0%,0.64%,39.3%,28.7%,$-1.5
sandro mamukelashvili,C/PF/F/UTIL,SAS,23.6%,0.0%,0.72%,0.14%,0.1%,$-1.57
haywood highsmith,PF/SF/F/UTIL,MIA,22.21%,0.0%,0.64%,0.69%,0.6%,$-1.58
daishen nix,PG/G/UTIL,MIN,23.76%,0.0%,0.61%,0.07%,0.1%,$-1.59
bilal coulibaly,SF/F/UTIL,WAS,22.28%,0.0%,0.64%,17.41%,21.8%,$-1.61
johnny juzang,SF/SG/G/F/UTIL,UTA,22.94%,0.0%,0.71%,0.12%,0.1%,$-1.65
alec burks,PG/SG/G/UTIL,MIA,20.94%,0.0%,0.65%,0.15%,0.1%,$-1.72
malaki branham,SF/SG/G/F/UTIL,SAS,21.86%,0.0%,0.57%,0.68%,0.4%,$-1.78
cody williams,SF/F/UTIL,UTA,19.8%,0.0%,0.58%,0.11%,0.1%,$-1.89
torrey craig,PF/F/UTIL,CHI,19.73%,0.0%,0.54%,0.1%,0.1%,$-2.01
reed sheppard,PG/SG/G/UTIL,HOU,18.81%,0.0%,0.45%,0.15%,0.1%,$-2.05
blake wesley,PG/G/UTIL,SAS,20.28%,0.0%,0.46%,0.12%,0.1%,$-2.13
max christie,SF/F/UTIL,LAL,16.48%,0.0%,0.42%,0.11%,0.1%,$-2.14
gabe vincent,PG/SG/G/UTIL,LAL,16.91%,0.0%,0.43%,0.17%,0.1%,$-2.27
delon wright,PG/G/UTIL,MIL,17.44%,0.0%,0.39%,0.11%,0.1%,$-2.33
oso ighodaro,C/PF/F/UTIL,PHX,18.12%,0.0%,0.45%,0.15%,0.1%,$-2.34
cam reddish,SG/G/UTIL,LAL,20.96%,0.0%,0.41%,0.06%,0.1%,$-2.36
joe ingles,PF/F/UTIL,MIN,19.29%,0.0%,0.36%,0.1%,0.1%,$-2.36
zach collins,C/UTIL,SAS,16.24%,0.0%,0.39%,0.05%,0.1%,$-2.39
jaylen clark,SG/G/UTIL,MIN,17.44%,0.0%,0.32%,0.1%,0.1%,$-2.45
monte morris,PG/G/UTIL,PHX,17.79%,0.0%,0.34%,0.08%,0.1%,$-2.5
johnny davis,SF/SG/G/F/UTIL,WAS,16.24%,0.0%,0.33%,0.11%,0.1%,$-2.54
jared butler,PG/G/UTIL,WAS,18.07%,0.0%,0.35%,0.11%,0.1%,$-2.55
chris duarte,SF/SG/G/F/UTIL,CHI,16.73%,0.0%,0.33%,0.16%,0.1%,$-2.55
patty mills,PG/G/UTIL,UTA,18.28%,0.0%,0.3%,0.15%,0.1%,$-2.56
aaron holiday,PG/G/UTIL,HOU,15.68%,0.0%,0.24%,0.08%,0.1%,$-2.56
jevon carter,PG/SG/G/UTIL,CHI,16.85%,0.0%,0.27%,0.17%,0.1%,$-2.6
ryan dunn,PF/F/UTIL,PHX,16.68%,0.0%,0.31%,0.12%,0.1%,$-2.6
maxwell lewis,PF/F/UTIL,LAL,15.58%,0.0%,0.31%,0.12%,0.1%,$-2.61
kel'el ware,C/UTIL,MIA,14.67%,0.0%,0.26%,0.07%,0.1%,$-2.62
bronny james,PG/G/UTIL,LAL,15.52%,0.0%,0.26%,0.1%,0.1%,$-2.65
christian koloko,C/UTIL,LAL,16.18%,0.0%,0.25%,0.07%,0.1%,$-2.68
jack mcveigh,SG/G/UTIL,HOU,15.62%,0.0%,0.23%,0.11%,0.1%,$-2.73
jae'sean tate,PF/SF/F/UTIL,HOU,15.9%,0.0%,0.25%,0.12%,0.1%,$-2.73
taylor hendricks,PF/F/UTIL,UTA,16.08%,0.0%,0.24%,0.08%,0.1%,$-2.76
josh okogie,SF/F/UTIL,PHX,16.19%,0.0%,0.25%,0.07%,0.1%,$-2.76
quincy olivari,PG/G/UTIL,LAL,15.34%,0.0%,0.24%,0.12%,0.1%,$-2.77
harrison ingram,PF/F/UTIL,SAS,15.29%,0.0%,0.21%,0.12%,0.1%,$-2.78
julian phillips,PF/F/UTIL,CHI,14.65%,0.0%,0.22%,0.11%,0.1%,$-2.79
