Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
trae young,PG/G/UTIL,ATL,31.82%,0.01%,1.5%,16.6%,17.31%,$0.72
anthony edwards,SG/G/UTIL,MIN,30.79%,0.01%,1.44%,14.59%,13.39%,$0.58
russell westbrook,PG/G/UTIL,DEN,28.21%,0.01%,1.31%,14.09%,14.93%,$0.21
onyeka okongwu,C/UTIL,ATL,25.93%,0.01%,1.24%,6.15%,12.82%,$0.11
kyle kuzma,PF/F/UTIL,WAS,26.42%,0.01%,1.23%,4.82%,5.79%,$0.11
trayce jackson-davis,C/UTIL,GSW,26.47%,0.01%,1.25%,6.06%,11.85%,$0.09
rudy gobert,C/UTIL,MIN,28.23%,0.01%,1.25%,5.97%,10.94%,$0.09
naz reid,C/PF/F/UTIL,MIN,28.41%,0.01%,1.23%,39.01%,37.75%,$-0.02
dereck lively ii,C/UTIL,DAL,27.27%,0.01%,1.23%,12.02%,23.0%,$-0.02
lebron james,PF/F/UTIL,LAL,25.96%,0.01%,1.21%,7.29%,8.38%,$-0.03
jalen green,SG/G/UTIL,HOU,27.1%,0.01%,1.19%,8.73%,10.03%,$-0.05
jonas valanciunas,C/UTIL,WAS,23.44%,0.01%,1.17%,3.67%,6.73%,$-0.06
jamal murray,PG/SG/G/UTIL,DEN,28.49%,0.01%,1.2%,16.7%,11.21%,$-0.07
anthony davis,C/UTIL,LAL,28.44%,0.01%,1.18%,13.83%,15.83%,$-0.14
walker kessler,C/UTIL,UTA,26.43%,0.01%,1.14%,6.02%,10.02%,$-0.18
andrew wiggins,PF/SF/F/UTIL,GSW,27.07%,0.01%,1.17%,17.29%,14.59%,$-0.18
naji marshall,PF/SF/F/UTIL,DAL,27.25%,0.01%,1.17%,34.6%,34.14%,$-0.2
alperen sengun,C/UTIL,HOU,27.42%,0.01%,1.14%,11.56%,17.16%,$-0.24
lauri markkanen,PF/SF/F/UTIL,UTA,28.56%,0.0%,1.12%,34.21%,31.24%,$-0.26
michael porter jr.,PF/SF/F/UTIL,DEN,27.54%,0.01%,1.13%,25.34%,21.21%,$-0.27
collin sexton,PG/SG/G/UTIL,UTA,27.97%,0.0%,1.11%,56.62%,56.7%,$-0.3
deandre jordan,C/UTIL,DEN,23.27%,0.01%,1.07%,0.44%,0.99%,$-0.32
stephen curry,PG/G/UTIL,GSW,25.97%,0.01%,1.08%,9.87%,8.21%,$-0.37
jaylen brown,SF/SG/G/F/UTIL,BOS,25.82%,0.01%,1.04%,4.3%,3.64%,$-0.43
donte divincenzo,PG/SG/G/UTIL,MIN,25.09%,0.01%,1.08%,13.89%,11.61%,$-0.44
pj washington,PF/F/UTIL,DAL,25.85%,0.01%,1.02%,1.61%,1.59%,$-0.44
amen thompson,SF/SG/G/F/UTIL,HOU,27.04%,0.0%,1.05%,59.52%,51.16%,$-0.5
bam adebayo,C/UTIL,MIA,25.1%,0.01%,0.99%,3.36%,4.08%,$-0.5
clint capela,C/UTIL,ATL,23.96%,0.01%,0.98%,2.97%,5.64%,$-0.57
mark williams,C/UTIL,CHA,25.38%,0.0%,1.02%,11.46%,20.21%,$-0.58
christian braun,SF/SG/G/F/UTIL,DEN,25.62%,0.0%,1.03%,28.58%,21.25%,$-0.6
dennis schroder,PG/SG/G/UTIL,GSW,24.3%,0.01%,0.99%,11.66%,9.4%,$-0.66
zaccharie risacher,PF/SF/F/UTIL,ATL,24.25%,0.0%,1.0%,13.99%,12.66%,$-0.66
kristaps porzingis,C/UTIL,BOS,24.18%,0.01%,0.95%,3.18%,4.86%,$-0.69
terry rozier,PG/SG/G/UTIL,MIA,23.91%,0.01%,0.97%,5.27%,4.04%,$-0.71
julius randle,C/PF/F/UTIL,MIN,23.75%,0.01%,0.95%,5.3%,3.6%,$-0.72
dario saric,C/UTIL,DEN,23.99%,0.0%,0.96%,8.03%,18.32%,$-0.75
austin reaves,PG/G/UTIL,LAL,24.74%,0.0%,0.93%,2.96%,2.69%,$-0.76
mike conley,PG/G/UTIL,MIN,23.48%,0.0%,0.97%,16.84%,22.28%,$-0.77
isaiah collier,PG/G/UTIL,UTA,23.84%,0.0%,0.96%,8.99%,11.57%,$-0.77
jaden mcdaniels,SF/F/UTIL,MIN,23.79%,0.0%,0.96%,6.95%,9.93%,$-0.78
jaime jaquez jr.,PF/SF/F/UTIL,MIA,23.47%,0.0%,0.89%,5.54%,4.83%,$-0.93
fred vanvleet,PG/G/UTIL,HOU,25.52%,0.0%,0.84%,7.56%,7.2%,$-0.99
haywood highsmith,PF/SF/F/UTIL,MIA,27.26%,0.0%,0.85%,0.06%,0.06%,$-1.03
jayson tatum,PF/SF/F/UTIL,BOS,25.38%,0.0%,0.81%,29.76%,24.21%,$-1.04
draymond green,C/PF/F/UTIL,GSW,23.09%,0.0%,0.84%,4.6%,3.55%,$-1.04
quentin grimes,SF/SG/G/F/UTIL,DAL,22.44%,0.0%,0.84%,6.24%,3.83%,$-1.08
de'andre hunter,PF/SF/F/UTIL,ATL,22.73%,0.0%,0.8%,3.93%,2.9%,$-1.1
kevin durant,C/PF/F/UTIL,PHX,22.62%,0.0%,0.77%,4.96%,3.39%,$-1.18
devin booker,PG/SG/G/UTIL,PHX,22.47%,0.0%,0.77%,3.64%,2.5%,$-1.19
kyle filipowski,C/UTIL,UTA,22.47%,0.0%,0.79%,4.71%,10.23%,$-1.21
kyshawn george,PF/SF/F/UTIL,WAS,22.29%,0.0%,0.81%,8.7%,7.97%,$-1.23
johnny juzang,SF/SG/G/F/UTIL,UTA,21.65%,0.0%,0.79%,5.32%,3.81%,$-1.23
kyle anderson,PF/F/UTIL,GSW,21.16%,0.0%,0.79%,5.53%,7.31%,$-1.24
moses moody,SF/SG/G/F/UTIL,GSW,20.73%,0.0%,0.74%,0.31%,0.31%,$-1.27
buddy hield,SG/G/UTIL,GSW,21.02%,0.0%,0.78%,4.06%,5.26%,$-1.27
julian strawther,SF/SG/G/F/UTIL,DEN,21.27%,0.0%,0.78%,12.68%,9.27%,$-1.29
jrue holiday,PG/G/UTIL,BOS,22.27%,0.0%,0.76%,4.47%,5.59%,$-1.31
drew eubanks,C/UTIL,UTA,22.44%,0.0%,0.73%,0.1%,0.14%,$-1.33
jaden hardy,PG/SG/G/UTIL,DAL,21.24%,0.0%,0.76%,14.28%,11.67%,$-1.35
dillon brooks,PF/SF/F/UTIL,HOU,22.66%,0.0%,0.75%,6.4%,5.61%,$-1.36
vit krejci,PG/SG/G/UTIL,ATL,21.11%,0.0%,0.72%,0.5%,0.47%,$-1.36
klay thompson,SF/SG/G/F/UTIL,DAL,21.69%,0.0%,0.72%,4.12%,2.61%,$-1.37
jared butler,PG/G/UTIL,WAS,19.43%,0.0%,0.71%,0.07%,0.1%,$-1.41
bilal coulibaly,SF/F/UTIL,WAS,22.92%,0.0%,0.68%,0.17%,0.23%,$-1.46
brandon boston jr.,SF/SG/G/F/UTIL,NOP,20.14%,0.0%,0.7%,3.94%,2.81%,$-1.49
cam whitmore,PF/SF/F/UTIL,HOU,19.88%,0.0%,0.7%,4.62%,4.01%,$-1.49
bogdan bogdanovic,SF/SG/G/F/UTIL,ATL,20.49%,0.0%,0.7%,5.11%,3.49%,$-1.49
lindy waters iii,SF/SG/G/F/UTIL,GSW,20.76%,0.0%,0.69%,0.55%,0.48%,$-1.52
tidjane salaun,PF/F/UTIL,CHA,20.87%,0.0%,0.63%,0.05%,0.1%,$-1.56
payton pritchard,PG/SG/G/UTIL,BOS,20.68%,0.0%,0.66%,4.11%,3.17%,$-1.58
alexandre sarr,C/PF/F/UTIL,WAS,20.59%,0.0%,0.64%,2.5%,1.88%,$-1.59
peyton watson,PF/F/UTIL,DEN,19.93%,0.0%,0.67%,0.76%,1.06%,$-1.59
ryan dunn,PF/SF/F/UTIL,PHX,21.12%,0.0%,0.64%,2.72%,2.34%,$-1.64
al horford,C/PF/F/UTIL,BOS,21.13%,0.0%,0.64%,2.46%,2.68%,$-1.65
max christie,SF/SG/G/F/UTIL,LAL,20.41%,0.0%,0.67%,3.36%,2.4%,$-1.65
