Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Malcolm Brogdon,PG/SG/G/UTIL,WAS,28.294464754175348,7.668332119301522,26.31%,1.01%,33.06%,32.7%,$6.150662112861608e+189,31
Carlton Carrington,PG/SG/G/UTIL,WAS,20.191500315590275,6.313267270406271,15.49%,0.16%,2.63%,12.0%,$-2.79,31
Zach LaVine,SF/SG/G/F/UTIL,CHI,24.60993923611111,8.240662568758069,8.75%,0.0%,21.91%,28.7%,$-3.3573270732702495e+249,31
Kyle Kuzma,PF/F/UTIL,WAS,52.85640635898004,9.378432450244487,48.73%,1.96%,44.84%,28.3%,$2.81,31
Nikola Vucevic,C/UTIL,CHI,37.97165798611111,10.515364543488232,19.14%,0.14%,27.23%,14.8%,$7.467531746280013e+189,31
Josh Giddey,PG/G/UTIL,CHI,34.604427083333334,10.36703584983959,27.95%,1.23%,24.97%,15.0%,$-6.651887793280507e+157,31
Alexandre Sarr,C/PF/F/UTIL,WAS,31.051200762304685,8.159157403806098,26.12%,1.4%,45.29%,57.2%,$-8.120891606905626e+248,31
Amen Thompson,SF/SG/G/F/UTIL,HOU,24.93575436,10.85861649,28.84%,1.11%,25.91%,22.2%,$1.4195105398562553e+249,48
Corey Kispert,SF/SG/G/F/UTIL,WAS,19.888992450065103,5.877136963234907,25.77%,0.83%,17.19%,31.7%,$2.365804414790049e+190,31
Collin Sexton,PG/SG/G/UTIL,UTA,31.63460136,11.65845335,31.3%,1.4%,26.71%,28.1%,$1.3769943125299727e+249,48
Coby White,PG/SG/G/UTIL,CHI,22.32717013888889,7.911047554766671,10.15%,0.01%,13.51%,22.2%,$-4.693683138871458e+244,31
Chris Paul,PG/G/UTIL,SAS,30.78014528,10.48813923,29.36%,0.83%,8.67%,11.2%,$-1.45,48
Pelle Larsson,SF/SG/G/F/UTIL,MIA,4.309518229166667e-09,1.5052501838911793e-09,1.93%,0.0%,0.44%,0.1%,$-3.21,43
Isaiah Collier,PG/G/UTIL,UTA,16.67255684,6.816532157,27.32%,0.98%,6.9%,7.2%,$-5.330364940242838e+249,48
Bilal Coulibaly,SF/F/UTIL,WAS,17.775051278836806,5.883753402132208,12.01%,0.12%,22.12%,21.8%,$-1.6627555246052276e+249,31
Naz Reid,C/PF/F/UTIL,MIN,25.93838703,10.68404693,24.79%,0.7%,2.2%,3.2%,$-2.11,48
Julian Champagnie,SF/SG/G/F/UTIL,SAS,24.28479613,7.695349526,30.49%,1.3%,12.2%,9.7%,$-5.197676984110935e+244,48
Harrison Barnes,PF/SF/F/UTIL,SAS,21.90986005,7.006945353,25.74%,0.9%,7.49%,9.7%,$-0.13,48
Jabari Smith Jr.,C/PF/F/UTIL,HOU,25.2,8.81736933,25.47%,0.96%,12.69%,18.1%,$-1.82,48
Stephon Castle,SG/G/UTIL,SAS,27.9,8.632002922,34.76%,1.73%,11.91%,15.6%,$1.3946065339900438e+158,48
Bobby Portis,C/PF/F/UTIL,MIL,30.341443275334207,14.707134442990405,27.9%,0.91%,59.94%,2.7%,$-6.136055737016279e+248,43
Keyonte George,PG/G/UTIL,UTA,31.3,9.971637947,36.98%,2.25%,11.6%,16.7%,$4.61,48
Haywood Highsmith,PF/SF/F/UTIL,MIA,13.742988099244792,5.431072339241026,3.59%,0.0%,0.24%,0.6%,$8.472537060466865e+191,43
Ayo Dosunmu,PG/SG/G/UTIL,CHI,16.498106059006076,6.2256585799598305,15.79%,0.1%,15.05%,23.2%,$-4.2133992828133317e+244,31
Duncan Robinson,SG/G/UTIL,MIA,16.128061318185765,7.33628569080437,12.35%,0.35%,1.04%,0.6%,$-3.0,43
Jonas Valanciunas,C/UTIL,WAS,15.459722222222219,11.729502522823706,15.55%,0.02%,17.79%,16.5%,$2.067426536687779e+249,31
Brook Lopez,C/UTIL,MIL,27.28559027777778,8.199071707369948,20.81%,0.2%,13.91%,0.8%,$-2.26,43
Rudy Gobert,C/UTIL,MIN,32.82337778,9.747949677,28.93%,0.95%,5.03%,11.4%,$-7.312031428961348e+249,48
John Collins,C/PF/F/UTIL,UTA,40.06105575,13.75912704,27.4%,1.24%,13.84%,17.5%,$-4.581767283695132e+244,48
Tyler Herro,PG/SG/G/UTIL,MIA,31.7796875,10.448919985726086,12.36%,0.09%,9.14%,10.1%,$2.2247362084376884e+190,43
Alec Burks,PG/SG/G/UTIL,MIA,10.272222222222222,6.2779131705318205,8.03%,0.27%,1.86%,0.1%,$1.0932305884473372e+191,43
Kyshawn George,PF/SF/F/UTIL,WAS,15.627603388828122,5.968282006902927,24.3%,0.64%,47.81%,51.1%,$-7.692850468035051e+248,31
Devin Booker,PG/SG/G/UTIL,PHX,49.92280507,13.96425477,34.83%,1.8%,14.89%,10.1%,$1.1154979059651726e+158,48
Dillon Brooks,SF/F/UTIL,HOU,19.9,6.583549177,24.98%,1.46%,3.31%,3.6%,$-1.1111636884494133e+250,48
