Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,
4600395239,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Trae Young (37250516),Amen Thompson (37250634),Christian Braun (37250799),Lauri Markkanen (37250598),Bam Adebayo (37250568),Jalen Green (37250653),Moses Moody (37250987),Kyle Anderson (37250999),
4600395240,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Terry Rozier (37250743),Jalen Green (37250653),Naji Marshall (37250810),Draymond Green (37250692),Jonas Valanciunas (37250715),Brandon Boston Jr. (37250948),Jayson Tatum (37250509),Alperen Sengun (37250526),
4600395241,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Dennis Schroder (37250733),Donte DiVincenzo (37250769),Amen Thompson (37250634),Zion Williamson (37250536),Alperen Sengun (37250526),Payton Pritchard (37250686),Naji Marshall (37250810),Naz Reid (37250804),
4600395242,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Jrue Holiday (37250740),Jalen Green (37250653),Amen Thompson (37250634),Dorian Finney-Smith (37250888),Alperen Sengun (37250526),CJ McCollum (37250581),Naz Reid (37250804),Collin Sexton (37250660),
