Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,
4600395239,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Stephen Curry (37250549),Amen Thompson (37250634),Jaime Jaquez Jr. (37250755),Lauri Markkanen (37250598),Dereck Lively II (37250747),Jalen Green (37250653),Zaccharie Risacher (37250829),Andrew Wiggins (37250682),
4600395240,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Mike Conley (37250894),Jalen Green (37250653),Jaden McDaniels (37250844),Andrew Wiggins (37250682),Jonas Valanciunas (37250715),Terry Rozier (37250743),LeBron James (37250513),Alperen Sengun (37250526),
4600395241,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Isaiah Collier (37250869),Vit Krejci (37251012),Amen Thompson (37250634),Andrew Wiggins (37250682),Alperen Sengun (37250526),Anthony Edwards (37250565),Julius Randle (37250594),Donte DiVincenzo (37250769),
4600395242,NBA $70K Four Point Play [20 Entry Max],172787608,$4,Dennis Schroder (37250733),Jalen Green (37250653),Amen Thompson (37250634),Naz Reid (37250804),Alperen Sengun (37250526),Brandon Boston Jr. (37250948),Jaylen Brown (37250560),Andrew Wiggins (37250682),
