Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
bobby portis,C/PF/F/UTIL,MIL,36.47%,0.03%,2.94%,3.68%,2.7%,$5.52
victor wembanyama,C/UTIL,SAS,41.21%,0.01%,2.78%,11.84%,13.1%,$3.55
damian lillard,PG/G/UTIL,MIL,33.4%,0.01%,1.86%,5.79%,4.9%,$1.92
gary trent jr.,SF/SG/G/F/UTIL,MIL,29.51%,0.01%,1.46%,1.65%,1.1%,$0.87
jonas valanciunas,C/UTIL,WAS,28.14%,0.01%,1.48%,9.57%,16.5%,$0.72
josh giddey,PG/G/UTIL,CHI,29.88%,0.01%,1.43%,12.9%,15.0%,$0.56
nickeil alexander-walker,SF/SG/G/F/UTIL,MIN,29.05%,0.01%,1.38%,0.73%,0.4%,$0.47
taurean prince,PF/SF/F/UTIL,MIL,28.56%,0.01%,1.28%,0.21%,0.2%,$0.3
keyonte george,PG/G/UTIL,UTA,29.07%,0.01%,1.31%,13.24%,16.7%,$0.25
malcolm brogdon,PG/SG/G/UTIL,WAS,29.16%,0.01%,1.22%,34.52%,32.7%,$0.0
anthony davis,C/UTIL,LAL,28.85%,0.01%,1.22%,8.88%,10.8%,$0.0
devin booker,PG/SG/G/UTIL,PHX,29.66%,0.01%,1.16%,14.76%,10.1%,$-0.04
dalen terry,SF/SG/G/F/UTIL,CHI,26.56%,0.01%,1.19%,0.3%,0.2%,$-0.04
kyle kuzma,PF/F/UTIL,WAS,28.69%,0.01%,1.18%,22.86%,28.3%,$-0.1
tyus jones,PG/G/UTIL,PHX,27.17%,0.01%,1.14%,4.62%,5.5%,$-0.1
tari eason,PF/SF/F/UTIL,HOU,25.19%,0.01%,1.12%,3.57%,3.0%,$-0.14
stephon castle,SG/G/UTIL,SAS,27.39%,0.01%,1.13%,11.75%,15.6%,$-0.23
johnny juzang,SF/SG/G/F/UTIL,UTA,25.86%,0.01%,1.13%,0.16%,0.1%,$-0.24
andre jackson jr.,SF/SG/G/F/UTIL,MIL,27.13%,0.01%,1.14%,0.18%,0.1%,$-0.26
naz reid,C/PF/F/UTIL,MIN,25.54%,0.01%,1.07%,4.18%,3.2%,$-0.31
brook lopez,C/UTIL,MIL,27.81%,0.01%,1.0%,0.53%,0.8%,$-0.35
jusuf nurkic,C/UTIL,PHX,24.49%,0.01%,0.92%,0.14%,0.2%,$-0.37
alexandre sarr,C/PF/F/UTIL,WAS,27.75%,0.0%,1.07%,55.64%,57.2%,$-0.39
kyshawn george,PF/SF/F/UTIL,WAS,27.1%,0.0%,1.08%,49.85%,51.1%,$-0.4
alperen sengun,C/UTIL,HOU,24.05%,0.01%,1.03%,3.53%,3.8%,$-0.4
jabari smith jr.,C/PF/F/UTIL,HOU,26.67%,0.0%,1.07%,21.07%,18.1%,$-0.43
john collins,C/PF/F/UTIL,UTA,27.41%,0.0%,1.03%,23.24%,17.5%,$-0.48
collin sexton,PG/SG/G/UTIL,UTA,26.94%,0.0%,1.03%,30.57%,28.1%,$-0.52
d'angelo russell,PG/G/UTIL,LAL,24.79%,0.01%,1.0%,2.52%,3.0%,$-0.56
tre jones,PG/G/UTIL,SAS,24.83%,0.01%,0.98%,1.69%,1.7%,$-0.59
