Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
trae young,PG/G/UTIL,ATL,31.94%,0.01%,1.51%,16.53%,17.31%,$0.74
anthony edwards,SG/G/UTIL,MIN,30.99%,0.01%,1.46%,14.52%,13.39%,$0.63
onyeka okongwu,C/UTIL,ATL,26.84%,0.01%,1.31%,6.3%,12.82%,$0.25
russell westbrook,PG/G/UTIL,DEN,27.76%,0.01%,1.28%,14.21%,14.93%,$0.14
kyle kuzma,PF/F/UTIL,WAS,26.63%,0.01%,1.24%,4.77%,5.79%,$0.14
trayce jackson-davis,C/UTIL,GSW,26.52%,0.01%,1.26%,5.98%,11.85%,$0.12
rudy gobert,C/UTIL,MIN,28.6%,0.01%,1.25%,5.99%,10.94%,$0.09
dereck lively ii,C/UTIL,DAL,27.56%,0.01%,1.25%,11.82%,23.0%,$0.04
jalen green,SG/G/UTIL,HOU,27.14%,0.01%,1.2%,9.37%,10.03%,$-0.04
jonas valanciunas,C/UTIL,WAS,23.43%,0.01%,1.17%,3.57%,6.73%,$-0.04
naz reid,C/PF/F/UTIL,MIN,28.36%,0.01%,1.22%,39.93%,37.75%,$-0.06
lebron james,PF/F/UTIL,LAL,26.14%,0.01%,1.18%,7.8%,8.38%,$-0.11
anthony davis,C/UTIL,LAL,28.32%,0.01%,1.18%,14.11%,15.83%,$-0.12
naji marshall,PF/SF/F/UTIL,DAL,27.24%,0.01%,1.19%,34.75%,34.14%,$-0.16
alperen sengun,C/UTIL,HOU,27.83%,0.01%,1.17%,11.32%,17.16%,$-0.16
walker kessler,C/UTIL,UTA,27.05%,0.01%,1.15%,5.97%,10.02%,$-0.16
jamal murray,PG/SG/G/UTIL,DEN,28.28%,0.01%,1.16%,17.11%,11.21%,$-0.17
deandre jordan,C/UTIL,DEN,23.8%,0.01%,1.08%,0.49%,0.99%,$-0.18
andrew wiggins,PF/SF/F/UTIL,GSW,27.1%,0.01%,1.15%,17.43%,14.59%,$-0.22
lauri markkanen,PF/SF/F/UTIL,UTA,28.63%,0.0%,1.13%,33.3%,31.24%,$-0.25
collin sexton,PG/SG/G/UTIL,UTA,28.13%,0.01%,1.12%,55.9%,56.7%,$-0.27
drew eubanks,C/UTIL,UTA,25.3%,0.01%,1.03%,0.06%,0.14%,$-0.28
michael porter jr.,PF/SF/F/UTIL,DEN,27.31%,0.01%,1.13%,24.46%,21.21%,$-0.29
stephen curry,PG/G/UTIL,GSW,26.47%,0.01%,1.1%,9.75%,8.21%,$-0.32
donte divincenzo,PG/SG/G/UTIL,MIN,25.6%,0.01%,1.09%,13.99%,11.61%,$-0.41
amen thompson,SF/SG/G/F/UTIL,HOU,27.1%,0.0%,1.05%,59.34%,51.16%,$-0.49
pj washington,PF/F/UTIL,DAL,25.59%,0.01%,0.98%,1.44%,1.59%,$-0.53
jaylen brown,SF/SG/G/F/UTIL,BOS,25.2%,0.01%,0.99%,4.17%,3.64%,$-0.57
bam adebayo,C/UTIL,MIA,24.98%,0.01%,0.97%,3.41%,4.08%,$-0.57
jaden mcdaniels,SF/F/UTIL,MIN,24.85%,0.01%,1.02%,7.1%,9.93%,$-0.59
mark williams,C/UTIL,CHA,24.91%,0.0%,1.0%,11.45%,20.21%,$-0.64
zaccharie risacher,PF/SF/F/UTIL,ATL,24.38%,0.0%,1.01%,13.89%,12.66%,$-0.66
julius randle,C/PF/F/UTIL,MIN,24.13%,0.01%,0.96%,5.45%,3.6%,$-0.66
kristaps porzingis,C/UTIL,BOS,24.3%,0.01%,0.94%,3.41%,4.86%,$-0.67
christian braun,SF/SG/G/F/UTIL,DEN,25.24%,0.0%,0.99%,28.78%,21.25%,$-0.69
dennis schroder,PG/SG/G/UTIL,GSW,23.82%,0.0%,0.97%,12.05%,9.4%,$-0.75
austin reaves,PG/G/UTIL,LAL,24.95%,0.0%,0.92%,2.92%,2.69%,$-0.76
mike conley,PG/G/UTIL,MIN,23.62%,0.0%,0.97%,16.98%,22.28%,$-0.77
terry rozier,PG/SG/G/UTIL,MIA,23.76%,0.01%,0.95%,5.05%,4.04%,$-0.77
clint capela,C/UTIL,ATL,22.84%,0.01%,0.91%,3.01%,5.64%,$-0.79
jaime jaquez jr.,PF/SF/F/UTIL,MIA,24.35%,0.0%,0.93%,5.62%,4.83%,$-0.79
isaiah collier,PG/G/UTIL,UTA,23.44%,0.0%,0.96%,8.98%,11.57%,$-0.8
dario saric,C/UTIL,DEN,23.68%,0.0%,0.94%,8.49%,18.32%,$-0.81
jared butler,PG/G/UTIL,WAS,21.13%,0.01%,0.89%,0.07%,0.1%,$-0.9
kevin durant,C/PF/F/UTIL,PHX,24.23%,0.0%,0.85%,4.51%,3.39%,$-0.92
fred vanvleet,PG/G/UTIL,HOU,25.34%,0.0%,0.85%,7.45%,7.2%,$-1.0
vit krejci,PG/SG/G/UTIL,ATL,23.87%,0.0%,0.84%,0.41%,0.47%,$-1.02
jayson tatum,PF/SF/F/UTIL,BOS,25.46%,0.0%,0.82%,29.52%,24.21%,$-1.03
quentin grimes,SF/SG/G/F/UTIL,DAL,22.61%,0.0%,0.84%,5.94%,3.83%,$-1.05
de'andre hunter,PF/SF/F/UTIL,ATL,21.85%,0.0%,0.8%,3.88%,2.9%,$-1.13
jrue holiday,PG/G/UTIL,BOS,22.97%,0.0%,0.82%,4.96%,5.59%,$-1.14
devin booker,PG/SG/G/UTIL,PHX,22.47%,0.0%,0.77%,3.73%,2.5%,$-1.15
kyshawn george,PF/SF/F/UTIL,WAS,22.93%,0.0%,0.83%,8.26%,7.97%,$-1.16
draymond green,C/PF/F/UTIL,GSW,21.94%,0.0%,0.78%,4.46%,3.55%,$-1.17
kyle filipowski,C/UTIL,UTA,22.13%,0.0%,0.78%,5.11%,10.23%,$-1.24
bilal coulibaly,SF/F/UTIL,WAS,24.06%,0.0%,0.71%,0.18%,0.23%,$-1.27
kyle anderson,PF/F/UTIL,GSW,20.93%,0.0%,0.77%,5.5%,7.31%,$-1.3
moses moody,SF/SG/G/F/UTIL,GSW,20.37%,0.0%,0.76%,0.45%,0.31%,$-1.3
dillon brooks,PF/SF/F/UTIL,HOU,22.9%,0.0%,0.77%,6.9%,5.61%,$-1.31
julian strawther,SF/SG/G/F/UTIL,DEN,21.28%,0.0%,0.78%,12.81%,9.27%,$-1.32
jaden hardy,PG/SG/G/UTIL,DAL,21.13%,0.0%,0.76%,13.84%,11.67%,$-1.33
buddy hield,SG/G/UTIL,GSW,20.75%,0.0%,0.74%,4.05%,5.26%,$-1.35
johnny juzang,SF/SG/G/F/UTIL,UTA,20.59%,0.0%,0.75%,5.14%,3.81%,$-1.36
lindy waters iii,SF/SG/G/F/UTIL,GSW,20.47%,0.0%,0.74%,0.51%,0.48%,$-1.37
klay thompson,SF/SG/G/F/UTIL,DAL,21.46%,0.0%,0.7%,4.37%,2.61%,$-1.42
payton pritchard,PG/SG/G/UTIL,BOS,21.15%,0.0%,0.68%,4.35%,3.17%,$-1.52
cam whitmore,PF/SF/F/UTIL,HOU,19.26%,0.0%,0.69%,4.31%,4.01%,$-1.52
alexandre sarr,C/PF/F/UTIL,WAS,20.82%,0.0%,0.65%,2.47%,1.88%,$-1.54
max christie,SF/SG/G/F/UTIL,LAL,20.57%,0.0%,0.68%,3.51%,2.4%,$-1.59
bogdan bogdanovic,SF/SG/G/F/UTIL,ATL,19.79%,0.0%,0.67%,5.02%,3.49%,$-1.6
brandon boston jr.,SF/SG/G/F/UTIL,NOP,19.67%,0.0%,0.67%,3.8%,2.81%,$-1.6
peyton watson,PF/F/UTIL,DEN,20.23%,0.0%,0.66%,0.77%,1.06%,$-1.64
jordan hawkins,SG/G/UTIL,NOP,24.16%,0.0%,0.61%,0.05%,0.1%,$-1.67
dejounte murray,PG/G/UTIL,NOP,20.76%,0.0%,0.57%,1.63%,1.39%,$-1.71
nikola jovic,C/PF/F/UTIL,MIA,19.92%,0.0%,0.6%,1.43%,1.23%,$-1.72
ryan dunn,PF/SF/F/UTIL,PHX,20.21%,0.0%,0.62%,2.56%,2.34%,$-1.73
al horford,C/PF/F/UTIL,BOS,20.36%,0.0%,0.59%,2.29%,2.68%,$-1.78
carlton carrington,PG/SG/G/UTIL,WAS,19.91%,0.0%,0.58%,1.8%,1.44%,$-1.86
lamelo ball,PG/G/UTIL,CHA,19.28%,0.0%,0.53%,6.17%,5.87%,$-1.87
corey kispert,SF/SG/G/F/UTIL,WAS,19.13%,0.0%,0.57%,0.73%,0.54%,$-1.87
jae'sean tate,PF/SF/F/UTIL,HOU,20.25%,0.0%,0.58%,0.06%,0.1%,$-1.87
yves missi,C/UTIL,NOP,20.47%,0.0%,0.52%,1.5%,2.7%,$-1.89
dorian finney-smith,C/PF/F/UTIL,LAL,19.63%,0.0%,0.55%,1.87%,1.63%,$-1.92
dyson daniels,PG/SG/G/UTIL,ATL,19.83%,0.0%,0.52%,1.04%,0.73%,$-1.93
cj mccollum,PG/SG/G/UTIL,NOP,19.3%,0.0%,0.5%,1.77%,1.04%,$-1.96
rui hachimura,PF/SF/F/UTIL,LAL,19.81%,0.0%,0.51%,1.2%,1.15%,$-1.99
tyler herro,PG/SG/G/UTIL,MIA,19.12%,0.0%,0.47%,2.16%,1.46%,$-2.01
tyus jones,PG/G/UTIL,PHX,18.81%,0.0%,0.48%,2.0%,2.16%,$-2.07
herbert jones,PF/SF/F/UTIL,NOP,19.3%,0.0%,0.47%,1.19%,0.93%,$-2.07
mason plumlee,C/UTIL,PHX,19.07%,0.0%,0.48%,0.25%,0.46%,$-2.08
josh green,PF/SF/F/UTIL,CHA,19.2%,0.0%,0.47%,0.1%,0.1%,$-2.09
gabe vincent,PG/SG/G/UTIL,LAL,18.24%,0.0%,0.52%,0.12%,0.1%,$-2.1
aaron holiday,PG/G/UTIL,HOU,21.12%,0.0%,0.48%,0.05%,0.1%,$-2.13
miles bridges,PF/F/UTIL,CHA,17.77%,0.0%,0.44%,1.22%,1.03%,$-2.14
nickeil alexander-walker,SF/SG/G/F/UTIL,MIN,16.78%,0.0%,0.49%,2.28%,1.61%,$-2.14
duncan robinson,SG/G/UTIL,MIA,17.2%,0.0%,0.47%,0.99%,1.16%,$-2.16
micah potter,C/PF/F/UTIL,UTA,17.97%,0.0%,0.46%,2.97%,2.57%,$-2.19
zion williamson,PF/F/UTIL,NOP,16.07%,0.0%,0.44%,2.45%,2.36%,$-2.19
tidjane salaun,PF/F/UTIL,CHA,18.69%,0.0%,0.45%,0.08%,0.1%,$-2.19
haywood highsmith,PF/SF/F/UTIL,MIA,19.24%,0.0%,0.4%,0.07%,0.06%,$-2.26
luke kornet,C/UTIL,BOS,16.07%,0.0%,0.43%,0.05%,0.1%,$-2.29
justin champagnie,PF/SF/F/UTIL,WAS,16.95%,0.0%,0.4%,2.02%,1.64%,$-2.32
spencer dinwiddie,PG/G/UTIL,DAL,17.9%,0.0%,0.38%,0.44%,0.52%,$-2.32
grayson allen,SG/G/UTIL,PHX,17.29%,0.0%,0.4%,0.56%,0.69%,$-2.32
patty mills,PG/G/UTIL,UTA,16.17%,0.0%,0.48%,0.06%,0.1%,$-2.38
sam hauser,PF/SF/F/UTIL,BOS,16.79%,0.0%,0.39%,0.33%,0.32%,$-2.38
dwight powell,C/UTIL,DAL,17.83%,0.0%,0.33%,0.09%,0.1%,$-2.38
svi mykhailiuk,SF/SG/G/F/UTIL,UTA,18.06%,0.0%,0.38%,0.12%,0.1%,$-2.39
bradley beal,SF/SG/G/F/UTIL,PHX,16.67%,0.0%,0.36%,0.62%,0.34%,$-2.41
kel'el ware,C/UTIL,MIA,16.8%,0.0%,0.4%,0.04%,0.1%,$-2.47
vlatko cancar,C/UTIL,DEN,0%,0%,0%,0.0%,0.03%,$-2.47
garrison mathews,SF/SG/G/F/UTIL,ATL,16.13%,0.0%,0.38%,0.25%,0.19%,$-2.48
cody martin,SF/SG/G/F/UTIL,CHA,15.67%,0.0%,0.34%,0.72%,0.47%,$-2.52
kevon looney,C/UTIL,GSW,15.77%,0.0%,0.34%,0.07%,0.1%,$-2.53
kj simpson,PG/G/UTIL,CHA,16.03%,0.0%,0.32%,0.06%,0.1%,$-2.53
cody williams,PF/SF/F/UTIL,UTA,15.27%,0.0%,0.31%,0.13%,0.1%,$-2.63
brandon miller,SF/SG/G/F/UTIL,CHA,14.93%,0.0%,0.24%,0.16%,0.1%,$-2.7
jeremiah robinson-earl,C/PF/F/UTIL,NOP,16.16%,0.0%,0.24%,0.09%,0.1%,$-2.71
dalton knecht,SF/SG/G/F/UTIL,LAL,13.99%,0.0%,0.32%,0.14%,0.1%,$-2.73
jusuf nurkic,C/UTIL,PHX,14.32%,0.0%,0.24%,0.42%,0.68%,$-2.75
nick richards,C/UTIL,CHA,17.17%,0.0%,0.29%,0.02%,0.02%,$-2.77
oscar tshiebwe,C/UTIL,UTA,15.59%,0.0%,0.18%,0.02%,0.03%,$-2.77
zeke nnaji,C/UTIL,DEN,14.41%,0.0%,0.29%,0.04%,0.1%,$-2.8
pelle larsson,SF/F/UTIL,MIA,14.65%,0.0%,0.24%,0.09%,0.1%,$-2.81
hunter tyson,PF/SF/F/UTIL,DEN,14.93%,0.0%,0.22%,0.08%,0.1%,$-2.82
jose alvarado,PG/G/UTIL,NOP,14.19%,0.0%,0.22%,0.09%,0.1%,$-2.82
jaden springer,SF/SG/G/F/UTIL,BOS,13.12%,0.0%,0.21%,0.15%,0.1%,$-2.9
bronny james,PG/G/UTIL,LAL,14.15%,0.0%,0.13%,0.02%,0.03%,$-2.91
maxi kleber,C/PF/F/UTIL,DAL,13.03%,0.0%,0.18%,0.09%,0.1%,$-2.97
steven adams,C/UTIL,HOU,12.15%,0.0%,0.18%,0.04%,0.1%,$-2.97
markieff morris,C/PF/F/UTIL,DAL,13.04%,0.0%,0.12%,0.03%,0.03%,$-2.98
alec burks,PG/SG/G/UTIL,MIA,12.55%,0.0%,0.18%,0.09%,0.1%,$-2.99
dru smith,PG/G/UTIL,MIA,18.97%,0.0%,0.19%,0.01%,0.03%,$-3.03
daquan jeffries,PF/F/UTIL,CHA,20.28%,0.0%,0.1%,0.01%,0.03%,$-3.03
trey jemison,C/UTIL,NOP,14.7%,0.0%,0.08%,0.04%,0.03%,$-3.05
david roddy,PF/F/UTIL,ATL,12.12%,0.0%,0.15%,0.09%,0.1%,$-3.06
monte morris,PG/G/UTIL,PHX,10.69%,0.0%,0.16%,0.05%,0.1%,$-3.08
jamal cain,SF/F/UTIL,NOP,12.08%,0.0%,0.08%,0.04%,0.03%,$-3.11
neemias queta,C/UTIL,BOS,12.97%,0.0%,0.1%,0.05%,0.1%,$-3.11
josh christopher,PG/G/UTIL,MIA,14.26%,0.0%,0.13%,0.02%,0.03%,$-3.11
richaun holmes,C/UTIL,WAS,11.78%,0.0%,0.08%,0.01%,0.03%,$-3.13
gary payton ii,SF/F/UTIL,GSW,11.19%,0.0%,0.1%,0.02%,0.03%,$-3.14
taj gibson,C/UTIL,CHA,13.61%,0.0%,0.12%,0.02%,0.03%,$-3.17
olivier-maxence prosper,PF/SF/F/UTIL,DAL,10.77%,0.0%,0.09%,0.06%,0.03%,$-3.18
josh minott,SF/F/UTIL,MIN,8.93%,0.0%,0.15%,0.07%,0.1%,$-3.19
antonio reeves,SF/SG/G/F/UTIL,NOP,11.82%,0.0%,0.11%,0.04%,0.03%,$-3.19
johnny davis,SF/SG/G/F/UTIL,WAS,11.19%,0.0%,0.05%,0.02%,0.03%,$-3.19
kevin love,C/UTIL,MIA,16.7%,0.0%,0.09%,0.01%,0.03%,$-3.19
tyty washington jr.,PG/G/UTIL,PHX,12.13%,0.0%,0.09%,0.03%,0.03%,$-3.21
damion lee,SG/G/UTIL,PHX,15.48%,0.0%,0.14%,0.01%,0.03%,$-3.21
patrick baldwin jr.,PF/F/UTIL,WAS,0%,0%,0%,0.0%,0.03%,$-3.21
javonte green,PF/SF/F/UTIL,NOP,14.18%,0.0%,0.17%,0.01%,0.03%,$-3.22
jaxson hayes,C/UTIL,LAL,11.78%,0.0%,0.07%,0.04%,0.1%,$-3.23
shake milton,PG/SG/G/UTIL,LAL,9.64%,0.0%,0.1%,0.11%,0.1%,$-3.24
isaiah wong,PG/SG/G/UTIL,CHA,10.12%,0.0%,0.07%,0.03%,0.03%,$-3.25
quincy olivari,PG/G/UTIL,LAL,13.52%,0.0%,0.14%,0.01%,0.03%,$-3.26
pj hall,C/UTIL,DEN,10.23%,0.0%,0.06%,0.03%,0.03%,$-3.26
ej harkless,PG/SG/G/UTIL,UTA,9.49%,0.0%,0.09%,0.04%,0.03%,$-3.27
reed sheppard,PG/SG/G/UTIL,HOU,13.47%,0.0%,0.17%,0.01%,0.03%,$-3.27
pat spencer,PG/G/UTIL,GSW,9.69%,0.0%,0.07%,0.02%,0.03%,$-3.28
jaylen clark,SG/G/UTIL,MIN,10.9%,0.0%,0.07%,0.04%,0.03%,$-3.28
seth curry,SG/G/UTIL,CHA,10.06%,0.0%,0.04%,0.02%,0.03%,$-3.28
jazian gortman,PG/G/UTIL,DAL,11.29%,0.0%,0.08%,0.03%,0.03%,$-3.28
