id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6117,Morant,Ja,40.42,MEM,G,@ LAC,33.00,21.14,1.39,4.37,7.86,1.21,0.32,4.44,5.88,5.21,1.22,7.27,8.24,0.31,0.009,Questionable,
5936,Poole,Jordan,40.30,WAS,G,IND,33.00,24.10,3.82,3.24,5.56,1.34,0.54,3.93,3.83,4.98,0.73,7.65,10.56,0.07,0.001,,
3357,Butler,Jimmy,40.02,GSW,F,@ DAL,33.00,21.86,0.77,5.57,5.58,1.17,0.33,1.35,6.31,6.93,1.33,7.08,7.28,0.07,0.005,,
5042,Portis,Bobby,39.82,MIL,F,@ MIN,30.00,20.46,2.00,9.53,2.14,1.02,0.61,1.54,6.53,1.40,0.34,8.53,9.38,0.49,0.005,,
5452,Fox,De'Aaron,39.54,SAS,G,@ BOS,35.00,22.86,1.94,4.95,4.70,1.31,0.45,2.20,6.73,3.58,0.90,8.67,9.99,0.03,0.001,,
3932,LaVine,Zach,39.37,SAC,G,@ NOR,36.00,24.44,3.11,4.77,4.10,1.00,0.21,2.41,5.73,3.65,0.81,8.84,8.26,0.03,0.001,,
5345,Murray,Jamal,39.29,DEN,G,POR,35.00,21.20,2.06,4.14,5.80,1.57,0.54,2.30,5.99,3.04,0.46,8.05,8.46,0.07,0.002,Probable,
5488,Bryant,Thomas,38.81,IND,C,@ WAS,32.00,16.76,0.68,12.14,1.58,0.60,1.25,1.15,6.14,2.44,0.47,6.82,4.41,0.69,0.000,,
5461,Adebayo,Bam,38.73,MIA,C,@ OKC,34.00,16.45,0.72,10.12,4.10,1.08,0.70,2.56,5.54,3.21,1.13,6.26,6.95,0.53,0.016,,
6185,Quickley,Immanuel,38.34,TOR,G,CLE,33.00,20.28,3.15,3.94,6.95,0.84,0.19,2.20,3.65,3.53,0.63,6.80,8.89,0.11,0.002,Off Injury Report,
6290,Murphy,Trey,38.31,NOR,F,SAC,34.00,22.22,3.15,5.08,3.57,1.13,0.59,1.47,4.22,4.33,0.54,7.37,7.51,0.07,0.001,,
6057,Barrett,R.J.,38.25,TOR,G,CLE,34.00,19.06,1.54,7.09,5.51,0.72,0.39,2.91,5.74,2.96,1.44,7.28,8.33,0.31,0.022,Off Injury Report,
