Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Min Actual,Player
1,Devin Vassell,5000,30.7029,6.14058,49.71,17835,8,5.7029,SG,SAS,4.260190877,31.8,25,Devin Vassell
1,Zach Collins,3500,27.77453333,7.935580952,39.81,17835,8,10.27453333,C,SAS,5.053107192,20.4,24,Zach Collins
1,Scottie Barnes,9100,45.00406667,4.945501832,38.9,17835,8,-0.495933333,PG/SF,TOR,9.160697401,34.3,31,Scottie Barnes
1,Chris Paul,5900,35.72473333,6.055039548,30.92,17835,8,6.224733333,PG,SAS,4.936850326,26.8,29,Chris Paul
1,Luka Doncic,11200,58.21716667,5.19796131,29.83,17835,8,2.217166667,PG,DAL,14.69336103,37.9,0,Luka Doncic
1,Charles Bassey,3000,24.54033333,8.180111111,28.28,17835,8,9.540333333,C,SAS,5.524909198,10.1,13,Charles Bassey
1,Nikola Jokic,12000,63.3089,5.275741667,26.88,17835,8,3.3089,C,DEN,25.61813251,35.2,39,Nikola Jokic
1,Royce O'Neale,4900,27.51353333,5.615006803,25.57,17835,8,3.013533333,SF/PF,BKN,2.500979492,24.5,28,Royce ONeale
1,Shai Gilgeous-Alexander,10100,52.09386667,5.157808581,22.99,17835,8,1.593866667,PG,OKC,15.38692422,34.2,30,Shai Gilgeous-Alexander
1,Chris Boucher,3600,18,5,21.63,17835,8,0,PF,TOR,3.32022885,15.4,17,Chris Boucher
1,Alexandre Sarr,5200,26.68623333,5.131967949,21.06,17835,8,0.686233333,PF/C,WAS,3.060818499,26.2,0,Alexandre Sarr
1,Talen Horton-Tucker,3100,18.91146667,6.100473118,20.78,17835,8,3.411466667,SF,CHI,2.729412589,17.6,21,Talen Horton-Tucker
1,Malik Monk,6700,34.6379,5.169835821,17.8,17835,8,1.1379,PG/SG,SAC,4.844985463,26.1,32,Malik Monk
1,Stephon Castle,4900,27.16203333,5.543272109,16.6,17835,8,2.662033333,SG,SAS,3.506481667,26.1,23,Stephon Castle
1,Josh Giddey,6600,35.22393333,5.336959596,15.56,17835,8,2.223933333,PG,CHI,5.947250684,24.9,24,Josh Giddey
1,Ayo Dosunmu,5300,27.17726667,5.127786164,14.82,17835,8,0.677266667,PG/SG,CHI,2.501515021,29.1,35,Ayo Dosunmu
1,RJ Barrett,8200,39.35856667,4.799825203,14.2,17835,8,-1.641433333,SF,TOR,7.937795201,32.2,31,RJ Barrett
1,Matas Buzelis,3000,16.68426667,5.561422222,13.82,17835,8,1.684266667,SF/PF,CHI,1.625763566,13,19,Matas Buzelis
1,Evan Mobley,7800,38.6411,4.953987179,13.52,17835,8,-0.3589,PF/C,CLE,7.504792915,31.2,32,Evan Mobley
1,Josh Hart,6700,34.28633333,5.117363184,13.28,17835,8,0.786333333,SF/PF,NYK,3.475291817,34.7,38,Josh Hart
1,Jeremy Sochan,6000,26.8826,4.480433333,12.65,17835,8,-3.1174,C,SAS,4.172082999,29.2,32,Jeremy Sochan
1,Devin Booker,9400,46.88353333,4.987609929,11.95,17835,8,-0.116466667,PG/SG,PHX,9.195817723,35.6,37,Devin Booker
1,Zach LaVine,7600,38.1668,5.021947368,11.33,17835,8,0.1668,SG/SF,CHI,5.142541881,33.5,33,Zach LaVine
1,Jared Butler,3000,12,4,11.3,17835,8,-3,PG,WAS,2.072954162,12.8,19,Jared Butler
1,Brandon Miller,8500,42.27146667,4.973113725,11.03,17835,8,-0.228533333,SG/SF,CHA,6.306567015,32.1,30,Brandon Miller
1,Karl-Anthony Towns,9000,46.9717,5.219077778,10.56,17835,8,1.9717,C,NYK,12.56544355,32.5,39,Karl-Anthony Towns
1,Marvin Bagley III,3000,15,5,9.79,17835,8,0,C,WAS,2.776177434,17.5,24,Marvin Bagley
1,DeMar DeRozan,7500,37.58183333,5.010911111,8.74,17835,8,0.081833333,SF/PF,SAC,5.659322859,37.2,35,DeMar DeRozan
1,Jalen Williams,8700,41.11506667,4.725869732,8.38,17835,8,-2.384933333,PF,OKC,8.214914548,31.5,28,Jalen Williams
1,Jalen Brunson,8400,41.70206667,4.964531746,8.05,17835,8,-0.297933333,PG,NYK,8.413415322,35.2,27,Jalen Brunson
1,Keldon Johnson,4600,24.67506667,5.364144928,8.01,17835,8,1.675066667,SF/PF,SAS,3.595714806,28.6,28,Keldon Johnson
1,Mikal Bridges,5700,27.68173333,4.856444444,7.65,17835,8,-0.818266667,SG/SF,NYK,2.292179776,35.1,47,Mikal Bridges
1,Donovan Mitchell,8800,41.19286667,4.681007576,7.25,17835,8,-2.807133333,PG/SG,CLE,7.973674477,34.5,33,Donovan Mitchell
1,Bruno Fernando,3000,12,4,7.09,17835,8,-3,C,TOR,2.436210806,13.6,19,Bruno Fernando
1,Dejounte Murray,8100,40.4399,4.992580247,6.83,17835,8,-0.0601,PG,NOP,6.808040117,35.1,35,Dejounte Murray
1,Ja Morant,8700,43.23743333,4.969819923,6.72,17835,8,-0.262566667,PG,MEM,11.03269281,30.2,28,Ja Morant
1,Santi Aldama,5500,26.05283333,4.736878788,6.39,17835,8,-1.447166667,PF,MEM,3.444774778,26.5,29,Santi Aldama
1,Harrison Barnes,4200,22.25523333,5.298865079,6.31,17835,8,1.255233333,SF/PF,SAS,1.748200878,28.9,22,Harrison Barnes
1,Mason Plumlee,4100,19.52,4.76097561,6.22,17835,8,-0.98,C,PHX,2.61170006,14.8,26,Mason Plumlee
1,KJ Simpson,3700,18.54145,5.011202703,6.08,17835,8,0.04145,PG,CHA,1.987094283,14.6,17,KJ Simpson
1,PJ Washington,6800,28.4833,4.188720588,5.88,17835,8,-5.5167,PF,DAL,2.718977887,31.5,24,PJ Washington
1,Oso Ighodaro,4400,22.95586667,5.217242424,5.62,17835,8,0.955866667,PF/C,PHX,1.811067885,18.9,20,Oso Ighodaro
1,Miles McBride,4100,19.7787,4.824073171,5.57,17835,8,-0.7213,PG/SG,NYK,1.545276761,21.7,28,Miles McBride
1,Yves Missi,5100,27.77826667,5.446718954,5.48,17835,8,2.278266667,C,NOP,3.857699669,23.6,25,Yves Missi
1,Nikola Vucevic,8500,43.8992,5.164611765,5.16,17835,8,1.3992,C,CHI,7.690665103,33.5,0,Nikola Vucevic
1,Julian Champagnie,5000,25.0528,5.01056,5.09,17835,8,0.0528,SG/SF,SAS,2.503712866,21.9,25,Julian Champagnie
1,Isaiah Joe,3600,15.49406667,4.303907407,5.05,17835,8,-2.505933333,SG/SF,OKC,1.232321902,19,21,Isaiah Joe
1,Jaren Jackson Jr.,7300,34.49955,4.725965753,4.42,17835,8,-2.00045,PF/C,MEM,7.122610744,31.3,25,Jaren Jackson
1,Nick Richards,5800,27.1135,4.674741379,4.4,17835,8,-1.8865,C,CHA,4.189505415,25.8,24,Nick Richards
1,Domantas Sabonis,9300,47.24123333,5.079702509,4.21,17835,8,0.741233333,C,SAC,12.08744109,35.5,36,Domantas Sabonis
1,Isaiah Hartenstein,7600,37.06983333,4.877609649,4.11,17835,8,-0.930166667,C,OKC,6.693890596,26,28,Isaiah Hartenstein
1,Jordan Poole,7000,35.77503333,5.110719048,4.09,17835,8,0.775033333,PG/SG,WAS,5.274178855,29.6,32,Jordan Poole
1,OG Anunoby,6100,29.15976667,4.780289617,3.99,17835,8,-1.340233333,SF/PF,NYK,2.885990117,34.3,40,OG Anunoby
1,Jaylen Wells,4000,17.98943333,4.497358333,3.88,17835,8,-2.010566667,SG/SF,MEM,1.235022079,24.8,18,Jaylen Wells
1,Desmond Bane,6700,29.77273333,4.443691542,3.66,17835,8,-3.727266667,SG/SF,MEM,3.897777687,32,32,Desmond Bane
1,Julian Phillips,3000,16.64566667,5.548555556,3.64,17835,8,1.645666667,PF,CHI,0.991171665,10.8,28,Julian Phillips
1,Jonathan Mogbo,3200,12.75106667,3.984708333,3.62,17835,8,-3.248933333,PF/C,TOR,1.509616491,15.9,23,Jonathan Mogbo
1,Aaron Gordon,5900,27.57596667,4.673892655,3.59,17835,8,-1.924033333,PF,DEN,3.011424365,31.6,34,Aaron Gordon
1,Darius Garland,7400,36.26723333,4.900977477,3.45,17835,8,-0.732766667,PG,CLE,5.739829337,32.7,33,Darius Garland
1,De'Aaron Fox,9000,43.40026667,4.822251852,3.12,17835,8,-1.599733333,PG,SAC,8.309482696,36.1,38,DeAaron Fox
1,Dereck Lively II,5500,26.65616667,4.846575758,3.03,17835,8,-0.843833333,C,DAL,4.018349364,22.7,19,Dereck Lively
1,Ochai Agbaji,4800,22.5446,4.696791667,3.02,17835,8,-1.4554,SF/PF,TOR,1.299583652,23.4,22,Ochai Agbaji
1,Aaron Wiggins,3700,16.0503,4.337918919,2.89,17835,8,-2.4497,SF/PF,OKC,1.75873851,16.8,20,Aaron Wiggins
1,Marcus Smart,4500,21.9879,4.8862,2.68,17835,8,-0.5121,PG/SG,MEM,2.296177811,26.2,26,Marcus Smart
1,Malcolm Brogdon,5900,28.11336667,4.764977401,2.5,17835,8,-1.386633333,PG/SG,WAS,4.397274459,27.9,25,Malcolm Brogdon
1,Tyus Jones,6100,29.13003333,4.775415301,2.43,17835,8,-1.369966667,PG,PHX,2.770811148,29.6,28,Tyus Jones
1,Jonas Valanciunas,5700,28.76933333,5.047251462,2.16,17835,8,0.269333333,C,WAS,8.034957025,22.7,0,Jonas Valanciunas
1,CJ McCollum,7200,35.58535,4.942409722,2.11,17835,8,-0.41465,PG/SG,NOP,5.07732904,32.4,37,CJ McCollum
1,Bilal Coulibaly,5400,25.0024,4.630074074,1.98,17835,8,-1.9976,SF,WAS,1.92541461,28.8,29,Bilal Coulibaly
1,Tidjane Salaun,4600,19.76156667,4.295992754,1.97,17835,8,-3.238433333,PF,CHA,1.459087182,21.5,2,Tidjane Salaun
1,Christian Braun,5500,22.18893333,4.034351515,1.82,17835,8,-5.311066667,SG/SF,DEN,1.860842781,22.5,39,Christian Braun
1,Klay Thompson,5000,19.93486667,3.986973333,1.8,17835,8,-5.065133333,SG/SF,DAL,1.905058967,29.1,21,Klay Thompson
1,Kyrie Irving,8600,42.0907,4.894267442,1.73,17835,8,-0.9093,PG/SG,DAL,6.371485694,35.6,25,Kyrie Irving
1,Spencer Dinwiddie,4700,17.0138,3.619957447,1.6,17835,8,-6.4862,PG,DAL,1.355153783,25.7,23,Spencer Dinwiddie
1,Brandon Clarke,4200,20.30923333,4.835531746,1.58,17835,8,-0.690766667,PF/C,MEM,2.780125901,18.7,18,Brandon Clarke
1,Vasilije Micic,5000,22.72476667,4.544953333,1.49,17835,8,-2.275233333,PG,CHA,2.499922701,19.1,35,Vasilije Micic
1,Cason Wallace,4400,17.19113333,3.907075758,1.38,17835,8,-4.808866667,PG/SG,OKC,1.099675445,21.6,23,Cason Wallace
1,Isaac Okoro,4200,14.19826667,3.380539683,1.28,17835,8,-6.801733333,SG/SF,CLE,0.694621372,25.3,12,Isaac Okoro
1,Trey Murphy III,6600,28.77675,4.360113636,1.24,17835,8,-4.22325,SG/SF,NOP,3.052514111,31,34,Trey Murphy
1,Michael Porter Jr.,7100,30.00226667,4.225671362,1.16,17835,8,-5.497733333,SF/PF,DEN,3.664809652,32.5,38,Michael Porter
1,Jarrett Allen,6700,33.29173333,4.968915423,1.14,17835,8,-0.208266667,C,CLE,5.411378185,30.9,35,Jarrett Allen
1,Jalen Smith,3400,20.60313333,6.059745098,1.14,17835,8,3.603133333,C,CHI,3.465531874,15.7,12,Jalen Smith
1,Anthony Gill,3000,17.51676667,5.838922222,1.08,17835,8,2.516766667,PF/C,WAS,1.505979709,8.6,8,Anthony Gill
1,Carlton Carrington,4600,19.5232,4.244173913,1.05,17835,8,-3.4768,PG/SG,WAS,1.507135467,26.9,28,Carlton Carrington
1,Bradley Beal,8300,34.7254,4.183783133,1,17835,8,-6.7746,SG/SF,PHX,3.979769821,33,34,Bradley Beal
1,Brandon Boston Jr.,5300,15.2217,2.872018868,0.98,17835,8,-11.2783,PG/SF,NOP,1.743202041,16.4,17,Brandon Boston
1,Jamal Murray,8000,36.3893,4.5486625,0.88,17835,8,-3.6107,PG/SG,DEN,5.019646872,32.7,42,Jamal Murray
1,Cody Martin,5200,22.65916667,4.357532051,0.88,17835,8,-3.340833333,SF,CHA,1.842354505,25.9,26,Cody Martin
1,Quentin Grimes,5200,18.23706667,3.507128205,0.88,17835,8,-7.762933333,SG/SF,DAL,1.504209812,20.2,25,Quentin Grimes
1,Keegan Murray,6300,26.32463333,4.178513228,0.82,17835,8,-5.175366667,SF/PF,SAC,2.035260837,34.1,40,Keegan Murray
1,Daniel Gafford,5400,23.2049,4.297203704,0.81,17835,8,-3.7951,C,DAL,4.488634422,22.8,19,Daniel Gafford
1,Isaac Jones,3200,16.26533333,5.082916667,0.74,17835,8,0.265333333,PF/C,SAC,1.841588258,10.2,16,Isaac Jones
1,Luguentz Dort,4900,21.34175,4.355459184,0.72,17835,8,-3.15825,SG/SF,OKC,1.306702809,28.9,28,Luguentz Dort
1,Jake LaRavia,3900,11.4953,2.947512821,0.65,17835,8,-8.0047,SF/PF,MEM,1.187279304,23,29,Jake LaRavia
1,Russell Westbrook,6000,25.71296667,4.285494444,0.64,17835,8,-4.287033333,PG,DEN,4.180155395,22.5,16,Russell Westbrook
1,Brandon Ingram,8500,37.26226667,4.383796078,0.61,17835,8,-5.237733333,PG,NOP,6.550621581,33,37,Brandon Ingram
1,Julian Strawther,3200,13.2417,4.13803125,0.61,17835,8,-2.7583,SG/SF,DEN,0.988829257,14.2,12,Julian Strawther
1,Josh Green,4800,19.70376667,4.104951389,0.6,17835,8,-4.296233333,SF/PF,CHA,1.01198243,24.3,26,Josh Green
1,Grayson Allen,5400,22.7296,4.209185185,0.53,17835,8,-4.2704,SG,PHX,1.769806372,31.4,30,Grayson Allen
1,Alex Caruso,4100,18.12416667,4.420528455,0.52,17835,8,-2.375833333,SG/SF,OKC,1.586442199,26.8,17,Alex Caruso
1,Georges Niang,4300,15.6039,3.628813953,0.5,17835,8,-5.8961,SF/PF,CLE,1.148828855,20.9,16,Georges Niang
1,Caris LeVert,5100,21.83783333,4.281928105,0.47,17835,8,-3.662166667,PG/SG,CLE,2.361786544,27.3,27,Caris LeVert
1,Scotty Pippen Jr.,4100,16.2064,3.952780488,0.44,17835,8,-4.2936,PG,MEM,2.51474906,24,15,Scotty Pippen
1,Gradey Dick,5600,25.42336667,4.539886905,0.37,17835,8,-2.576633333,SG,TOR,2.550568304,23.8,23,Gradey Dick
1,Davion Mitchell,3700,14.88806667,4.023801802,0.37,17835,8,-3.611933333,PG/SG,TOR,0.998147393,18.5,24,Davion Mitchell
1,Javonte Green,4000,8.402466667,2.100616667,0.3,17835,8,-11.59753333,SF/PF,NOP,0.555392027,24,17,Javonte Green
1,Ty Jerome,4400,15.35046667,3.488742424,0.25,17835,8,-6.649533333,PG,CLE,2.352276793,17.6,12,Ty Jerome
1,Johnny Davis,3000,5.18453,1.728176667,0.22,17835,8,-9.81547,SG/SF,WAS,0.365375369,11.4,5,Johnny Davis
1,Josh Okogie,4000,4.451166667,1.112791667,0.21,17835,8,-15.54883333,SF,PHX,0.532486191,15.5,11,Josh Okogie
1,Kevin Huerter,5100,16.2993,3.195941176,0.2,17835,8,-9.2007,SG/SF,SAC,1.296749987,24.7,25,Kevin Huerter
1,Jeremiah Robinson-Earl,4300,9.837943333,2.287893798,0.2,17835,8,-11.66205667,PF/C,NOP,1.065906596,13.1,7,Jeremiah Robinson-Earl
1,Sam Merrill,4100,12.7119,3.100463415,0.19,17835,8,-7.7881,SG,CLE,0.84373626,17.4,21,Sam Merrill
1,Herbert Jones,5300,18.25806667,3.444918239,0.16,17835,8,-8.241933333,SF/PF,NOP,1.284982769,30.3,32,Herbert Jones
1,Peyton Watson,4700,13.33413333,2.837049645,0.16,17835,8,-10.16586667,PF,DEN,1.035853459,18.9,18,Peyton Watson
1,Torrey Craig,3300,9.436973333,2.859688889,0.13,17835,8,-7.063026667,PF,CHI,0.703034976,18.5,0,Torrey Craig
1,Jae Crowder,3300,6.676973333,2.023325253,0.12,17835,8,-9.823026667,PF,SAC,0.333057052,21.9,13,Jae Crowder
1,Dean Wade,3600,11.95363333,3.320453704,0.12,17835,8,-6.046366667,SF/PF,CLE,0.721845416,20.9,19,Dean Wade
1,Monte Morris,3100,6.941723333,2.239265591,0.11,17835,8,-8.558276667,PG,PHX,0.836063961,12.8,15,Monte Morris
1,Keon Ellis,3900,2.909026667,0.745904274,0.1,17835,8,-16.59097333,PG/SG,SAC,0.187790578,18.9,2,Keon Ellis
1,Kenrich Williams,3000,11.12436667,3.708122222,0.08,17835,8,-3.875633333,PF/C,OKC,1.035522919,13.8,14,Kenrich Williams
1,Jay Huff,3300,14.80226667,4.485535354,0.08,17835,8,-1.697733333,C,MEM,2.10529427,9.5,20,Jay Huff
1,Nick Smith Jr.,3000,8.86771,2.955903333,0.07,17835,8,-6.13229,SG/SF,CHA,0.792044202,13.4,19,Nick Smith
1,Jaden Hardy,4200,5.156956667,1.227846825,0.07,17835,8,-15.84304333,PG/SG,DAL,0.633377815,13.4,6,Jaden Hardy
