Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Tobias Harris,PF/F/UTIL,DET,48.6775,7.197517516225046,68.65%,5.5%,11.37%,15.66%,$2.51,36
Malik Beasley,SF/SG/G/F/UTIL,DET,41.55375,7.357275498477705,61.66%,3.92%,13.61%,6.04%,$1.77,36
Ronald Holland II,SF/F/UTIL,DET,26.516875,4.515265077351461,59.24%,5.81%,0.15%,0.1%,$1.02,36
Cade Cunningham,PG/G/UTIL,DET,59.6875,15.025658646605326,48.99%,1.93%,22.98%,29.5%,$0.78,36
Jalen Duren,C/UTIL,DET,40.000625,11.956623724383197,44.72%,1.85%,20.97%,29.51%,$0.66,36
KJ Simpson,PG/G/UTIL,CHA,27.030625,7.844957760091084,41.47%,1.23%,16.83%,40.72%,$0.50,36
Miles Bridges,PF/F/UTIL,CHA,51.289375,12.26773137403311,43.41%,1.03%,22.98%,16.5%,$0.41,36
Kyle Kuzma,PF/SF/F/UTIL,MIL,32.82,10.93,41.54%,1.25%,42.26%,61.49%,$0.22,48
Brook Lopez,C/UTIL,MIL,30.29,7.25,36.35%,0.55%,6.13%,18.43%,$0.20,48
Moussa Diabate,C/UTIL,CHA,30.085,8.450356429680108,35.71%,0.99%,30.2%,31.84%,$0.08,36
Tolu Smith,C/UTIL,DET,0,0.0,0%,0%,0.0%,0.03%,$0.00,36
Josh Green,SF/F/UTIL,CHA,0,0.0,0%,0%,0.0%,0.04%,$0.00,36
Grant Williams,C/UTIL,CHA,0,0.0,0%,0%,0.0%,0.03%,$0.00,36
Jaden Ivey,PG/G/UTIL,DET,0,0.0,0%,0%,0.0%,0.03%,$0.00,36
Tre Mann,PG/G/UTIL,CHA,0,0.0,0%,0%,0.0%,0.03%,$0.00,36
Seth Curry,SG/G/UTIL,CHA,23.573749999999997,6.121253214733451,40.58%,0.85%,14.32%,43.27%,$-0.03,36
Ausar Thompson,PF/SF/F/UTIL,DET,26.71875,8.870772172450263,38.59%,0.95%,18.34%,15.96%,$-0.06,36
Bobby Portis,C/PF/F/UTIL,MIL,38.18,13.88,38.02%,1.08%,36.38%,48.87%,$-0.06,48
Dennis Schroder,PG/SG/G/UTIL,DET,21.955624999999998,7.567483369862782,35.82%,0.8%,2.07%,1.77%,$-0.10,36
Alperen Sengun,C/UTIL,HOU,47.08,17.29,41.19%,1.02%,12.44%,30.52%,$-0.11,48
Damian Lillard,PG/G/UTIL,MIL,45.64,13.43,38.19%,0.93%,20.98%,19.76%,$-0.16,48
Gradey Dick,SG/G/UTIL,TOR,26.19,8.35,35.06%,0.75%,29.23%,40.29%,$-0.23,48
Jalen Green,SG/G/UTIL,HOU,36.7,10.89,35.59%,0.55%,21.56%,18.2%,$-0.30,48
Joel Embiid,C/UTIL,PHI,53.14,18.8,38.93%,0.57%,12.28%,20.03%,$-0.31,48
Jonathan Mogbo,C/UTIL,TOR,25.64,8.63,37.42%,0.87%,6.85%,35.47%,$-0.32,48
Scottie Barnes,PG/SF/G/F/UTIL,TOR,45.44,14.94,33.36%,0.45%,28.8%,16.53%,$-0.37,48
Amen Thompson,PG/SF/G/F/UTIL,HOU,41.02,11.12,30.36%,0.62%,29.54%,17.54%,$-0.39,48
Kelly Oubre Jr.,SG/G/UTIL,PHI,31.48,7.33,32.23%,0.54%,10.84%,8.88%,$-0.42,48
Aaron Holiday,PG/G/UTIL,HOU,14.34,6.67,39.9%,0.46%,0.19%,0.1%,$-0.44,48
Immanuel Quickley,PG/G/UTIL,TOR,28.02,11.53,31.16%,0.5%,12.16%,14.83%,$-0.45,48
Quentin Grimes,SF/SG/G/F/UTIL,PHI,24.55,7.75,32.02%,0.39%,15.48%,10.54%,$-0.46,48
Ochai Agbaji,PF/F/UTIL,TOR,21.43,6.73,33.45%,0.19%,9.71%,18.09%,$-0.46,48
Elfrid Payton,PG/G/UTIL,CHA,15.07625,8.189698669162611,17.69%,0.21%,7.43%,27.41%,$-0.46,36
Tidjane Salaun,PF/F/UTIL,CHA,24.564999999999998,6.684610310045458,38.13%,0.04%,2.71%,8.61%,$-0.46,36
