Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4628738512,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Tyrese Maxey (37490311),Coby White (37490424),Jaylen Brown (37490360),Jeremiah Robinson-Earl (37490826),Paul Reed (37490810),Dejounte Murray (37490342),Aaron Gordon (37490534),Nikola Vucevic (37490353)
4628738513,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Vasilije Micic (37490454),Tim Hardaway Jr. (37490589),Michael Porter Jr. (37490450),Aaron Gordon (37490534),Jalen Duren (37490422),Kelly Oubre Jr. (37490414),Giannis Antetokounmpo (37490296),Jakob Poeltl (37490409)
4628738514,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Vasilije Micic (37490454),Ayo Dosunmu (37490443),Brandon Boston Jr. (37490699),Patrick Williams (37490553),Jalen Duren (37490422),Tyrese Maxey (37490311),Aaron Gordon (37490534),Victor Wembanyama (37490300)
4628738515,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Russell Westbrook (37490411),Ayo Dosunmu (37490443),Ricky Council IV (37490547),Aaron Gordon (37490534),Victor Wembanyama (37490300),Coby White (37490424),Patrick Williams (37490553),Nikola Vucevic (37490353)
4628738516,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Coby White (37490424),Devin Vassell (37490417),Josh Okogie (37490501),Aaron Gordon (37490534),Giannis Antetokounmpo (37490296),Kelly Oubre Jr. (37490414),Jeremiah Robinson-Earl (37490826),Jaylen Brown (37490360)
4628738517,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Vasilije Micic (37490454),Ayo Dosunmu (37490443),Ricky Council IV (37490547),Miles Bridges (37490334),Yves Missi (37490505),Kelly Oubre Jr. (37490414),Giannis Antetokounmpo (37490296),Brandon Boston Jr. (37490699)
4628738518,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Russell Westbrook (37490411),Coby White (37490424),Michael Porter Jr. (37490450),Ricky Council IV (37490547),Daniel Gafford (37490376),Dejounte Murray (37490342),Patrick Williams (37490553),Nikola Vucevic (37490353)
4628738519,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Chris Paul (37490436),Coby White (37490424),Ausar Thompson (37490527),Josh Okogie (37490501),Nikola Vucevic (37490353),Khris Middleton (37490479),Giannis Antetokounmpo (37490296),Patrick Williams (37490553)
4628738520,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Tyrese Maxey (37490311),Brandon Boston Jr. (37490699),Josh Okogie (37490501),Patrick Williams (37490553),Jalen Duren (37490422),Josh Giddey (37490388),Jeremiah Robinson-Earl (37490826),Giannis Antetokounmpo (37490296)
4628738521,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Lonzo Ball (37490507),Kelly Oubre Jr. (37490414),Josh Okogie (37490501),Michael Porter Jr. (37490450),Paul Reed (37490810),Tyrese Maxey (37490311),Jaylen Brown (37490360),Nikola Vucevic (37490353)
4628738522,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Chris Paul (37490436),Coby White (37490424),Josh Okogie (37490501),Tobias Harris (37490447),Victor Wembanyama (37490300),Dejounte Murray (37490342),Aaron Gordon (37490534),Patrick Williams (37490553)
4628738523,NBA $10K mini-MAX [150 Entry Max],173651113,$2,Jose Alvarado (37490610),Kelly Oubre Jr. (37490414),Josh Okogie (37490501),Aaron Gordon (37490534),Jeremiah Robinson-Earl (37490826),Tyrese Maxey (37490311),Giannis Antetokounmpo (37490296),Russell Westbrook (37490411)
