Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
sandro mamukelashvili,C/PF/F/UTIL,SAS,34.65%,0.02%,1.42%,2.33%,2.03%,$0.91
jalen smith,C/UTIL,CHI,36.04%,0.02%,1.44%,6.89%,15.13%,$0.86
alexandre sarr,C/UTIL,WAS,37.49%,0.01%,1.46%,7.59%,11.56%,$0.83
anthony black,PG/G/UTIL,ORL,37.79%,0.01%,1.32%,13.63%,24.65%,$0.48
jarrett allen,C/UTIL,CLE,35.78%,0.01%,1.32%,5.81%,8.17%,$0.48
trae young,PG/G/UTIL,ATL,35.27%,0.01%,1.31%,8.69%,9.16%,$0.41
tyler herro,PG/G/UTIL,MIA,38.08%,0.01%,1.23%,19.69%,27.88%,$0.27
jordan poole,PG/G/UTIL,WAS,32.73%,0.02%,1.15%,1.58%,1.64%,$0.23
wendell carter jr.,C/UTIL,ORL,36.39%,0.01%,1.23%,8.26%,13.47%,$0.23
onyeka okongwu,C/UTIL,ATL,35.47%,0.01%,1.2%,4.12%,4.31%,$0.21
pascal siakam,PF/F/UTIL,IND,33.6%,0.01%,1.2%,5.37%,6.15%,$0.19
dalen terry,SF/SG/G/F/UTIL,CHI,36.78%,0.01%,1.21%,30.33%,24.17%,$0.18
colby jones,SF/SG/G/F/UTIL,WAS,36.77%,0.01%,1.21%,29.11%,23.26%,$0.18
blake wesley,PG/G/UTIL,SAS,35.25%,0.01%,1.17%,7.64%,14.58%,$0.1
max strus,SF/SG/G/F/UTIL,CLE,36.47%,0.01%,1.17%,21.14%,14.45%,$0.09
isaiah hartenstein,C/UTIL,OKC,32.96%,0.01%,1.12%,2.45%,3.11%,$0.07
ty jerome,PG/G/UTIL,CLE,36.01%,0.01%,1.17%,23.6%,44.54%,$0.04
tristan vukcevic,C/UTIL,WAS,34.03%,0.01%,1.17%,8.81%,18.63%,$0.03
de'andre hunter,PF/SF/F/UTIL,CLE,35.43%,0.01%,1.14%,15.66%,13.11%,$-0.01
chet holmgren,C/PF/F/UTIL,OKC,36.5%,0.01%,1.14%,22.99%,16.74%,$-0.01
paolo banchero,PF/F/UTIL,ORL,34.99%,0.01%,1.12%,14.74%,13.9%,$-0.07
aj johnson,PG/SG/G/UTIL,WAS,35.96%,0.01%,1.11%,24.28%,24.99%,$-0.09
donovan mitchell,PG/SG/G/UTIL,CLE,32.19%,0.01%,1.13%,9.64%,6.73%,$-0.13
kel'el ware,C/UTIL,MIA,34.51%,0.01%,1.09%,7.7%,10.3%,$-0.13
myles turner,C/UTIL,IND,33.64%,0.01%,1.07%,3.57%,5.74%,$-0.16
bam adebayo,C/PF/F/UTIL,MIA,36.44%,0.01%,1.07%,33.67%,26.8%,$-0.17
davion mitchell,PG/G/UTIL,MIA,35.02%,0.01%,1.07%,6.24%,10.73%,$-0.19
lebron james,PF/SF/F/UTIL,LAL,34.73%,0.01%,1.07%,26.19%,17.34%,$-0.23
stephon castle,PG/SG/G/UTIL,SAS,33.79%,0.01%,1.05%,10.5%,7.81%,$-0.25
vince williams jr.,SF/SG/G/F/UTIL,MEM,33.42%,0.01%,1.03%,1.46%,0.94%,$-0.26
franz wagner,SF/SG/G/F/UTIL,ORL,34.96%,0.01%,1.04%,20.56%,11.09%,$-0.28
keldon johnson,PF/SF/F/UTIL,SAS,33.6%,0.01%,1.05%,11.7%,10.24%,$-0.28
