PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Shai Gilgeous-Alexander (37302935),Kelly Oubre Jr. (37303089),Ricky Council IV (37303632),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),300.89,277.88,403.43000000000006,49900,0.3%,10.15%,5.3%,70.77%,269.97999999999996,$21.18,OKC 3,UTA 3,generated,1
Shai Gilgeous-Alexander (37302935),Collin Sexton (37303043),Isaiah Joe (37303303),Jalen Williams (37302986),Drew Eubanks (37303397),Isaiah Collier (37303246),Kevin Durant (37302953),Kyle Filipowski (37303285),293.16,274.24,397.02,50000,0.37%,7.97%,4.69%,59.37%,218.27999999999997,$18.76,UTA 4,OKC 3,generated,1
Shai Gilgeous-Alexander (37302935),Collin Sexton (37303043),Brice Sensabaugh (37303235),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Devin Booker (37302957),Kyle Filipowski (37303285),Day'Ron Sharpe (37303214),291.95,271.58000000000004,398.76,49200,0.31%,6.56%,3.57%,58.33%,258.99,$14.28,UTA 3,OKC 2,generated,1
Shai Gilgeous-Alexander (37302935),Paul George (37303009),Ricky Council IV (37303632),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Brice Sensabaugh (37303235),Mark Williams (37303083),292.19,276.69,397.46000000000004,49600,0.21%,6.62%,3.32%,58.26%,266.09999999999997,$13.28,UTA 3,OKC 2,generated,1
Cason Wallace (37303281),Andrew Nembhard (37303179),Brice Sensabaugh (37303235),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Collin Sexton (37303043),296.95000000000005,278.01,398.67,49600,0.18%,6.86%,3.07%,65.52%,292.97,$12.29,OKC 4,UTA 3,generated,1
Cole Anthony (37303107),Paul George (37303009),Jaylen Brown (37302978),Jalen Williams (37302986),Jonas Valanciunas (37303111),Collin Sexton (37303043),Kyle Filipowski (37303285),Drew Eubanks (37303397),275.82,267.28999999999996,375.2300000000001,50000,0.31%,4.26%,2.91%,37.69%,174.57,$11.63,UTA 3,ORL 1,generated,1
Isaiah Collier (37303246),Cole Anthony (37303107),Ricky Council IV (37303632),Jalen Williams (37302986),Jarrett Allen (37303060),Devin Booker (37302957),Kevin Durant (37302953),Kyle Filipowski (37303285),283.65,270.96000000000004,377.81,50000,0.26%,5.09%,2.9%,47.31%,207.91999999999996,$11.6,UTA 2,PHX 2,generated,1
Collin Sexton (37303043),Cason Wallace (37303281),Brice Sensabaugh (37303235),Jalen Williams (37302986),Mark Williams (37303083),Paul George (37303009),Kyle Filipowski (37303285),Devin Booker (37302957),284.75,271.66999999999996,380.62,50000,0.16%,5.68%,2.84%,48.53%,226.43,$11.37,UTA 3,OKC 2,generated,1
Collin Sexton (37303043),Kelly Oubre Jr. (37303089),Brice Sensabaugh (37303235),Micah Potter (37303452),Isaiah Hartenstein (37303039),Devin Booker (37302957),Kyle Filipowski (37303285),Kevin Durant (37302953),288.95000000000005,269.12,382.33,49400,0.16%,6.08%,2.79%,53.95%,228.89,$11.18,UTA 4,PHX 2,generated,1
Shai Gilgeous-Alexander (37302935),Collin Sexton (37303043),Luguentz Dort (37303218),Kyle Filipowski (37303285),Jarrett Allen (37303060),Isaiah Collier (37303246),Brice Sensabaugh (37303235),Kevin Durant (37302953),292.59999999999997,274.47,393.42999999999995,49800,0.19%,5.98%,2.77%,59.51%,250.54000000000002,$11.08,UTA 4,OKC 2,generated,1
