PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Cam Thomas (38041930),Max Strus (38042076),Ausar Thompson (38041970),Tobias Harris (38041958),Jarrett Allen (38041942),Darius Garland (38041910),Karlo Matkovic (38042095),Giannis Antetokounmpo (38041865),294.81,287.76,393.99,49800,0.57%,17.94%,2137.2%,77.1%,206.5,$85.5,CLE 3,DET 2,generated,1
Darius Garland (38041910),Ziaire Williams (38042045),Ausar Thompson (38041970),Giannis Antetokounmpo (38041865),Jalen Duren (38041921),Kris Dunn (38042016),Karlo Matkovic (38042095),Jarrett Allen (38041942),295.15,289.1,396.12,49500,0.48%,17.06%,1854.4%,78.0%,283.28999999999996,$74.2,CLE 2,DET 2,generated,1
Darius Garland (38041910),Ziaire Williams (38042045),Kawhi Leonard (38041896),Evan Mobley (38041889),Jalen Duren (38041921),Bogdan Bogdanovic (38042002),Karlo Matkovic (38042095),Jarrett Allen (38041942),294.78,287.23,388.79,49300,0.45%,16.15%,1749.7%,77.77%,245.59,$70.0,CLE 3,LAC 2,generated,1
Darius Garland (38041910),Kris Dunn (38042016),Max Strus (38042076),Ausar Thompson (38041970),Jalen Duren (38041921),Cade Cunningham (38041869),Karlo Matkovic (38042095),Ivica Zubac (38041900),292.62,287.68,387.19,49900,0.36%,13.93%,1413.6%,76.44%,269.09000000000003,$56.5,DET 3,CLE 2,generated,1
Jordan Poole (38041907),Ziaire Williams (38042045),Malik Beasley (38041976),Evan Mobley (38041889),Jarrett Allen (38041942),Darius Garland (38041910),Karlo Matkovic (38042095),Jalen Duren (38041921),290.15000000000003,281.67,384.63,49100,0.32%,13.23%,1357.3%,72.08%,216.83,$54.3,CLE 3,DET 2,generated,1
Jordan Poole (38041907),Max Strus (38042076),Ziaire Williams (38042045),Evan Mobley (38041889),Jarrett Allen (38041942),Kris Dunn (38042016),Kawhi Leonard (38041896),Jalen Duren (38041921),291.28,288.5,382.46999999999997,49800,0.31%,13.11%,1288.2%,74.49%,217.46,$51.5,CLE 3,LAC 2,generated,1
Darius Garland (38041910),Dennis Schroder (38042041),Max Strus (38042076),Tobias Harris (38041958),Evan Mobley (38041889),Ziaire Williams (38042045),Karlo Matkovic (38042095),Giannis Antetokounmpo (38041865),291.79,278.9,388.46,49100,0.27%,14.27%,1235.7%,74.33%,215.35999999999999,$49.4,CLE 3,DET 2,generated,1
Cade Cunningham (38041869),Dennis Schroder (38042041),Ausar Thompson (38041970),Giannis Antetokounmpo (38041865),Jarrett Allen (38041942),Jose Alvarado (38042030),Max Strus (38042076),Karlo Matkovic (38042095),289.72,285.82000000000005,391.09,50000,0.3%,12.65%,1212.6%,72.68%,238.84,$48.5,DET 3,CLE 2,generated,1
Cade Cunningham (38041869),Ziaire Williams (38042045),Max Strus (38042076),Evan Mobley (38041889),Giannis Antetokounmpo (38041865),Jose Alvarado (38042030),Karlo Matkovic (38042095),Sam Merrill (38042149),288.57,281.47,385.34,50000,0.31%,11.92%,1194.1%,71.31%,229.71999999999997,$47.8,CLE 3,NOP 2,generated,1
Cade Cunningham (38041869),Ziaire Williams (38042045),Kyle Kuzma (38041935),Kawhi Leonard (38041896),Jarrett Allen (38041942),Max Strus (38042076),Karlo Matkovic (38042095),Darius Garland (38041910),294.74,293.24,382.36999999999995,49900,0.22%,14.88%,1126.9%,79.98%,245.10999999999999,$45.1,CLE 3,DET 1,generated,1
