PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Keyonte George (37380858),CJ McCollum (37380845),Javonte Green (37380943),Derrick Jones Jr. (37380905),Nikola Vucevic (37380816),James Harden (37380801),Trey Murphy III (37380821),Mo Bamba (37380959),292.91,271.51,385.89,49900,0.49%,9.04%,566.6%,67.61%,334.95,$22.7,NOP 3,LAC 3,generated,1
Dejounte Murray (37380818),CJ McCollum (37380845),Brice Sensabaugh (37380878),Derrick Jones Jr. (37380905),Mo Bamba (37380959),Keyonte George (37380858),Norman Powell (37380834),Nikola Vucevic (37380816),293.68,271.63,388.71000000000004,49500,0.44%,9.4%,556.2%,68.64%,332.01,$22.2,LAC 3,NOP 2,generated,1
Keyonte George (37380858),CJ McCollum (37380845),Svi Mykhailiuk (37380890),Derrick Jones Jr. (37380905),Mo Bamba (37380959),Dejounte Murray (37380818),Norman Powell (37380834),James Harden (37380801),294.23999999999995,271.03999999999996,390.62,50000,0.45%,8.81%,539.2%,69.66%,355.24,$21.6,LAC 4,UTA 2,generated,1
Dejounte Murray (37380818),Kris Dunn (37380915),Zach LaVine (37380811),Derrick Jones Jr. (37380905),Mo Bamba (37380959),Keyonte George (37380858),Norman Powell (37380834),Nikola Vucevic (37380816),290.81,267.74,384.17,50000,0.43%,8.18%,522.5%,64.41%,294.29999999999995,$20.9,LAC 4,CHI 2,generated,1
Keyonte George (37380858),CJ McCollum (37380845),Javonte Green (37380943),Brice Sensabaugh (37380878),Nikola Vucevic (37380816),James Harden (37380801),Norman Powell (37380834),Mo Bamba (37380959),293.05,274.46,389.8,50000,0.4%,8.74%,428.8%,68.02%,337.78,$17.2,LAC 3,UTA 2,generated,2
Dejounte Murray (37380818),Isaiah Collier (37380874),Zach LaVine (37380811),Javonte Green (37380943),Mo Bamba (37380959),James Harden (37380801),Derrick Jones Jr. (37380905),Nikola Vucevic (37380816),293.24,272.13,387.26,49900,0.33%,7.97%,424.6%,69.41%,356.36,$17.0,LAC 3,NOP 2,generated,1
Dejounte Murray (37380818),CJ McCollum (37380845),Javonte Green (37380943),Brice Sensabaugh (37380878),Walker Kessler (37380856),James Harden (37380801),Norman Powell (37380834),Mo Bamba (37380959),295.1,279.49,391.74,49900,0.32%,7.69%,405.1%,73.17%,392.94,$16.2,NOP 3,LAC 3,generated,1
Keyonte George (37380858),CJ McCollum (37380845),Brice Sensabaugh (37380878),Javonte Green (37380943),Mo Bamba (37380959),James Harden (37380801),Norman Powell (37380834),Dejounte Murray (37380818),296.79,277.20000000000005,393.06,49800,0.34%,8.89%,388.1%,74.89%,387.01,$15.5,NOP 3,LAC 3,generated,2
CJ McCollum (37380845),Isaiah Collier (37380874),Norman Powell (37380834),Derrick Jones Jr. (37380905),Mo Bamba (37380959),Dejounte Murray (37380818),Zach LaVine (37380811),Keyonte George (37380858),292.78,269.77,383.05,49900,0.32%,8.39%,387.8%,67.43%,321.73,$15.5,LAC 3,NOP 2,generated,2
Keyonte George (37380858),CJ McCollum (37380845),Javonte Green (37380943),Derrick Jones Jr. (37380905),Mo Bamba (37380959),James Harden (37380801),Trey Murphy III (37380821),Dejounte Murray (37380818),296.65000000000003,274.25,389.15,49700,0.25%,8.9%,385.4%,74.57%,384.17999999999995,$15.4,NOP 4,LAC 3,generated,1
