PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Luka Doncic (38058986),Jordan Goodwin (38059281),Coby White (38059053),Justin Champagnie (38059148),Karlo Matkovic (38059227),Kevin Huerter (38059222),Zach LaVine (38059018),Keon Ellis (38059171),258.54,267.87,336.36,49600,0.0%,0.29%,-58.2%,20.07%,196.13,$-2.3,LAL 2,CHI 2,generated,1
Cade Cunningham (38058993),Malik Beasley (38059116),Franz Wagner (38059023),Karlo Matkovic (38059227),Jalen Duren (38059061),Keon Johnson (38059191),Dalton Knecht (38059175),Wendell Carter Jr. (38059155),250.96000000000004,254.04999999999998,339.91,49500,0.0%,0.55%,-58.2%,16.04%,133.71,$-2.3,DET 3,ORL 2,generated,1
Damian Lillard (38059012),Kentavious Caldwell-Pope (38059274),Zach LaVine (38059018),Zion Williamson (38059003),Karlo Matkovic (38059227),Cole Anthony (38059140),Keegan Murray (38059121),Tre Jones (38059135),256.21999999999997,259.75,334.2,50000,0.0%,0.47%,-58.2%,19.14%,168.94,$-2.3,ORL 2,SAC 2,generated,1
Luka Doncic (38058986),Cole Anthony (38059140),Tim Hardaway Jr. (38059244),Kyle Kuzma (38059075),Nikola Vucevic (38059051),Keon Ellis (38059171),Khris Middleton (38059096),Karlo Matkovic (38059227),247.41,255.68,330.49,49500,0.0%,0.37%,-58.3%,13.6%,142.70999999999998,$-2.3,LAL 1,ORL 1,generated,1
Luka Doncic (38058986),Kevin Huerter (38059222),Cam Thomas (38059068),Matas Buzelis (38059157),Jalen Duren (38059061),Jevon Carter (38059431),Franz Wagner (38059023),Karlo Matkovic (38059227),252.82000000000002,257.77,335.52000000000004,50000,0.0%,0.46%,-58.3%,18.09%,183.7,$-2.3,CHI 3,LAL 1,generated,1
Luka Doncic (38058986),Keon Ellis (38059171),Kevin Huerter (38059222),Karlo Matkovic (38059227),Isaiah Stewart (38059299),Stephen Curry (38059000),Coby White (38059053),Goga Bitadze (38059272),253.66000000000003,265.31,336.98,49600,0.0%,0.55%,-58.3%,18.07%,185.18,$-2.3,CHI 2,LAL 1,generated,1
Austin Reaves (38059044),Coby White (38059053),Zion Williamson (38059003),Ausar Thompson (38059110),Karlo Matkovic (38059227),Kentavious Caldwell-Pope (38059274),Jake LaRavia (38059336),Paolo Banchero (38059009),250.92000000000002,262.3,332.82,49900,0.0%,0.41%,-58.3%,15.61%,138.74,$-2.3,NOP 2,ORL 2,generated,1
Jordan Poole (38059048),Kevin Huerter (38059222),Zion Williamson (38059003),Ausar Thompson (38059110),Quinten Post (38059217),Damian Lillard (38059012),Jake LaRavia (38059336),Cam Thomas (38059068),240.5,256.64,330.01,49700,0.0%,0.4%,-58.3%,10.89%,128.76,$-2.3,WAS 1,CHI 1,generated,1
Cade Cunningham (38058993),Kevin Huerter (38059222),Patrick Williams (38059277),Kyle Kuzma (38059075),Wendell Carter Jr. (38059155),Austin Reaves (38059044),Jimmy Butler (38059029),Keon Ellis (38059171),256.53000000000003,264.34999999999997,335.82000000000005,49500,0.0%,0.38%,-58.3%,18.98%,177.41000000000003,$-2.3,CHI 2,DET 1,generated,1
Cole Anthony (38059140),Kevin Huerter (38059222),Franz Wagner (38059023),Cameron Johnson (38059079),Karlo Matkovic (38059227),Keon Ellis (38059171),Jimmy Butler (38059029),Domantas Sabonis (38059007),256.29999999999995,269.23999999999995,338.9599999999999,49800,0.0%,0.53%,-58.3%,18.64%,199.98,$-2.3,ORL 2,SAC 2,generated,1
