Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4672351870,NBA $40K Four Point Play [20 Entry Max],175098890,$4,Trae Young (38181765),Stephon Castle (38181866),Deni Avdija (38181840),Jonathan Mogbo (38182136),Guerschon Yabusele (38181949),Chris Paul (38181990),Aaron Gordon (38181918),Andrew Wiggins (38181903)
4672351871,NBA $40K Four Point Play [20 Entry Max],175098890,$4,Jamal Shead (38182042),Dyson Daniels (38181857),RJ Barrett (38181819),Bam Adebayo (38181791),Orlando Robinson (38182005),Blake Wesley (38182275),Guerschon Yabusele (38181949),Alperen Sengun (38181777)
4672351872,NBA $40K Four Point Play [20 Entry Max],175098890,$4,Jamal Shead (38182042),Quentin Grimes (38181779),Keldon Johnson (38181983),Jonathan Mogbo (38182136),Kel'el Ware (38181968),RJ Barrett (38181819),Justin Edwards (38182038),Trae Young (38181765)
4672351873,NBA $40K Four Point Play [20 Entry Max],175098890,$4,Trae Young (38181765),Dyson Daniels (38181857),Scottie Barnes (38181795),Oshae Brissett (38182148),Jonathan Mogbo (38182136),Stephon Castle (38181866),Guerschon Yabusele (38181949),Kel'el Ware (38181968)
4672351874,NBA $40K Four Point Play [20 Entry Max],175098890,$4,Jamal Shead (38182042),Shaedon Sharpe (38181891),Andrew Wiggins (38181903),Justin Edwards (38182038),Onyeka Okongwu (38181844),Dyson Daniels (38181857),Guerschon Yabusele (38181949),Alperen Sengun (38181777)
4672351875,NBA $40K Four Point Play [20 Entry Max],175098890,$4,Trae Young (38181765),Quentin Grimes (38181779),Justin Edwards (38182038),Guerschon Yabusele (38181949),Jeremy Sochan (38181935),Davion Mitchell (38182162),Colin Castleton (38182081),Onyeka Okongwu (38181844)
4672351876,NBA $40K Four Point Play [20 Entry Max],175098890,$4,Scottie Barnes (38181795),Dyson Daniels (38181857),Justin Edwards (38182038),Jonathan Mogbo (38182136),Onyeka Okongwu (38181844),Jamal Murray (38181824),Guerschon Yabusele (38181949),Jeremy Sochan (38181935)
4672351877,NBA $40K Four Point Play [20 Entry Max],175098890,$4,Jamal Shead (38182042),Dyson Daniels (38181857),Justin Edwards (38182038),Bam Adebayo (38181791),Orlando Robinson (38182005),Chris Paul (38181990),Tari Eason (38181899),Trae Young (38181765)
4672351878,NBA $40K Four Point Play [20 Entry Max],175098890,$4,Trae Young (38181765),Julian Champagnie (38182174),Chuma Okeke (38182055),Jeremy Sochan (38181935),Onyeka Okongwu (38181844),Jamal Shead (38182042),Aaron Gordon (38181918),Ivica Zubac (38181789)
4672351879,NBA $40K Four Point Play [20 Entry Max],175098890,$4,Jamal Shead (38182042),Cason Wallace (38182077),Justin Edwards (38182038),Jeremy Sochan (38181935),Onyeka Okongwu (38181844),Shai Gilgeous-Alexander (38181755),Dominick Barlow (38182227),Alperen Sengun (38181777)
