Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
kevin porter jr.,PG/G/UTIL,MIL,25.17%,0.01%,1.49%,7.89%,13.36%,$1.06
d'angelo russell,PG/G/UTIL,BKN,26.25%,0.01%,1.48%,8.91%,12.36%,$0.94
ivica zubac,C/UTIL,LAC,25.12%,0.01%,1.37%,6.67%,7.3%,$0.66
jared butler,PG/SG/G/UTIL,PHI,24.64%,0.01%,1.33%,7.3%,6.54%,$0.51
alexandre sarr,C/UTIL,WAS,25.97%,0.01%,1.38%,14.69%,21.18%,$0.46
ricky council iv,PF/SF/F/UTIL,PHI,26.54%,0.01%,1.36%,25.51%,22.94%,$0.38
nic claxton,C/UTIL,BKN,24.31%,0.01%,1.26%,5.99%,9.55%,$0.35
jordan poole,PG/G/UTIL,WAS,21.33%,0.01%,1.14%,2.06%,2.86%,$0.3
tristan vukcevic,C/UTIL,WAS,25.21%,0.01%,1.29%,20.0%,41.94%,$0.16
jeff dowtin,PG/G/UTIL,PHI,24.19%,0.01%,1.23%,9.92%,15.75%,$0.12
quentin grimes,PG/SG/G/UTIL,PHI,25.29%,0.01%,1.23%,16.2%,10.16%,$-0.01
lebron james,PF/SF/F/UTIL,LAL,26.43%,0.01%,1.19%,33.97%,16.45%,$-0.1
pascal siakam,PF/F/UTIL,IND,23.04%,0.01%,1.14%,8.19%,6.0%,$-0.11
ryan rollins,PG/G/UTIL,MIL,23.17%,0.01%,1.13%,6.34%,11.65%,$-0.14
tyrese haliburton,PG/G/UTIL,IND,23.42%,0.01%,1.13%,7.25%,7.35%,$-0.16
justin champagnie,PF/SF/F/UTIL,WAS,23.25%,0.01%,1.15%,13.37%,12.74%,$-0.17
karl-anthony towns,C/UTIL,NYK,23.71%,0.01%,1.15%,10.73%,8.74%,$-0.2
keon johnson,PG/SG/G/UTIL,BKN,23.42%,0.01%,1.11%,5.56%,5.54%,$-0.21
trendon watford,C/PF/F/UTIL,BKN,25.11%,0.01%,1.15%,45.18%,44.17%,$-0.24
nick richards,C/UTIL,PHX,20.88%,0.01%,1.0%,2.13%,4.34%,$-0.26
gary trent jr.,SF/SG/G/F/UTIL,MIL,24.53%,0.01%,1.12%,50.21%,54.09%,$-0.35
colby jones,SF/SG/G/F/UTIL,WAS,22.88%,0.01%,1.07%,15.59%,15.46%,$-0.41
cameron payne,PG/SG/G/UTIL,NYK,24.46%,0.01%,1.09%,40.69%,53.86%,$-0.42
nikola jokic,C/UTIL,DEN,22.73%,0.01%,1.12%,15.9%,7.0%,$-0.42
ziaire williams,SF/SG/G/F/UTIL,BKN,23.87%,0.01%,1.08%,33.58%,32.2%,$-0.46
james harden,PG/G/UTIL,LAC,22.78%,0.01%,1.05%,10.2%,7.36%,$-0.48
luka doncic,PG/G/UTIL,LAL,24.49%,0.01%,1.07%,22.53%,12.25%,$-0.49
jaylen martin,SF/F/UTIL,WAS,21.44%,0.01%,0.99%,4.56%,7.61%,$-0.55
guerschon yabusele,C/PF/F/UTIL,PHI,21.69%,0.01%,0.97%,3.53%,2.35%,$-0.55
justin edwards,PF/SF/F/UTIL,PHI,23.58%,0.01%,1.03%,10.66%,8.49%,$-0.56
aj johnson,PG/SG/G/UTIL,WAS,23.61%,0.01%,1.04%,24.64%,29.86%,$-0.58
ja'kobe walter,SF/SG/G/F/UTIL,TOR,22.38%,0.01%,1.01%,10.6%,9.6%,$-0.6
kyle kuzma,PF/SF/F/UTIL,MIL,23.06%,0.01%,1.01%,18.66%,14.75%,$-0.64
myles turner,C/UTIL,IND,21.75%,0.01%,0.95%,4.47%,5.83%,$-0.65
devin booker,PG/SG/G/UTIL,PHX,22.19%,0.01%,0.99%,10.3%,6.02%,$-0.66
rj barrett,SF/SG/G/F/UTIL,TOR,19.73%,0.01%,0.93%,5.3%,2.35%,$-0.69
scottie barnes,PG/SF/G/F/UTIL,TOR,19.14%,0.01%,0.91%,4.14%,1.98%,$-0.7
tyrese martin,SG/G/UTIL,BKN,21.98%,0.01%,0.95%,4.7%,9.13%,$-0.76
carlton carrington,PG/SG/G/UTIL,WAS,22.5%,0.01%,0.94%,17.21%,18.09%,$-0.88
orlando robinson,C/UTIL,TOR,20.46%,0.01%,0.86%,4.48%,10.23%,$-0.91
ryan dunn,PF/SF/F/UTIL,PHX,21.54%,0.01%,0.91%,14.84%,14.34%,$-0.92
kawhi leonard,PF/SF/F/UTIL,LAC,21.21%,0.01%,0.89%,9.41%,4.87%,$-0.94
