PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Damian Lillard (37654759),Carlton Carrington (37655159),Kyle Kuzma (37654842),Kyshawn George (37655072),Tristan Vukcevic (37655242),Trae Young (37654747),Miles Bridges (37654755),Onyeka Okongwu (37654833),289.75610243055553,383.47675883625675,49800,4.92%,0,-94.87%,0,160.51999999999998,$-2.85,WAS 3,MIL 2,user3,39,marvalshot,12053,4634463866_3
Jordan Poole (37654812),Corey Kispert (37655022),Kyshawn George (37655072),Bobby Portis (37654864),Jalen Duren (37654835),Damian Lillard (37654759),Bam Adebayo (37654779),Onyeka Okongwu (37654833),306.119453125,404.5237424419324,49700,100.00%,2,114.3%,0,186.87,$3.43,WAS 3,MIL 2,user28,1,marvalshot,12081,4634463867_28
Damian Lillard (37654759),Gradey Dick (37655002),Kyshawn George (37655072),Bobby Portis (37654864),Jarrett Allen (37654823),Trae Young (37654747),Bilal Coulibaly (37654868),Kyle Kuzma (37654842),319.53382812499996,414.877725401673,49900,100.00%,46516,739.43%,1,194.0,$22.18,MIL 3,WAS 2,user3,40,marvalshot,4169,4634463868_3
Jordan Poole (37654812),Dyson Daniels (37654803),Jaylon Tyson (37655340),Bobby Portis (37654864),Tristan Vukcevic (37655242),Damian Lillard (37654759),Scottie Barnes (37654750),Onyeka Okongwu (37654833),307.1564453125,407.89084992891816,49600,100.00%,5,125.23%,0,166.53,$3.76,WAS 2,ATL 2,user38,1,marvalshot,12130,4634463869_38
Donovan Mitchell (37654762),Bilal Coulibaly (37654868),Kyshawn George (37655072),Bobby Portis (37654864),Richaun Holmes (37655113),Shai Gilgeous-Alexander (37654733),Chris Boucher (37655147),Damian Lillard (37654759),310.30253906250005,411.4894221222198,49700,100.00%,166,166.34%,0,185.89999999999998,$4.99,WAS 3,MIL 2,user18,1,marvalshot,11776,4634463858_18
Shai Gilgeous-Alexander (37654733),Garrison Mathews (37655081),Kyle Kuzma (37654842),Bobby Portis (37654864),Tristan Vukcevic (37655242),Trae Young (37654747),Aaron Wiggins (37654921),Jarrett Allen (37654823),297.330859375,398.7972812367768,50000,91.14%,0,47.1%,0,152.32,$1.41,OKC 2,ATL 2,user11,1,marvalshot,11808,4634463859_11
Trae Young (37654747),Bilal Coulibaly (37654868),Kyle Kuzma (37654842),Chris Boucher (37655147),Jalen Duren (37654835),Max Strus (37654961),Bobby Portis (37654864),Damian Lillard (37654759),316.0704296875,415.95482340165853,49600,100.00%,22320,323.56%,0,167.72,$9.71,MIL 3,ATL 1,user25,1,marvalshot,11861,4634463860_25
Scottie Barnes (37654750),Bilal Coulibaly (37654868),Kyle Kuzma (37654842),Chris Boucher (37655147),Bobby Portis (37654864),Damian Lillard (37654759),Nikola Jovic (37654889),Jalen Duren (37654835),321.26570312499996,423.1795858653269,49800,100.00%,49704,2238.24%,11,161.44,$67.15,MIL 3,TOR 2,user26,1,marvalshot,11893,4634463861_26
Donovan Mitchell (37654762),Bilal Coulibaly (37654868),Kyshawn George (37655072),Bam Adebayo (37654779),Jarrett Allen (37654823),Damian Lillard (37654759),Bobby Portis (37654864),Jonathan Mogbo (37655191),308.06429687499997,404.5937105766344,49800,100.00%,7,136.38%,0,171.07,$4.09,CLE 2,WAS 2,user3,1,marvalshot,11909,4634463862_3
Jordan Poole (37654812),Carlton Carrington (37655159),Ausar Thompson (37654958),Jeremy Sochan (37654944),Jarrett Allen (37654823),Damian Lillard (37654759),Scottie Barnes (37654750),Bobby Portis (37654864),298.9428125,398.7312438732914,49000,98.09%,0,64.99%,0,178.08,$1.95,WAS 2,MIL 2,user38,1,marvalshot,11983,4634463863_38
