PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Isaiah Collier (37831913),Gradey Dick (37832076),Jalen Williams (37831829),KJ Martin (37832113),Isaiah Hartenstein (37831897),Keyonte George (37831887),LeBron James (37831767),Kyle Filipowski (37831966),306.75,298.11,409.9200000000001,49800,0.17%,9.67%,713.6%,69.72%,249.45000000000002,$21.4,UTA 4,OKC 2,generated,1
Shai Gilgeous-Alexander (37831764),Stephon Castle (37831933),Brice Sensabaugh (37832065),Zion Williamson (37831787),Kyle Filipowski (37831966),Keyonte George (37831887),KJ Martin (37832113),Nick Richards (37832024),299.06,292.59,411.34000000000003,49500,0.17%,8.1%,600.5%,58.41%,252.49,$18.0,UTA 4,OKC 1,generated,1
Shai Gilgeous-Alexander (37831764),Alec Burks (37832227),Keldon Johnson (37832026),KJ Martin (37832113),Kyle Filipowski (37831966),Keyonte George (37831887),LeBron James (37831767),Isaiah Collier (37831913),301.2,295.1,407.21999999999997,49900,0.16%,7.67%,593.7%,61.85%,243.46,$17.8,UTA 4,OKC 1,generated,1
Shai Gilgeous-Alexander (37831764),Davion Mitchell (37832053),Brice Sensabaugh (37832065),Bam Adebayo (37831821),Isaiah Hartenstein (37831897),Keyonte George (37831887),KJ Martin (37832113),Kyle Filipowski (37831966),302.40999999999997,290.27,406.67999999999995,49200,0.11%,8.17%,541.0%,63.15%,242.67999999999998,$16.2,UTA 4,OKC 2,generated,1
Isaiah Collier (37831913),Anthony Edwards (37831776),Nickeil Alexander-Walker (37831995),Bam Adebayo (37831821),Isaiah Hartenstein (37831897),Keyonte George (37831887),KJ Martin (37832113),Kyle Filipowski (37831966),302.14,291.04999999999995,402.61,49800,0.12%,7.84%,537.8%,63.01%,219.82999999999998,$16.1,UTA 4,MIN 2,generated,1
Tyler Herro (37831794),Alec Burks (37832227),Zion Williamson (37831787),KJ Martin (37832113),Isaiah Hartenstein (37831897),Keyonte George (37831887),Kawhi Leonard (37831836),Kyle Filipowski (37831966),298.18,295.53,402.84000000000003,50000,0.11%,7.2%,520.9%,57.47%,225.51999999999998,$15.6,UTA 3,MIA 2,generated,1
Stephon Castle (37831933),Devin Vassell (37831937),Zion Williamson (37831787),Paolo Banchero (37831809),Isaiah Hartenstein (37831897),Keyonte George (37831887),KJ Martin (37832113),Kyle Filipowski (37831966),299.88,299.65,406.65,50000,0.13%,7.51%,511.0%,60.15%,252.16999999999996,$15.3,UTA 3,SAS 2,generated,1
Tyler Herro (37831794),Cason Wallace (37832096),Jalen Williams (37831829),Brice Sensabaugh (37832065),Kyle Filipowski (37831966),Isaiah Collier (37831913),LeBron James (37831767),Nick Richards (37832024),294.75999999999993,282.02,392.36,50000,0.14%,6.27%,496.9%,53.04%,178.01,$14.9,UTA 3,OKC 2,generated,1
Shai Gilgeous-Alexander (37831764),Cason Wallace (37832096),Zion Williamson (37831787),Brice Sensabaugh (37832065),Kyle Filipowski (37831966),Keyonte George (37831887),KJ Martin (37832113),Isaiah Collier (37831913),300.87999999999994,290.79,410.92999999999995,49400,0.09%,8.27%,487.8%,60.85%,242.32,$14.6,UTA 5,OKC 2,generated,1
Keyonte George (37831887),Cason Wallace (37832096),Aaron Wiggins (37831976),Bam Adebayo (37831821),Kyle Filipowski (37831966),Luka Doncic (37831761),Julius Randle (37831893),KJ Martin (37832113),297.63,290.87,397.4,49900,0.13%,6.43%,479.0%,56.97%,224.09000000000003,$14.4,UTA 3,OKC 2,generated,1
