Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
jonas valanciunas,C/UTIL,WAS,26.61%,0.01%,1.45%,4.17%,7.85%,$0.76
dennis schroder,PG/SG/G/UTIL,GSW,30.78%,0.01%,1.44%,33.12%,29.75%,$0.56
kel'el ware,C/UTIL,MIA,29.44%,0.01%,1.38%,5.56%,9.88%,$0.52
shai gilgeous-alexander,PG/G/UTIL,OKC,29.26%,0.01%,1.39%,15.29%,21.83%,$0.38
nikola jokic,C/UTIL,DEN,27.23%,0.01%,1.33%,11.69%,26.4%,$0.11
trayce jackson-davis,C/UTIL,GSW,26.9%,0.01%,1.26%,7.5%,14.11%,$0.11
gui santos,PF/F/UTIL,GSW,27.14%,0.01%,1.26%,7.42%,6.96%,$0.08
russell westbrook,PG/G/UTIL,DEN,27.77%,0.01%,1.24%,17.27%,21.35%,$0.05
kyle anderson,PF/F/UTIL,GSW,25.84%,0.01%,1.25%,0.07%,0.11%,$0.0
andrew wiggins,PF/SF/F/UTIL,GSW,28.86%,0.01%,1.19%,50.17%,44.54%,$-0.08
jakob poeltl,C/UTIL,TOR,26.81%,0.01%,1.18%,6.91%,12.44%,$-0.09
gradey dick,SG/G/UTIL,TOR,27.12%,0.01%,1.16%,23.65%,28.25%,$-0.21
aaron gordon,PF/F/UTIL,DEN,25.33%,0.01%,1.12%,3.25%,3.17%,$-0.22
daniel gafford,C/UTIL,DAL,25.33%,0.01%,1.13%,4.33%,7.94%,$-0.23
ivica zubac,C/UTIL,LAC,28.32%,0.0%,1.11%,24.85%,47.51%,$-0.3
jalen williams,PF/F/UTIL,OKC,25.44%,0.01%,1.09%,4.59%,4.83%,$-0.31
chris boucher,PF/F/UTIL,TOR,24.77%,0.01%,1.09%,8.78%,7.78%,$-0.33
brandin podziemski,PG/SG/G/UTIL,GSW,26.66%,0.01%,1.12%,32.41%,28.08%,$-0.33
moses moody,SF/SG/G/F/UTIL,GSW,25.13%,0.01%,1.1%,7.12%,4.09%,$-0.35
trae young,PG/G/UTIL,ATL,24.87%,0.01%,1.07%,4.97%,5.68%,$-0.38
nikola jovic,C/PF/F/UTIL,MIA,25.97%,0.01%,1.08%,7.66%,5.33%,$-0.4
buddy hield,SF/SG/G/F/UTIL,GSW,24.63%,0.01%,1.06%,6.95%,3.86%,$-0.42
onyeka okongwu,C/UTIL,ATL,25.45%,0.01%,1.07%,6.5%,11.3%,$-0.43
kyshawn george,PF/SF/F/UTIL,WAS,25.98%,0.01%,1.08%,14.4%,9.86%,$-0.44
jamal murray,PG/SG/G/UTIL,DEN,25.27%,0.01%,1.05%,9.21%,7.89%,$-0.47
giannis antetokounmpo,C/PF/F/UTIL,MIL,25.94%,0.0%,1.05%,18.59%,18.91%,$-0.52
michael porter jr.,PF/SF/F/UTIL,DEN,25.42%,0.01%,1.04%,11.47%,7.59%,$-0.53
corey kispert,SF/SG/G/F/UTIL,WAS,25.35%,0.01%,1.04%,8.06%,4.8%,$-0.54
rj barrett,SF/F/UTIL,TOR,26.45%,0.0%,1.03%,24.24%,29.07%,$-0.55
clint capela,C/UTIL,ATL,24.14%,0.01%,1.0%,4.12%,7.96%,$-0.56
gary payton ii,SF/F/UTIL,GSW,23.97%,0.01%,1.01%,2.42%,1.82%,$-0.56
demar derozan,SF/F/UTIL,SAC,25.29%,0.01%,0.99%,3.88%,4.38%,$-0.56
bobby portis,C/PF/F/UTIL,MIL,24.48%,0.01%,1.03%,12.34%,8.67%,$-0.57
jaylin williams,C/UTIL,OKC,25.23%,0.0%,1.01%,4.21%,7.25%,$-0.59
paolo banchero,PF/F/UTIL,ORL,23.93%,0.01%,1.02%,8.41%,9.08%,$-0.61
jaime jaquez jr.,PF/SF/F/UTIL,MIA,25.9%,0.0%,1.0%,30.67%,22.3%,$-0.65
kristaps porzingis,C/UTIL,BOS,24.5%,0.01%,0.97%,4.08%,7.11%,$-0.66
jordan poole,PG/SG/G/UTIL,WAS,24.78%,0.0%,0.97%,10.2%,8.69%,$-0.69
anthony davis,C/UTIL,LAL,23.22%,0.01%,0.97%,5.45%,8.25%,$-0.71
malik monk,PG/SG/G/UTIL,SAC,25.84%,0.0%,0.96%,21.19%,18.33%,$-0.72
julian strawther,SF/SG/G/F/UTIL,DEN,24.34%,0.0%,0.96%,5.89%,3.26%,$-0.77
kyle kuzma,PF/F/UTIL,WAS,23.84%,0.0%,0.93%,2.31%,2.24%,$-0.78
lonzo ball,PG/G/UTIL,CHI,24.07%,0.0%,0.93%,6.26%,7.38%,$-0.82
nikola vucevic,C/UTIL,CHI,23.2%,0.01%,0.89%,3.81%,6.68%,$-0.85
de'andre hunter,PF/SF/F/UTIL,ATL,23.75%,0.0%,0.91%,5.0%,3.44%,$-0.86
jaylen brown,SF/SG/G/F/UTIL,BOS,24.15%,0.0%,0.9%,6.87%,4.45%,$-0.87
aj green,PG/SG/G/UTIL,MIL,24.3%,0.0%,0.93%,8.89%,5.21%,$-0.88
keegan murray,PF/F/UTIL,SAC,25.13%,0.0%,0.92%,7.42%,7.21%,$-0.88
scottie barnes,PG/SF/G/F/UTIL,TOR,24.71%,0.0%,0.9%,21.56%,15.16%,$-0.89
coby white,PG/SG/G/UTIL,CHI,24.67%,0.0%,0.9%,10.47%,8.57%,$-0.9
alexandre sarr,C/PF/F/UTIL,WAS,23.9%,0.0%,0.9%,9.33%,6.28%,$-0.91
christian braun,SF/SG/G/F/UTIL,DEN,23.93%,0.0%,0.9%,7.71%,4.34%,$-0.93
carlton carrington,PG/SG/G/UTIL,WAS,24.45%,0.0%,0.9%,15.07%,11.91%,$-0.95
naji marshall,PF/SF/F/UTIL,DAL,23.74%,0.0%,0.89%,6.76%,4.6%,$-0.96
khris middleton,SF/SG/G/F/UTIL,MIL,22.58%,0.0%,0.88%,7.65%,4.72%,$-0.99
james harden,PG/G/UTIL,LAC,23.06%,0.0%,0.86%,10.82%,13.01%,$-0.99
bam adebayo,C/UTIL,MIA,22.1%,0.01%,0.83%,2.25%,3.75%,$-1.0
domantas sabonis,C/UTIL,SAC,22.75%,0.0%,0.85%,6.33%,11.48%,$-1.02
de'aaron fox,PG/G/UTIL,SAC,23.42%,0.0%,0.84%,7.78%,9.78%,$-1.03
jrue holiday,PG/SG/G/UTIL,BOS,23.93%,0.0%,0.86%,7.11%,5.66%,$-1.03
kevon looney,C/UTIL,GSW,22.19%,0.01%,0.84%,2.5%,4.81%,$-1.04
davion mitchell,PG/SG/G/UTIL,TOR,23.4%,0.0%,0.87%,4.97%,3.82%,$-1.04
jalen smith,C/UTIL,CHI,22.23%,0.0%,0.84%,0.69%,1.12%,$-1.06
bruce brown,SF/SG/G/F/UTIL,TOR,22.42%,0.0%,0.84%,3.11%,1.77%,$-1.1
jamal shead,PG/G/UTIL,TOR,23.58%,0.0%,0.82%,0.05%,0.05%,$-1.1
isaiah joe,SF/SG/G/F/UTIL,OKC,22.61%,0.0%,0.83%,2.14%,1.25%,$-1.11
deandre jordan,C/UTIL,DEN,22.87%,0.0%,0.85%,0.08%,0.1%,$-1.12
max christie,SF/SG/G/F/UTIL,LAL,23.33%,0.0%,0.82%,2.74%,1.51%,$-1.17
luguentz dort,SF/SG/G/F/UTIL,OKC,23.29%,0.0%,0.81%,10.22%,5.96%,$-1.18
pj washington,PF/F/UTIL,DAL,23.33%,0.0%,0.78%,1.51%,1.51%,$-1.18
wendell carter jr.,C/UTIL,ORL,23.07%,0.0%,0.75%,0.81%,1.39%,$-1.21
peyton watson,PF/F/UTIL,DEN,22.57%,0.0%,0.79%,1.88%,1.69%,$-1.22
zach lavine,SF/SG/G/F/UTIL,CHI,22.73%,0.0%,0.78%,8.05%,5.3%,$-1.23
vit krejci,PG/SF/G/F/UTIL,ATL,22.89%,0.0%,0.79%,3.93%,2.3%,$-1.23
