Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Paul George,SF/SG/G/F/UTIL,PHI,54.3775,10.30859401272419,100.3%,7.78%,1.61%,3.66%,$64.69,36
Buddy Hield,SF/SG/G/F/UTIL,GSW,31.18,8.56,102.12%,7.54%,0.08%,0.16%,$63.89,48
Mikal Bridges,SF/SG/G/F/UTIL,NYK,42.198125000000005,5.33087161832556,99.61%,4.92%,1.1%,8.29%,$45.90,36
Keaton Wallace,PG/G/UTIL,ATL,29.14,9.0,99.95%,3.57%,3.89%,31.45%,$33.41,48
Josh Hart,PF/SF/F/UTIL,NYK,47.490625,8.290598447427447,99.89%,2.96%,3.69%,5.81%,$29.98,36
Daniel Gafford,C/UTIL,DAL,33.01,14.71,100.07%,3.16%,2.43%,35.07%,$27.83,48
Wendell Carter Jr.,C/UTIL,ORL,32.62,10.12,100.24%,2.44%,1.63%,25.03%,$21.08,48
Jalen Brunson,PG/G/UTIL,NYK,52.833124999999995,14.03347749366776,99.96%,1.95%,8.25%,20.77%,$18.58,36
Jamal Murray,PG/SG/G/UTIL,DEN,34.56,10.02,100.25%,0.77%,0.93%,2.62%,$17.91,48
Victor Wembanyama,C/UTIL,SAS,60.1,18.93,99.88%,1.44%,4.34%,18.73%,$17.07,48
Fred VanVleet,PG/G/UTIL,HOU,35.51,8.06,102.12%,2.96%,0.16%,0.79%,$16.67,48
Anthony Edwards,SG/G/UTIL,MIN,47.77,13.07,99.81%,1.12%,1.3%,3.81%,$16.39,48
Jeremiah Robinson-Earl,C/PF/F/UTIL,NOP,17.26,7.86,100.07%,1.03%,4.01%,18.26%,$16.00,48
Jake LaRavia,PF/SF/F/UTIL,MEM,14.95,7.48,96.12%,4.78%,0.08%,0.25%,$15.36,48
David Roddy,PF/F/UTIL,ATL,19.92,8.44,100.15%,1.13%,2.5%,14.54%,$13.02,48
Stephon Castle,PG/SG/G/UTIL,SAS,29.22,9.33,99.86%,1.36%,7.31%,38.25%,$12.51,48
Julius Randle,C/PF/F/UTIL,MIN,40.37,12.62,100.08%,1.69%,1.94%,5.02%,$12.06,48
Nikola Jokic,C/UTIL,DEN,62.44,20.82,99.94%,1.21%,4.4%,17.69%,$11.52,48
Quentin Grimes,SF/SG/G/F/UTIL,DAL,29.74,10.59,99.88%,0.94%,2.81%,7.93%,$11.16,48
Brice Sensabaugh,PF/SF/F/UTIL,UTA,28.65,11.19,99.87%,1.09%,5.76%,22.75%,$11.02,48
Onyeka Okongwu,C/UTIL,ATL,31.42,13.02,100.0%,1.62%,1.36%,19.08%,$10.43,48
Bogdan Bogdanovic,SF/SG/G/F/UTIL,ATL,28.43,9.84,99.96%,0.99%,9.75%,34.79%,$10.37,48
Alperen Sengun,C/UTIL,HOU,49.49,16.35,99.76%,1.17%,2.11%,13.0%,$9.87,48
Mark Williams,C/UTIL,CHA,36.11,14.58,99.99%,1.19%,2.98%,31.68%,$9.85,48
OG Anunoby,PF/SF/F/UTIL,NYK,33.343125,6.1632947890104655,99.85%,0.71%,2.83%,14.78%,$8.47,36
Brook Lopez,C/UTIL,MIL,26.13,7.43,104.13%,2.11%,0.12%,1.28%,$8.44,48
Amen Thompson,SF/SG/G/F/UTIL,HOU,41.82,9.14,99.85%,0.6%,2.19%,3.86%,$8.37,48
Jonathan Isaac,C/PF/F/UTIL,ORL,24.51,11.13,100.11%,0.77%,2.65%,11.68%,$8.30,48
Devin Vassell,SF/SG/G/F/UTIL,SAS,34.9,9.77,100.09%,0.99%,4.72%,11.71%,$8.11,48
Gui Santos,PF/F/UTIL,GSW,16.7,7.1,96.12%,0.02%,0.02%,0.1%,$7.67,48
Garrison Mathews,SF/SG/G/F/UTIL,ATL,20.75,8.37,99.97%,0.83%,5.49%,17.91%,$7.29,48
Trey Murphy III,SF/SG/G/F/UTIL,NOP,38.18,9.87,99.92%,0.82%,2.78%,5.78%,$7.17,48
Vit Krejci,PG/SG/G/UTIL,ATL,23.51,7.53,99.94%,0.48%,6.78%,34.6%,$7.14,48
