PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Jared Butler (38047188),AJ Lawson (38047276),Royce O'Neale (38047325),Miles Bridges (38046903),Onyeka Okongwu (38046977),Trae Young (38046855),John Collins (38046999),Andre Drummond (38047063),308.61720486111113,407.0220143016836,49800,100.00%,13328,249.07%,3,142.22,$7.47,PHI 2,ATL 2,user1,1,marvalshot,11304,4662599772_1
Collin Sexton (38047052),Jared Butler (38047188),Kevin Durant (38046858),Naji Marshall (38046946),Andre Drummond (38047063),Jared Rhoden (38047408),John Collins (38046999),Onyeka Okongwu (38046977),295.42798611111107,387.51071453725933,49700,78.35%,0,-24.78%,0,130.35,$-0.74,UTA 2,PHI 2,user,1,marvalshot,4603,4662599773
Jared Butler (38047188),Jared Rhoden (38047408),Jayson Tatum (38046844),Chris Boucher (38047411),Jakob Poeltl (38047034),Jamal Shead (38047196),John Collins (38046999),Shai Gilgeous-Alexander (38046841),293.49,395.44,50000,53.80%,0,-72.51%,0,170.35999999999999,$-2.18,TOR 4,PHI 1,user,50,marvalshot,6424,4662599774
Jamal Shead (38047196),Jared Rhoden (38047408),Jayson Tatum (38046844),Miles Bridges (38046903),Andre Drummond (38047063),Collin Sexton (38047052),Kessler Edwards (38047208),Naji Marshall (38046946),307.67578125000006,398.31213091828465,49800,100.00%,6841,174.03%,0,145.14,$5.22,TOR 2,DAL 2,user1,50,marvalshot,2761,4662599775_1
Jamal Shead (38047196),Jared Rhoden (38047408),Jaylen Brown (38046885),Miles Bridges (38046903),Jakob Poeltl (38047034),AJ Lawson (38047276),Naji Marshall (38046946),Onyeka Okongwu (38046977),308.26376736111115,397.69284545554405,49700,100.00%,8696,187.54%,0,161.99,$5.63,TOR 4,BOS 1,user,50,marvalshot,1871,4662599776
Shai Gilgeous-Alexander (38046841),AJ Lawson (38047276),Naji Marshall (38046946),Chris Boucher (38047411),Andre Drummond (38047063),Jared Rhoden (38047408),John Collins (38046999),Ivica Zubac (38046915),292.72,389.27000000000004,49800,41.78%,0,-79.55%,0,158.71,$-2.39,TOR 3,OKC 1,user,50,marvalshot,8726,4662599777
Collin Sexton (38047052),Jared Butler (38047188),Naji Marshall (38046946),Miles Bridges (38046903),Isaiah Hartenstein (38046979),Jared Rhoden (38047408),John Collins (38046999),Jakob Poeltl (38047034),301.00578125000004,397.7921309182846,49100,99.80%,9,77.23%,0,131.22,$2.32,UTA 2,TOR 2,user7,1,marvalshot,11313,4662599778_7
Jamal Shead (38047196),AJ Lawson (38047276),Jayson Tatum (38046844),Royce O'Neale (38047325),Ivica Zubac (38046915),Collin Sexton (38047052),Jamison Battle (38047427),Trae Young (38046855),302.0334375,394.0191688461396,50000,99.99%,26,86.84%,0,168.75,$2.61,TOR 3,BOS 1,user1,1,marvalshot,11314,4662599779_1
Trae Young (38046855),Jared Rhoden (38047408),Jamison Battle (38047427),Chris Boucher (38047411),Ivica Zubac (38046915),Desmond Bane (38046917),Naji Marshall (38046946),Collin Sexton (38047052),298.35343750000004,391.7091688461397,49500,97.37%,0,43.07%,0,136.82,$1.29,TOR 3,ATL 1,user16,1,marvalshot,11331,4662599780_16
Shai Gilgeous-Alexander (38046841),Jared Butler (38047188),Jamison Battle (38047427),Naji Marshall (38046946),Ivica Zubac (38046915),Collin Sexton (38047052),Kessler Edwards (38047208),Zach Edey (38047115),293.7,386.65,49600,56.29%,0,-62.57%,0,121.44,$-1.88,DAL 2,OKC 1,user5,1,marvalshot,11369,4662599781_5
