Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4611344379,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Stephon Castle (37338477),Devin Vassell (37338234),Paul George (37338105),Naji Marshall (37338314),Wendell Carter Jr. (37338391),Dejounte Murray (37338096),Scottie Barnes (37338057),Daniel Gafford (37338424)
4611344380,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Fred VanVleet (37338153),Stephon Castle (37338477),Josh Hart (37338127),Giannis Antetokounmpo (37338014),Onyeka Okongwu (37338359),Devin Vassell (37338234),Quentin Grimes (37338318),Keaton Wallace (37338930)
4611344381,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Keyonte George (37338282),Mikal Bridges (37338239),Brice Sensabaugh (37338383),Andrew Wiggins (37338228),Wendell Carter Jr. (37338391),Dejounte Murray (37338096),Giannis Antetokounmpo (37338014),Keaton Wallace (37338930)
4611344382,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Keaton Wallace (37338930),Jordan Hawkins (37338687),Jayson Tatum (37338023),Andrew Wiggins (37338228),Onyeka Okongwu (37338359),Devin Vassell (37338234),Bogdan Bogdanovic (37338369),Nikola Jokic (37338012)
4611344383,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Jalen Brunson (37338088),Buddy Hield (37338351),Quentin Grimes (37338318),Brice Sensabaugh (37338383),Nikola Jokic (37338012),Svi Mykhailiuk (37338463),Andrew Wiggins (37338228),Onyeka Okongwu (37338359)
4611344384,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Jalen Brunson (37338088),Mikal Bridges (37338239),Keldon Johnson (37338409),Kyle Filipowski (37338420),Mark Williams (37338232),Keaton Wallace (37338930),Jaren Jackson Jr. (37338053),Alperen Sengun (37338065)
